recent_best_ext_ret,total_secs,eplen_std,eplen,recent_best_eplen,rew_mean,best_ext_ret,best_eplen,n_updates,eprew,eprew_recent,tcount,recent_worst_eplen,eprew_std,epcount
7.025,27185.44489,0,68,68,0.036855157,7.65,68,76,1.584375,1.962825521,4863360,68,1.471138351,71520
7.025,27543.10219,0,68,68,0.04273487,7.65,68,77,1.859375,2.245568427,4926464,68,1.442555648,72448
7.3375,27901.51291,0,68,68,0.042469453,7.65,68,78,2.978125,2.328059896,4991744,68,1.563983671,73408
6.4,28257.27862,0,68,68,0.044553626,7.65,68,79,2.61875,2.483310884,5054848,68,1.229916791,74336
6.4,28617.28026,0,68,68,0.04420187,7.65,68,80,2.728125,2.286314655,5117952,68,1.203327905,75264
7.025,28970.42365,0,68,68,0.045106232,7.65,68,81,2.715625,2.570247396,5183232,68,1.602789926,76224
7.025,29327.2993,0,68,68,0.04419912,7.65,68,82,2.225,2.373531789,5246336,68,1.154576492,77152
7.025,29683.72395,0,68,68,0.04242499,7.65,68,83,2.996875,2.342057292,5311616,68,1.369231508,78112
6.4,30038.1564,0,68,68,0.041403398,7.65,68,84,2.590625,2.260385237,5374720,68,1.383986966,79040
7.025,30395.00216,0,68,68,0.047576267,7.65,68,85,2.24375,2.460075431,5437824,68,1.397193057,79968
6.7125,30748.19818,0,68,68,0.045997355,7.65,68,86,2.515625,2.676041667,5503104,68,1.27724603,80928
6.0875,31104.41993,0,68,68,0.039113823,7.65,68,87,1.6625,2.045541487,5566208,68,1.166525289,81856
7.025,31459.75533,0,68,68,0.041197143,7.65,68,88,1.5125,2.240494792,5631488,68,1.435814229,82816
7.025,31816.1508,0,68,68,0.044239976,7.65,68,89,2.184375,2.307866379,5694592,68,1.835785233,83744
6.4,32172.60465,0,68,68,0.043591566,7.65,68,90,2.46875,2.384049479,5759872,68,1.23125,84704
6.0875,32526.358,0,68,68,0.045941003,7.65,68,91,2.728125,2.598141164,5822976,68,1.413090999,85632
7.3375,32883.35006,0,68,68,0.045668103,7.65,68,92,3.209375,2.493413254,5886080,68,1.823402019,86560
6.7125,33236.13781,0,68,68,0.048384022,7.65,68,93,1.83125,2.718684896,5951360,68,1.35192282,87520
7.65,33593.83289,0,68,68,0.043468837,7.65,68,94,1.984375,2.293049569,6014464,68,1.862277147,88448
6.4,33951.63633,0,68,68,0.046582796,7.65,68,95,2.75,2.5953125,6079744,68,1.293674515,89408
6.7125,34306.29014,0,68,68,0.046712905,7.65,68,96,3.475,2.636866918,6142848,68,1.242571678,90336
7.025,34664.5988,0,68,68,0.04677527,7.65,68,97,2.64375,2.484994612,6205952,68,1.080707957,91264
7.025,35020.2183,0,68,68,0.043504413,7.65,68,98,2.2125,2.391210937,6271232,68,1.625,92224
7.65,35376.73257,0,68,68,0.045653604,7.65,68,99,2.534375,2.524730603,6334336,68,1.226063792,93152
6.7125,35731.87644,0,68,68,0.04808941,7.65,68,100,2.821875,2.714778646,6399616,68,1.312034888,94112
8.275,36086.48414,0,68,68,0.04399924,8.275,68,101,3.040625,2.417645474,6462720,68,1.302322895,95040
6.7125,36446.66962,0,68,68,0.0502264,8.275,68,102,2.871875,2.713644935,6525824,68,1.195936316,95968
6.7125,36799.49061,0,68,68,0.04825909,8.275,68,103,2.084375,2.73203125,6591104,68,1.443394843,96928
6.7125,37157.97945,0,68,68,0.043391526,8.275,68,104,2.3625,2.354337284,6654208,68,1.153865785,97856
7.025,37513.05295,0,68,68,0.04673944,8.275,68,105,1.984375,2.636653646,6719488,68,1.344589128,98816
6.4,37872.73863,0,68,68,0.04912678,8.275,68,106,3.09375,2.631478987,6782592,68,1.350043402,99744
7.3375,38230.67171,0,68,68,0.0510119,8.275,68,107,3.665625,2.884700521,6847872,68,1.139982696,100704
7.3375,38587.93163,0,68,68,0.052293953,8.275,68,108,3.065625,3.06015625,6910976,68,1.272496777,101632
7.9625,38945.49117,0,68,68,0.04817539,8.275,68,109,3.5125,2.647979526,6974080,68,1.15,102560
7.3375,39302.83879,0,68,68,0.04577703,8.275,68,110,2.309375,2.575455729,7039360,68,1.160124421,103520
7.3375,39660.18747,0,68,68,0.05369864,8.275,68,111,2.625,2.933876616,7102464,68,1.615767039,104448
7.3375,40016.68579,0,68,68,0.04733977,8.275,68,112,3.1375,2.650325521,7167744,68,1.504758079,105408
7.65,40370.90828,0,68,68,0.05202591,8.275,68,113,3.16875,2.997858297,7230848,68,1.289394844,106336
6.7125,40729.0773,0,68,68,0.053436533,8.275,68,114,2.7625,2.921417026,7293952,68,1.378914881,107264
7.025,41083.05046,0,68,68,0.044594895,8.275,68,115,2.621875,2.503841146,7359232,68,1.045913738,108224
7.3375,41439.19491,0,68,68,0.048770644,8.275,68,116,3.228125,2.738900862,7422336,68,1.258855352,109152
7.3375,41793.09122,0,68,68,0.045991365,8.275,68,117,3.303125,2.527278646,7487616,68,1.311081823,110112
6.4,42153.40532,0,68,68,0.048838668,8.275,68,118,2.515625,2.77190194,7550720,68,1.585613421,111040
6.7125,42513.53678,0,68,68,0.04680549,8.275,68,119,2.74375,2.473208513,7613824,68,1.339382437,111968
6.7125,42868.77214,0,68,68,0.050444975,8.275,68,120,2.88125,2.835221354,7679104,68,1.348190338,112928
7.65,43232.16683,0,68,68,0.04630052,8.275,68,121,2.953125,2.557731681,7742208,68,1.575232498,113856
7.9625,43590.72633,0,68,68,0.04908163,8.275,68,122,1.93125,2.746354167,7807488,68,1.178833507,114816
7.65,43947.17493,0,68,68,0.046160173,8.275,68,123,1.775,2.393399784,7870592,68,1.139661408,115744
7.3375,44304.43368,0,68,68,0.04970018,8.275,68,124,2.71875,2.788997396,7935872,68,1.389539605,116704
7.025,44659.90134,0,68,68,0.048359163,8.275,68,125,2.934375,2.757758621,7998976,68,1.612993505,117632
7.025,45017.39479,0,68,68,0.049913082,8.275,68,126,2.56875,2.717349138,8062080,68,1.703408807,118560
7.3375,45374.19056,0,68,68,0.052358262,8.275,68,127,3.0875,2.984309896,8127360,68,1.419039067,119520
7.65,45726.65425,0,68,68,0.052113984,8.275,68,128,2.646875,2.846996228,8190464,68,1.552779137,120448
6.4,46082.95531,0,68,68,0.049348503,8.275,68,129,2.73125,2.807552083,8255744,68,0.999628837,121408
6.7125,46435.37786,0,68,68,0.049400825,8.275,68,130,2.46875,2.839924569,8318848,68,1.25326137,122336
7.025,46791.9073,0,68,68,0.053589523,8.275,68,131,2.540625,2.885721983,8381952,68,1.252633944,123264
6.7125,47145.31304,0,68,68,0.054911338,8.275,68,132,3.221875,3.190690104,8447232,68,1.13799354,124224
7.025,47501.03327,0,68,68,0.049043786,8.275,68,133,2.171875,2.701858836,8510336,68,1.210674367,125152
6.4,47858.03275,0,68,68,0.04707004,8.275,68,134,2.409375,2.612565104,8575616,68,1.377026206,126112
7.025,48211.42447,0,68,68,0.04994292,8.275,68,135,3.44375,2.78907597,8638720,68,1.704440432,127040
7.9625,48570.35406,0,68,68,0.05490573,8.275,68,136,2.328125,3.004593211,8701824,68,1.431000934,127968
7.025,48926.62244,0,68,68,0.050310615,8.275,68,137,2.071875,2.873632812,8767104,68,1.354517182,128928
7.025,49283.34346,0,68,68,0.050651036,8.275,68,138,3.01875,2.835210129,8830208,68,1.416545644,129856
7.65,49638.14649,0,68,68,0.044838846,8.275,68,139,1.753125,2.4859375,8895488,68,1.282891479,130816
7.025,49991.61542,0,68,68,0.05147888,8.275,68,140,2.54375,2.776953125,8958592,68,1.39559855,131744
7.3375,50348.068,0,68,68,0.04916874,8.275,68,141,3.25625,2.721289062,9023872,68,1.01629305,132704
7.3375,50703.29978,0,68,68,0.050307464,8.275,68,142,3.096875,2.869894935,9086976,68,1.398419169,133632
6.7125,51061.3636,0,68,68,0.05175166,8.275,68,143,2.896875,2.814668642,9150080,68,1.74569504,134560
