recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
55,19.9375,20,13.30625,19.9375,2.320753851,55,55,13.33752111,0,23264,7847.619157,1279520,55,0.24798587
55,20.5625,21,12.525,20.5625,1.738286692,55,55,13.6883138,0,24416,8238.196702,1342880,55,0.2579544
55,22.125,22,14.725,22.125,1.957996425,55,55,14.17768012,0,25568,8632.914738,1406240,55,0.26843733
55,22.125,23,14.228125,20.25,2.047700215,55,55,14.33150338,0,26752,9023.034662,1471360,55,0.26290464
55,22.125,24,13.84375,21.5,1.927646314,55,55,14.54172092,0,27904,9414.60275,1534720,55,0.2743474
55,22.125,25,15.60625,20.25,1.773844254,55,55,15.06973184,0,29088,9804.953153,1599840,55,0.28284556
55,22.125,26,15.75625,21.5,1.887862134,55,55,15.35335286,0,30240,10196.61431,1663200,55,0.2851077
55,22.125,27,15.86875,21.8125,2.088369953,55,55,15.8359375,0,31392,10587.94807,1726560,55,0.2971726
55,22.125,28,16.31875,21.5,1.738904558,55,55,15.96183488,0,32576,10979.15315,1791680,55,0.29616144
55,22.125,29,16.26875,21.1875,2.032749447,55,55,16.18939887,0,33728,11366.93596,1855040,55,0.29988602
55,22.125,30,16.371875,21.1875,1.678852263,55,55,16.44900174,0,34880,11759.18871,1918400,55,0.31058407
55,22.4375,31,15.8875,22.4375,1.935946958,55,55,16.32289907,0,36064,12146.67714,1983520,55,0.3005522
55,22.4375,32,16.878125,21.5,1.67955014,55,55,16.75363498,0,37216,12536.11288,2046880,55,0.31308264
55,22.4375,33,17.240625,22.4375,1.479452364,55,55,16.54448785,0,38368,12929.56209,2110240,55,0.31023082
55,22.4375,34,17.18125,21.8125,1.515789295,55,55,17.19072002,0,39552,13319.92833,2175360,55,0.3154597
55,22.4375,35,17.45625,22.4375,1.672280909,55,55,17.11469184,0,40704,13711.58387,2238720,55,0.32076973
55,23.0625,36,17.65,23.0625,1.689743879,55,55,17.59506968,0,41888,14098.92112,2303840,55,0.3288144
55,23.0625,37,17.3,22.4375,1.959213012,55,55,17.72992622,0,43040,14489.33806,2367200,55,0.32772067
55,23.0625,38,17.89375,22.75,1.325397936,55,55,17.88699002,0,44192,14881.5206,2430560,55,0.3346785
55,23.0625,39,16.8625,23.0625,1.844396073,55,55,17.47682644,0,45376,15270.68306,2495680,55,0.32321563
55,23.375,40,18.325,23.375,1.336623545,55,55,17.83924696,0,46528,15658.50224,2559040,55,0.3302792
