n_updates,recent_best_eplen,eplen,recent_best_ext_ret,best_ext_ret,best_eplen,rew_mean,recent_worst_eplen,epcount,tcount,eplen_std,eprew,eprew_recent,eprew_std,total_secs
19,55,55.0,9.21875,9.21875,55,0.021583468,55,44160.0,2428800.0,0.0,0.56,0.9073486328125,2.5072694310743704,14895.187938213348
20,55,55.0,8.4375,9.21875,55,0.025619358,55,46528.0,2559040.0,0.0,0.94,1.2860404349662162,2.6601503716895407,15666.126467943192
21,55,55.0,12.4375,12.4375,55,0.040575538,55,48832.0,2685760.0,0.0,2.7471875,2.0121663411458335,2.4343573290436944,16439.251661539078
22,55,55.0,11.65625,12.4375,55,0.051937055,55,51136.0,2812480.0,0.0,2.890625,2.614040798611111,2.3628368642111117,17216.04953956604
23,55,55.0,12.4375,12.4375,55,0.053711377,55,53504.0,2942720.0,0.0,1.68,2.827042863175676,2.3361506800718144,17991.39496731758
24,55,55.0,13.21875,13.21875,55,0.06410321,55,55808.0,3069440.0,0.0,3.213125,3.307644314236111,2.2271951075006875,18773.322518348694
25,55,55.0,17.90625,17.90625,55,0.06898893,55,58176.0,3199680.0,0.0,3.8884375,3.6013777449324325,2.0344314268288204,19547.425310134888
26,55,55.0,15.46875,17.90625,55,0.0740829,55,60480.0,3326400.0,0.0,4.2596875,3.9569905598958335,1.8927167921981223,20327.614819049835
27,55,55.0,14.0,17.90625,55,0.077981755,55,62784.0,3453120.0,0.0,4.3440625,4.027330186631945,1.5965936334799629,21104.1258456707
28,55,55.0,14.0,17.90625,55,0.07751095,55,65152.0,3583360.0,0.0,4.195,4.164168074324325,1.9302440745926408,21876.857238292694
29,55,55.0,14.6875,17.90625,55,0.08438321,55,67456.0,3710080.0,0.0,4.0225,4.470228407118055,1.8299007401359233,22649.218448638916
30,55,55.0,16.34375,17.90625,55,0.08673563,55,69760.0,3836800.0,0.0,3.6009375,4.4705810546875,2.520772509166337,23426.461997270584
31,55,55.0,14.6875,17.90625,55,0.087515056,55,72128.0,3967040.0,0.0,4.63,4.793984902871622,2.0212335729078914,24199.641479969025
32,55,55.0,15.46875,17.90625,55,0.087119974,55,74432.0,4093760.0,0.0,4.8890625,4.611735026041667,1.6055164606657728,24973.43536734581
33,55,55.0,16.25,17.90625,55,0.091695935,55,76736.0,4220480.0,0.0,5.3728125,4.827216254340278,1.75947909882975,25752.49769449234
34,55,55.0,16.25,17.90625,55,0.08655224,55,79104.0,4350720.0,0.0,5.159375,4.685441300675675,1.3084722424931299,26519.929620981216
35,55,55.0,15.46875,17.90625,55,0.08954696,55,81408.0,4477440.0,0.0,5.5875,4.711046006944445,2.014415819474718,27293.140595197678
36,55,55.0,15.5625,17.90625,55,0.09279515,55,83776.0,4607680.0,0.0,4.4840625,4.936840160472973,1.6905209937971046,28065.111529827118
37,55,55.0,17.8125,17.90625,55,0.094193414,55,86080.0,4734400.0,0.0,4.754375,5.088568793402778,1.6220828383208425,28837.831164121628
38,55,55.0,14.6875,17.90625,55,0.09985042,55,88384.0,4861120.0,0.0,5.443125,5.195787217881945,1.6124175124250544,29614.98864889145
39,55,55.0,15.46875,17.90625,55,0.09326959,55,90752.0,4991360.0,0.0,4.745625,5.082453547297297,1.7604765645628457,30389.335829496384
40,55,55.0,14.78125,17.90625,55,0.09712262,55,93056.0,5118080.0,0.0,5.224375,5.193630642361111,1.4696099875902449,31163.52007484436
41,55,55.0,15.5625,17.90625,55,0.099336565,55,95360.0,5244800.0,0.0,5.1890625,5.161933051215278,1.391712180362287,31941.98774075508
42,55,55.0,14.6875,17.90625,55,0.09682825,55,97728.0,5375040.0,0.0,5.2084375,5.318913640202703,1.5775218835150118,32715.872759103775
43,55,55.0,15.46875,17.90625,55,0.098932154,55,100032.0,5501760.0,0.0,5.4728125,5.2510986328125,1.7258922907350707,33490.0949614048
44,55,55.0,15.46875,17.90625,55,0.10015322,55,102336.0,5628480.0,0.0,5.2109375,5.277791341145833,1.6174365750219541,34266.065549850464
45,55,55.0,16.25,17.90625,55,0.09880256,55,104704.0,5758720.0,0.0,4.810625,5.381281672297297,1.7265042128170436,35032.74545836449
46,55,55.0,15.46875,17.90625,55,0.10041899,55,107008.0,5885440.0,0.0,5.7734375,5.277669270833333,1.6763134717196393,35807.25489115715
47,55,55.0,16.25,17.90625,55,0.10022427,55,109376.0,6015680.0,0.0,5.34,5.379064611486487,1.5371333404262626,36574.514743089676
48,55,55.0,17.03125,17.90625,55,0.104803614,55,111680.0,6142400.0,0.0,6.809375,5.671047634548611,2.5999305128935664,37342.63677382469
49,55,55.0,17.125,17.90625,55,0.10543629,55,113984.0,6269120.0,0.0,5.82625,5.508599175347222,2.0321167381575305,38116.3421151638
50,55,55.0,17.90625,17.90625,55,0.100325555,55,116352.0,6399360.0,0.0,4.5675,5.469673775337838,1.8650973918940534,38880.518547296524
51,55,55.0,19.46875,19.46875,55,0.10167882,55,118656.0,6526080.0,0.0,4.5578125,5.435736762152778,1.6370131373079297,39648.943655490875
52,55,55.0,17.90625,19.46875,55,0.108376235,55,120960.0,6652800.0,0.0,6.1521875,5.637139214409722,2.5154741996726484,40426.27312922478
53,55,55.0,18.6875,19.46875,55,0.10204641,55,123328.0,6783040.0,0.0,5.5953125,5.614165434966216,1.3409664119465297,41198.102962732315
54,55,55.0,15.46875,19.46875,55,0.1102943,55,125632.0,6909760.0,0.0,5.4996875,5.835367838541667,1.6502692429475712,41972.053611278534
55,55,55.0,15.5625,19.46875,55,0.10825883,55,127936.0,7036480.0,0.0,5.4590625,5.803019205729167,1.5446271230360906,42744.76471924782
56,55,55.0,19.375,19.46875,55,0.10486131,55,130304.0,7166720.0,0.0,6.281875,5.673023120777027,2.189552519209119,43516.616117715836
57,55,55.0,16.25,19.46875,55,0.10748344,55,132608.0,7293440.0,0.0,6.3728125,5.705539279513889,2.4610332521054548,44292.380069971085
58,55,55.0,21.03125,21.03125,55,0.10337594,55,134976.0,7423680.0,0.0,5.9415625,5.50463207347973,2.0562531107499264,45065.56962800026
59,55,55.0,20.25,21.03125,55,0.109086044,55,137280.0,7550400.0,0.0,6.4103125,5.912570529513889,2.0407166662030156,45830.17766618729
60,55,55.0,17.03125,21.03125,55,0.11176084,55,139584.0,7677120.0,0.0,5.76875,5.803615993923611,1.8588155671018034,46602.2527487278
61,55,55.0,18.59375,21.03125,55,0.103823595,55,141952.0,7807360.0,0.0,5.4334375,5.692224451013513,1.2976139084753793,47365.513474226
