epcount,tcount,eprew,eplen_std,eplen_recent_best,wait_step,rets_ext,eplen,eprew_best,eprew_recent_best,rets_int,time_elapsed,wait_policy_inference,eplen_best,eplen_histmean,eprew_std,eprew_histmean,wait_update,n_updates
22310,5491048,-12.745281456953641,37.20409620393973,123,439.0879623889923,-9.061631,217.83443708609272,77.0,77.0,0.34921718,9378.706106185913,17.914312601089478,123,223.67,67.52411436503043,-22.124999999999996,299.4741163253784,21
23638,5754412,15.581777108433737,40.7126572252338,113,438.4484622478485,-1.6499554,198.31626506024097,81.1,81.1,0.3402802,9817.187451124191,17.707606315612793,113,198.16,63.00209309373208,19.546000000000003,298.2614529132843,22
25043,6015872,28.164697508896797,43.28797858594366,105,435.96962237358093,5.6598754,186.09252669039145,84.1,84.1,0.34154502,10253.181007385254,17.63831615447998,105,185.27,59.214800550773866,30.265,296.688273191452,23
26558,6278932,43.01287128712872,40.59241446665874,95,441.3513169288635,11.93109,173.63696369636963,88.3,88.3,0.34901953,10694.633376836777,17.876964807510376,95,171.6,48.74812342337154,48.721000000000004,300.78203535079956,24
28204,6541882,54.410996354799515,36.94347159292439,97,384.53723907470703,19.796608,159.75091130012152,88.3,87.3,0.3487963,11079.144055128098,17.74757957458496,95,160.25,39.40273604865883,54.283,244.5131893157959,25
29957,6804965,60.629720479178545,34.41161292343343,89,437.80405020713806,26.544641,150.07586993725042,90.6,90.6,0.3591174,11516.981725215912,17.885502576828003,89,149.98,34.29742365796436,62.80500000000001,296.6726243495941,26
31870,7068551,69.31975953998955,27.782263168410385,88,439.0697112083435,34.608265,137.78672242550968,91.0,91.0,0.36532906,11956.113479614258,17.63262128829956,88,137.7,20.911049424257175,69.85799999999999,299.69639134407043,27
33879,7331768,72.21338974614235,25.658313853468794,84,439.69413352012634,38.844498,131.01891488302638,92.5,92.5,0.37208003,12395.771471261978,17.952718019485474,84,127.31,19.912957301708502,75.051,298.58266139030457,28
35968,7593753,75.25045476304452,21.356083782044248,86,355.62647700309753,43.754227,125.41168022977502,92.5,91.9,0.3732593,12751.58014535904,17.94166135787964,84,123.1,14.346244975133272,76.82400000000001,217.48973083496094,29
38180,7857814,78.0125226039783,17.724015784135556,85,353.55001401901245,46.392826,119.37658227848101,92.5,92.1,0.37398687,13105.176232099533,17.597118616104126,84,120.44,10.823609230887032,77.888,217.5264220237732,30
