epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-98,0.007337025,241664,14906.55797,2088,6.774812,1500,0.629209965,1.7034326,1500,1500,-140,-141.58,0.007338567,118,30932992,0.31441784
-98,0.002555415,243712,15032.59455,2079,6.9058642,1500,0.582376301,1.731045,1500,1500,-140,-141.52,0.003520775,119,31195136,0.18334866
-98,0.002945934,245760,15159.39253,2067,7.121065,1500,0.530983418,1.7011703,1500,1500,-140,-141.28,0.00403969,120,31457280,0.20705509
-98,0.004352681,247808,15282.56072,2128,6.454322,1500,0.644732714,1.6954979,1500,1500,-140,-141.4,0.004919116,121,31719424,0.22576618
-98,0.002859778,249856,15407.00784,2106,6.4691243,1500,0.676524937,1.6617744,1500,1500,-140,-141.56,0.003607293,122,31981568,0.20800495
-98,0.000662594,251904,15534.92583,2049,6.111819,1500,0.648268402,1.6838721,1500,1500,-140,-141.52,0.002346597,123,32243712,0.13045025
-98,0.005237366,253952,15662.84143,2049,6.803101,1500,0.568822563,1.6797957,1500,1500,-140,-141.62,0.00489765,124,32505856,0.24506569
-98,1.34E-07,256000,15791.01671,2045,5.8095794,1500,0.649121255,1.659718,1500,1500,-140,-141.42,0.002021027,125,32768000,0.11065674
-98,-2.32E-05,258048,15919.68143,2037,6.2275414,1500,0.580055147,1.6434165,1500,1500,-140,-141.54,0.001903658,126,33030144,0.09508419
-98,0.001611877,260096,16046.05173,2074,6.3094144,1500,0.550674945,1.6513721,1500,1500,-140,-141.4,0.002485928,127,33292288,0.14428997
-98,0.001146615,262144,16169.88297,2117,6.6172256,1500,0.572875202,1.6397557,1500,1500,-140,-141.4,0.002500545,128,33554432,0.13181591
-98,1.22E-05,264192,16292.33896,2140,5.8670235,1500,0.603017062,1.6422021,1500,1500,-140,-141.52,0.002135606,129,33816576,0.12065983
-98,0.00112378,266240,16415.75812,2124,5.931624,1500,0.659586012,1.6467502,1500,1500,-140,-141.56,0.002631636,130,34078720,0.14994049
-98,0.00129774,268288,16542.00924,2078,6.102638,1500,0.633852929,1.6360155,1500,1500,-140,-141.52,0.002671689,131,34340864,0.14515305
-98,0.00318299,270336,16671.84507,2019,5.8177657,1500,0.706131905,1.6484865,1500,1500,-140,-141.44,0.004014369,132,34603008,0.21543217
