recent_best_eplen,total_secs,eprew_std,best_ext_ret,eprew,epcount,tcount,recent_worst_eplen,eplen_std,rew_mean,eplen,n_updates,eprew_recent,recent_best_ext_ret,best_eplen
49,4627.660973548889,10.191668950667502,119.7,112.82199999999999,48291.0,6525919.0,296,25.43591162117057,1.843797,65.12,51,113.79148832684824,119.3,49
49,4717.3035225868225,2.7104730214484696,119.7,115.34400000000001,50397.0,6653915.0,152,6.728714587497377,1.9024056,59.62,52,114.68983855650522,119.7,49
50,4806.87308382988,4.283488648286581,119.7,114.90500000000002,52496.0,6781993.0,304,10.519976235714607,1.8922117,60.51,53,114.57975226298237,119.3,49
49,4897.316872119904,3.4890071653695403,119.7,115.27699999999999,54621.0,6910061.0,194,8.41555702256244,1.9235932,59.72,54,114.892,118.9,49
48,4987.269649505615,3.9182163033707056,119.9,114.90899999999999,56761.0,7038321.0,156,9.658545439143516,1.9370632,60.55,55,115.0626168224299,119.9,48
50,5077.020853757858,3.0825345091336773,119.9,115.45900000000002,58930.0,7166104.0,192,7.369742193591305,1.9722083,59.13,56,115.46187183033655,119.1,48
49,5168.050515413284,11.06323980577118,119.9,114.615,61108.0,7294155.0,174,8.571137614109343,1.9798906,58.66,57,115.43787878787879,119.5,48
49,5258.132852315903,2.801927193914931,119.9,115.802,63308.0,7422274.0,162,6.515174594744181,2.0016685,58.25,58,115.684,119.7,48
48,5348.24166727066,12.596763512902829,119.9,113.94300000000003,65498.0,7550007.0,356,31.391430359255697,1.9964825,62.91,59,115.74730593607305,119.9,48
48,5438.1019282341,3.5399949152505856,120.1,115.80599999999998,67728.0,7678296.0,159,8.348766375938423,2.0347354,58.09,60,115.99636771300449,120.1,48
49,5529.19168305397,2.9338036744131326,120.1,116.214,69952.0,7805840.0,164,6.842652994270571,2.0342793,57.41,61,116.19712230215828,119.5,48
49,5618.099676847458,2.8600062936993687,120.1,116.34199999999998,72203.0,7934201.0,145,7.072276861096431,2.0602736,57.23,62,116.22216792536649,119.7,48
48,5707.105313539505,4.56061223960117,120.1,115.99600000000001,74453.0,8062120.0,173,11.278138144215117,2.0601902,57.94,63,116.34746666666666,119.3,48
48,5796.890822887421,4.549623610805623,120.1,116.28500000000003,76716.0,8190142.0,211,10.989922656688714,2.0754173,57.04,64,116.50950066283694,120.1,48
48,5889.583803653717,0.8680662417120021,120.1,117.119,78980.0,8318017.0,150,2.11224998520535,2.0737302,55.28,65,116.42283568904593,120.1,48
48,5978.231246709824,11.141879733689462,120.1,115.646,81258.0,8446249.0,162,4.192660253347509,2.0877516,55.96,66,116.50746268656717,120.1,48
49,6066.198724985123,4.07755760229086,120.1,116.28200000000001,83529.0,8574029.0,175,10.175676881662469,2.0817478,57.34,67,116.52210479964774,119.7,48
47,6154.897339105606,2.5141797867296605,120.5,116.83000000000004,85822.0,8702136.0,168,5.83447512635027,2.1088107,55.83,68,116.81696467509815,120.5,47
49,6246.195918798447,4.171982262666034,120.5,116.45800000000001,88126.0,8830088.0,136,10.370973917622202,2.1190503,56.77,69,116.84453124999999,119.7,47
49,6334.177982807159,1.678259813020618,120.5,117.138,90435.0,8958310.0,257,3.7841247336735617,2.1209757,54.98,70,116.83412732784755,119.7,47
48,6424.310979604721,1.753824107486267,120.5,117.20100000000001,92746.0,9086294.0,127,3.883091551843711,2.128264,55.04,71,116.97196019039377,119.9,47
46,6513.858768463135,1.3517780882970396,120.9,117.36399999999999,95049.0,9214094.0,150,1.5816447135814036,2.1189404,54.28,72,116.9188884064264,120.9,46
48,6605.70733499527,2.4185855370443283,120.9,117.03800000000001,97373.0,9342286.0,215,5.722097517519254,2.1389673,55.24,73,117.00813253012046,119.9,46
49,6696.039833784103,1.9172112559652885,120.9,117.19900000000001,99698.0,9470121.0,162,4.293902653763823,2.1451583,54.68,74,117.16834408602152,119.7,46
49,6784.607037067413,0.9054694914794199,120.9,117.445,102028.0,9598081.0,144,2.077955726188602,2.148198,54.39,75,117.0910729613734,119.7,46
48,6873.472242832184,3.5620750974677664,120.9,116.78900000000002,104370.0,9726243.0,134,7.821630264848882,2.1592531,55.61,76,117.25529461998293,120.1,46
48,6963.497523069382,1.0865081684000357,120.9,117.57000000000002,106720.0,9854378.0,125,2.5972292929196685,2.169502,54.12,77,117.35948936170215,120.1,46
48,7053.60882973671,2.516997218909866,120.9,117.18500000000002,109066.0,9982102.0,165,5.545547763747058,2.1692476,54.87,78,117.36001705029837,120.1,46
48,7143.232671499252,2.009695250529294,120.9,117.325,111412.0,10110213.0,130,4.942256569624852,2.163597,54.71,79,117.29795396419438,120.1,46
47,7235.167571544647,2.457197387268674,120.9,117.25900000000001,113760.0,10238106.0,141,5.439586381334522,2.16662,54.53,80,117.30515332197615,120.3,46
49,7323.295708656311,0.9059464664095777,120.9,117.631,116114.0,10366004.0,269,2.17759041144105,2.1789496,53.91,81,117.42327952421411,119.7,46
48,7411.795596122742,2.5491322052808476,120.9,117.235,118482.0,10494350.0,146,5.939452836751884,2.1857865,54.73,82,117.47077702702703,120.1,46
48,7500.44481086731,2.2736754385795694,120.9,117.42,120845.0,10622243.0,221,4.9901001993947975,2.1829312,54.17,83,117.42166737198478,119.9,46
47,7589.481176376343,1.3523076573028783,120.9,117.608,123208.0,10750263.0,229,2.711088342345192,2.1833053,53.7,84,117.37422767668218,120.5,46
48,7678.389177560806,1.7073617074305025,120.9,117.65400000000001,125581.0,10878295.0,132,3.789670170344644,2.1961696,53.72,85,117.55179098187949,120.1,46
48,7767.718597412109,3.2206111221319467,120.9,117.30799999999998,127948.0,11006170.0,141,7.820485918406862,2.188686,54.6,86,117.52678495986481,120.1,46
48,7857.5528836250305,1.0811956344713942,120.9,117.696,130324.0,11134326.0,139,1.469693845669907,2.19756,53.4,87,117.58834175084176,120.1,46
48,7950.028613805771,1.3858178090932445,120.9,117.54699999999998,132697.0,11262178.0,131,1.96822254839233,2.1978886,53.69,88,117.59157184997895,120.1,46
