curbestlen,serial_timesteps,eprewmean,policy_entropy,explained_variance,approxkl,clipfrac,epbestrew,fps,value_loss,eplenmean,total_timesteps,time_elapsed,nupdates,epbestlen,policy_loss,curbestrew
1000,766000,-96.02,1.6860286,0.33966630697250366,0.0014142484,0.05627345,55.5,2082,9.965458,1000.0,49024000,23493.607929706573,383,705,0.00032503103,-96.0
1000,768000,-96.0,1.6819198,0.30067241191864014,0.0023750032,0.124375,55.5,2116,9.888378,1000.0,49152000,23554.10442495346,384,705,0.0006834722,-92.0
1000,770000,-96.0,1.6819305,0.35471582412719727,0.0010155829,0.015976563,55.5,2156,9.726517,1000.0,49280000,23613.459759950638,385,705,3.2603406e-05,-96.0
1000,772000,-96.0,1.6976401,0.3440098762512207,0.0044120867,0.23381053,55.5,2049,9.942271,1000.0,49408000,23675.930728673935,386,705,0.0025236602,-96.0
1000,774000,-96.0,1.689575,0.3167356252670288,0.0016793138,0.08367969,55.5,2084,9.979985,1000.0,49536000,23737.34543299675,387,705,0.00047496846,-96.0
1000,776000,-95.94,1.7037897,0.36252880096435547,0.0012462924,0.052357428,55.5,2058,9.624109,1000.0,49664000,23799.53031373024,388,705,0.00014031338,-92.0
1000,778000,-96.0,1.6934191,0.35033977031707764,0.0017513187,0.06853126,55.5,2039,10.041823,1000.0,49792000,23862.286065340042,389,705,0.00022554911,-96.0
1000,780000,-96.0,1.6980141,0.34489357471466064,0.0038256296,0.15337889,55.5,2103,9.829921,1000.0,49920000,23923.13733434677,390,705,0.0019264676,-96.0
1000,782000,-96.0,1.7123164,0.33683639764785767,0.0009799587,0.029615236,55.5,2108,9.954583,1000.0,50048000,23983.914833545685,391,705,0.00012901642,-96.0
1000,784000,-96.0,1.7145364,0.32461678981781006,0.0026517785,0.14131644,55.5,2074,10.193062,1000.0,50176000,24045.628885507584,392,705,0.0012628653,-96.0
1000,786000,-96.0,1.7201532,0.3587433695793152,0.0032958388,0.16236918,55.5,2026,9.898653,1000.0,50304000,24108.78711128235,393,705,0.0007554241,-94.0
1000,788000,-96.02,1.7125441,0.3528059124946594,0.0033724261,0.1435137,55.5,2087,9.927033,1000.0,50432000,24170.10613846779,394,705,0.0018904263,-96.0
1000,790000,-96.02,1.7223529,0.3525984287261963,0.0015739836,0.05173047,55.5,2110,9.798475,1000.0,50560000,24230.764402389526,395,705,-0.00012695292,-92.0
1000,792000,-96.0,1.717803,0.3363497257232666,0.008978632,0.31045312,55.5,2122,9.948857,1000.0,50688000,24291.095795869827,396,705,0.00818895,-96.0
1000,794000,-95.98,1.7252982,0.33036863803863525,0.0024273393,0.12613086,55.5,2116,9.858003,1000.0,50816000,24351.590745925903,397,705,0.0008624954,-92.0
1000,796000,-95.96,1.7388572,0.3376012444496155,0.005371403,0.28258395,55.5,2110,9.566142,1000.0,50944000,24412.236665010452,398,705,0.0032378198,-92.0
1000,798000,-95.98,1.7507191,0.3667672872543335,0.001649962,0.06475782,55.5,2105,9.37356,1000.0,51072000,24473.0218873024,399,705,0.000108797285,-94.0
1000,800000,-96.0,1.7578211,0.3605108857154846,0.0017859064,0.07937892,55.5,2059,9.236056,1000.0,51200000,24535.184113025665,400,705,0.00029856988,-94.0
1000,802000,-96.0,1.750426,0.3698837161064148,0.0010317905,0.037732422,55.5,2079,9.308265,1000.0,51328000,24596.78738760948,401,705,-0.0001648196,-96.0
1000,804000,-95.98,1.7475611,0.34168702363967896,0.0010101856,0.0075039067,55.5,2094,9.752695,1000.0,51456000,24657.892196893692,402,705,-7.151009e-05,-92.0
1000,806000,-96.02,1.7534087,0.3534572720527649,0.0009229472,0.014318361,55.5,2141,9.556249,1000.0,51584000,24717.673283815384,403,705,7.939554e-05,-96.0
1000,808000,-96.0,1.7569143,0.3704146146774292,0.0031041733,0.20773639,55.5,2115,9.570855,1000.0,51712000,24778.193543434143,404,705,0.0016285185,-92.0
1000,810000,-96.0,1.7443331,0.3523455262184143,0.00084454706,0.014048832,55.5,2107,9.35427,1000.0,51840000,24838.945236206055,405,705,-1.0129158e-05,-96.0
1000,812000,-96.0,1.7564914,0.35385262966156006,0.001695364,0.06707812,55.5,2130,9.569068,1000.0,51968000,24899.022003173828,406,705,0.00017836316,-96.0
1000,814000,-95.96,1.7490238,0.36124187707901,0.0009394782,0.023455072,55.5,2098,9.302315,1000.0,52096000,24960.027007102966,407,705,6.485324e-05,-92.0
1000,816000,-96.0,1.742003,0.3588222861289978,0.0015352737,0.06370703,55.5,2062,9.523227,1000.0,52224000,25022.108639478683,408,705,0.00013595827,-96.0
1000,818000,-96.0,1.7304752,0.3834085464477539,0.0014160419,0.06765821,55.5,2078,9.538795,1000.0,52352000,25083.699991226196,409,705,0.00062570535,-96.0
1000,820000,-95.98,1.7161014,0.40492403507232666,0.0021856348,0.10490821,55.5,2082,9.486887,1000.0,52480000,25145.174243211746,410,705,0.0004244904,-92.0
1000,822000,-95.98,1.7211438,0.3864747881889343,0.0016283039,0.021082029,55.5,2136,9.087021,1000.0,52608000,25205.151843309402,411,705,-0.0003127521,-92.0
1000,824000,-96.0,1.7236372,0.3874076008796692,0.0008692273,0.027462889,55.5,2074,9.022884,1000.0,52736000,25266.847354650497,412,705,-8.482774e-05,-96.0
1000,826000,-96.0,1.7209653,0.3862806558609009,0.0014744349,0.029417966,55.5,2116,8.969568,1000.0,52864000,25327.3384578228,413,705,-0.00031109122,-96.0
1000,828000,-96.0,1.718927,0.3697541356086731,0.0013536892,0.054429695,55.5,2090,9.287518,1000.0,52992000,25388.57079434395,414,705,5.6327335e-05,-96.0
1000,830000,-96.02,1.7071227,0.38019365072250366,0.0011507649,0.029158207,55.5,2117,9.316209,1000.0,53120000,25449.034502267838,415,705,3.3906883e-05,-96.0
1000,832000,-96.0,1.7133512,0.3757297396659851,0.0014337625,0.042021483,55.5,2124,9.250844,1000.0,53248000,25509.282222509384,416,705,7.8213954e-05,-96.0
1000,834000,-96.02,1.7061913,0.4049096703529358,0.00089103257,0.016107423,55.5,2100,9.231043,1000.0,53376000,25570.220052719116,417,705,6.091773e-05,-96.0
1000,836000,-96.0,1.7018365,0.40861624479293823,0.0016646197,0.05293945,55.5,2092,8.991511,1000.0,53504000,25631.39466905594,418,705,-0.00028151568,-96.0
1000,838000,-96.0,1.7035799,0.3964148163795471,0.0010802926,0.01723828,55.5,2120,9.0467005,1000.0,53632000,25691.765472650528,419,705,4.441532e-05,-96.0
1000,840000,-96.02,1.7013688,0.39063698053359985,0.001152477,0.02611719,55.5,2112,9.153959,1000.0,53760000,25752.368109703064,420,705,1.818124e-05,-96.0
1000,842000,-96.0,1.6943378,0.3785970211029053,0.0013535371,0.041365236,55.5,2101,9.446111,1000.0,53888000,25813.332649469376,421,705,-1.5427055e-05,-96.0
1000,844000,-96.0,1.6926464,0.3705475330352783,0.0012921653,0.0378457,55.5,2111,9.308006,1000.0,54016000,25873.95732498169,422,705,0.000117059746,-96.0
1000,846000,-96.0,1.691832,0.3401966094970703,0.0022632545,0.117992185,55.5,2120,9.353474,1000.0,54144000,25934.3180205822,423,705,0.0004465119,-96.0
1000,848000,-96.02,1.6824765,0.34184134006500244,0.0029081893,0.15490822,55.5,2111,9.47147,1000.0,54272000,25994.947581529617,424,705,0.0011851307,-96.0
1000,850000,-96.0,1.7004116,0.36248791217803955,0.0020283847,0.08858593,55.5,2071,9.500762,1000.0,54400000,26056.73089504242,425,705,0.00037428702,-96.0
1000,852000,-96.02,1.7090015,0.3862323760986328,0.0013364096,0.043775395,55.5,2063,9.156613,1000.0,54528000,26118.76298379898,426,705,0.0001916159,-96.0
1000,854000,-96.04,1.6986976,0.40807032585144043,0.0032331536,0.11898438,55.5,2087,9.093697,1000.0,54656000,26180.073362350464,427,705,0.00089012214,-96.0
1000,856000,-96.0,1.6996934,0.4123949408531189,0.0020414726,0.094,55.5,2069,9.185186,1000.0,54784000,26241.929635047913,428,705,0.00021712112,-96.0
1000,858000,-96.0,1.6885492,0.40138399600982666,0.0017181253,0.07440429,55.5,2045,9.510385,1000.0,54912000,26304.504205942154,429,705,-2.909387e-05,-96.0
