recent_worst_eplen,eprew,best_ext_ret,best_eplen,total_secs,eplen,n_updates,epcount,tcount,eprew_recent,eplen_std,recent_best_eplen,recent_best_ext_ret,rew_mean,eprew_std
382,230.675,240.9,131,8596.70501589775,156.23,984,38587.0,251894333.0,230.13308778391655,13.698799217449682,134,239.6,1.4739733,5.558657661702148
573,229.33700000000002,240.9,131,8958.672174215317,159.31,985,40205.0,252150516.0,229.81248454882572,23.26400438445626,135,239.3,1.4631059,9.786711960612717
336,230.31600000000003,240.9,131,9318.88301205635,157.21,986,41828.0,252405880.0,230.21263093037587,18.048986121109408,135,239.2,1.469761,7.303064014507884
313,231.24499999999998,240.9,131,9685.406073331833,154.73,987,43457.0,252661354.0,230.41663597298952,11.57484773117988,134,239.5,1.4784486,4.655606834774602
750,229.961,240.9,131,10047.58761882782,157.87,988,45086.0,252917436.0,230.1168201350522,14.750359317657317,133,240.1,1.4751422,6.070006507410021
303,229.828,240.9,131,10404.510164499283,158.21,989,46723.0,253173686.0,230.54722052535124,15.814736798315677,134,239.7,1.488027,6.494999307159317
708,226.47899999999998,240.9,131,10764.260853528976,166.63,990,48342.0,253429995.0,229.80938851142682,58.12841903922728,133,240.1,1.4662458,23.267734290213994
750,230.56,240.9,131,11129.172286987305,156.33,991,49965.0,253685265.0,230.07615526802218,12.379058930306456,134,239.7,1.4695377,4.995317807707535
750,230.39700000000002,240.9,131,11494.541358947754,156.82,992,51604.0,253942188.0,230.28456375838925,18.720245724882997,135,239.2,1.4865317,7.603807664584897
441,231.058,240.9,131,11855.079800605774,155.2,993,53230.0,254197163.0,230.440036900369,12.459534501738016,136,238.9,1.4774663,5.244848520214861
750,230.398,240.9,131,12214.257883548737,156.68,994,54865.0,254453813.0,230.20886850152905,15.000586655194521,131,240.9,1.4806497,6.388411070054901
503,230.08799999999997,240.9,131,12567.92304968834,157.64,995,56497.0,254709798.0,230.40980392156862,13.648091441663189,132,240.5,1.4814279,5.569924236468571
750,230.47799999999995,240.9,131,12922.17713356018,156.77,996,58124.0,254966314.0,229.91942224953905,14.644353860788806,133,240.0,1.4754107,5.9086137122001805
437,230.35499999999996,240.9,131,13281.580298185349,157.07,997,59763.0,255222178.0,230.70164734594266,13.845038822625236,134,239.6,1.4911412,5.591196204749035
315,230.93500000000003,240.9,131,13646.326788425446,155.43,998,61403.0,255478722.0,230.5601219512195,13.174410802764578,131,240.9,1.4921999,5.609962121084241
569,229.46099999999998,240.9,131,14007.297656536102,158.97,999,63027.0,255734081.0,230.23768472906403,19.37134739763861,133,240.1,1.4706786,7.765228844019989
571,229.85800000000003,240.9,131,14370.620724439621,158.31,1000,64653.0,255989573.0,230.29544895448956,14.832865535694715,133,240.0,1.4758747,6.119283945038013
286,231.80700000000002,240.9,131,14732.185292005539,153.53,1001,66300.0,256247500.0,230.51936854887677,13.983172029264319,132,240.5,1.4986862,5.607784856786145
391,230.11199999999997,240.9,131,15095.87341427803,157.62,1002,67930.0,256501509.0,230.81214723926382,13.484643117264913,134,239.7,1.4836135,5.440813909701379
327,231.48,240.9,131,15455.155703783035,154.04,1003,69561.0,256757587.0,230.34622930717347,11.063381038362548,133,240.0,1.4789853,4.4766281954167235
379,230.229,240.9,131,15817.380800485611,157.29,1004,71205.0,257014129.0,230.7448296836983,17.298725386571114,132,240.4,1.4971511,6.941675518201638
387,231.77800000000002,240.9,131,16178.20493721962,153.44,1005,72847.0,257269342.0,230.95803897685747,12.108938846984074,133,240.0,1.4959646,4.899215855624243
346,230.234,240.9,131,16537.892870664597,157.36,1006,74493.0,257525913.0,230.7888821385176,16.20525840583852,135,239.3,1.4971637,6.486142459120058
513,230.812,240.9,131,16900.16921901703,155.9,1007,76128.0,257781544.0,230.6064831804281,17.172361514946044,133,240.1,1.4854938,6.906566151134729
587,230.08300000000006,240.9,131,17260.865144729614,157.66,1008,77773.0,258038578.0,230.6474772036474,13.855121796649787,131,240.8,1.4984386,5.618951058694142
324,231.442,240.9,131,17626.327210187912,154.34,1009,79411.0,258294517.0,230.64743589743588,10.08188474443147,134,239.6,1.4878126,4.081719735601649
373,230.38800000000003,240.9,131,17990.207662820816,156.76,1010,81043.0,258549644.0,230.5922181372549,15.382535551722285,133,240.1,1.4840735,6.2120412104235125
625,231.34,240.9,131,18351.492753744125,154.46,1011,82690.0,258806003.0,230.90418943533703,10.871448845485132,134,239.7,1.4986393,4.376802485833694
366,230.505,240.9,131,18715.785872220993,156.68,1012,84331.0,259061835.0,230.7912248628885,17.447567165653783,132,240.4,1.4965037,7.141335659384736
299,232.12500000000003,240.9,131,19080.807893276215,152.73,1013,85980.0,259317576.0,231.09017586416007,13.011421905387591,134,239.7,1.5002359,5.228314738039399
551,230.238,240.9,131,19444.34127306938,157.3,1014,87618.0,259573603.0,230.6229548229548,12.407658925034973,132,240.4,1.4915403,4.969562958651395
343,231.32099999999994,240.9,131,19810.82609152794,154.57,1015,89261.0,259829306.0,230.9028606208156,14.657595300730609,134,239.4,1.4960339,5.93082279283406
307,231.62,240.9,131,20172.201013088226,153.89,1016,90916.0,260086648.0,230.93347432024166,12.224479539023328,134,239.6,1.5060666,4.942833195648017
286,230.74500000000006,240.9,131,20533.494485139847,155.9,1017,92575.0,260343283.0,231.26576250753467,12.92710331048685,133,240.1,1.5139097,5.294796974389102
305,231.56500000000003,240.9,131,20895.94549012184,154.05,1018,94226.0,260597604.0,231.53252574197458,11.929270723728253,134,239.7,1.5087411,4.804484883939172
437,230.60099999999994,240.9,131,21253.99704694748,156.44,1019,95888.0,260854945.0,231.217027677497,17.316073457917646,132,240.5,1.5158283,6.997077890090977
359,231.17,240.9,131,21617.07963848114,155.06,1020,97539.0,261110211.0,231.33458509993943,14.757249066136954,134,239.6,1.5056489,5.9204813993458325
750,231.14999999999998,240.9,131,21974.020552635193,155.15,1021,99188.0,261365482.0,231.05736810187992,18.320685030860606,133,240.0,1.5027108,7.3425949091584775
318,231.02899999999997,240.9,131,22333.58530855179,155.25,1022,100854.0,261622328.0,231.4918367346939,14.339020189678234,135,239.3,1.5201529,5.920275246979652
505,232.38299999999998,240.9,131,22690.259601593018,152.07,1023,102502.0,261877400.0,231.25345873786404,8.235599553159442,134,239.7,1.5067886,3.3304971100422835
558,230.703,240.9,131,23056.150454044342,156.19,1024,104154.0,262133413.0,231.15199757869252,18.27604716562091,132,240.4,1.5073832,7.321754639428993
410,231.86199999999997,240.9,131,23418.280121088028,153.4,1025,105812.0,262389582.0,231.33540410132687,13.237069162016189,135,239.2,1.5142751,5.299505259927573
664,231.69799999999998,240.9,131,23785.453505516052,153.84,1026,107469.0,262645611.0,231.35636692818346,11.02698508206119,131,240.8,1.5085975,4.422645814441847
598,231.62699999999998,240.9,131,24139.515160799026,153.74,1027,109123.0,262901557.0,231.27007255139054,15.593986020257939,134,239.6,1.510263,6.371951898751276
340,231.52,240.9,131,24498.87725877762,154.08,1028,110794.0,263158807.0,231.5837223219629,17.383716518627427,132,240.5,1.5264258,6.968888003117858
280,231.74700000000004,240.9,131,24854.572802066803,153.57,1029,112458.0,263414588.0,231.67908653846155,11.316585173982475,132,240.4,1.5226114,4.565204376586004
295,232.692,240.9,131,25210.385758638382,151.22,1030,114122.0,263670542.0,231.61887019230764,10.877113587712504,134,239.7,1.523133,4.348348652074716
