recent_worst_eplen,eplen,recent_best_ext_ret,epcount,eprew_recent,recent_best_eplen,best_eplen,total_secs,eplen_std,best_ext_ret,n_updates,eprew,rew_mean,tcount,eprew_std
500,419.14,122.6,78837.0,-54.51762767710049,229,217,55168.38045525551,98.72426449460133,131.5,153,-61.145,-0.12677105,39137122.0,130.91530344081244
500,406.77,129.7,79464.0,-48.67751196172249,211,211,55526.27578282356,102.89770211234068,131.5,154,-45.078,-0.10963404,39393412.0,133.2849275649726
500,380.92,128.9,80109.0,-44.094573643410854,213,211,55885.05604696274,106.2459109801408,131.5,155,-15.524000000000001,-0.09483727,39653875.0,133.5946893555279
500,366.55,130.1,80784.0,-7.237333333333333,218,211,56242.12141561508,104.50764326115099,131.5,156,1.598999999999998,-0.013347634,39907747.0,130.0145387985513
500,350.41,135.7,81477.0,-1.531890331890333,206,206,56600.695897340775,102.90170989832967,135.7,157,19.429999999999996,0.0043027555,40163163.0,125.03941818482681
500,362.71,130.9,82185.0,0.5603107344632785,214,206,56952.888132572174,105.96794751244359,135.7,158,7.115999999999999,0.016757049,40424513.0,128.74789452259014
500,343.55,135.6,82923.0,28.91937669376694,206,206,57307.749616384506,95.16421333673703,135.7,159,34.074,0.09130259,40678692.0,114.92232387138715
500,352.36,132.2,83695.0,41.69183937823834,205,205,57665.12337875366,103.65698432811946,135.7,160,20.685,0.13268702,40935329.0,123.46087912776257
500,305.36,135.9,84489.0,50.80994962216626,197,197,58028.800978899,81.9013455322927,135.9,161,69.22999999999999,0.16899857,41193593.0,93.92197772619569
500,313.06,133.9,85293.0,55.33830845771144,201,197,58385.89018559456,88.91139634490058,135.9,162,62.73400000000001,0.18142408,41449866.0,98.38157370158295
500,300.84,144.5,86122.0,62.44439083232811,184,184,58742.911418914795,84.5675729816104,144.5,163,72.765,0.21179296,41706415.0,91.69778118907784
500,307.4,138.1,86994.0,74.50607798165137,193,184,59095.49314332008,91.14801149778309,144.5,164,67.267,0.26446217,41966300.0,96.2322368595888
