eprew_recent,n_updates,epcount,tcount,recent_best_ext_ret,recent_best_eplen,eprew_std,recent_worst_eplen,total_secs,best_eplen,eplen,eprew,best_ext_ret,eplen_std,rew_mean
230.00497282061605,139,517806.0,35580806.0,233.2,44,2.037293302399044,116,29664.43807196617,42,51.57,229.99400000000006,234.0,3.1662438314191776,4.4766154
229.9362922705314,140,522774.0,35836679.0,232.8,45,1.3621817059408778,104,29880.070635080338,42,51.6,230.06900000000005,234.0,2.9698484809834995,4.473897
229.8621539704991,141,527723.0,36092472.0,233.7,43,4.121901866857095,133,30095.27043032646,42,52.5,229.505,234.0,8.801704380402695,4.4589
229.96759147567352,142,532697.0,36348723.0,232.8,45,0.7587324956794742,151,30311.26771259308,42,51.31,230.18500000000003,234.0,0.9559811713627002,4.4820433
229.97776659959757,143,537667.0,36604637.0,233.2,44,2.5011779224997186,105,30527.137313604355,42,51.75,229.84700000000004,234.0,4.7018613335571695,4.477153
229.97458785685566,144,542641.0,36860728.0,233.2,44,1.9355877660287062,165,30742.35240459442,42,51.18,230.03000000000003,234.0,1.8186808406094788,4.482359
229.97359437751004,145,547621.0,37116583.0,233.2,44,1.786170204655759,123,30957.757110595703,42,50.98,230.21400000000006,234.0,1.4489996549343964,4.484683
230.01586760280844,146,552606.0,37372828.0,233.2,44,1.8970672101957813,147,31173.41731452942,42,51.22,230.056,234.0,1.8685823503394223,4.493165
230.02624198717947,147,557598.0,37628800.0,232.8,45,0.8763441104954144,111,31389.798820495605,42,51.03,230.289,234.0,1.2120643547270913,4.4989533
229.99877510040164,148,562578.0,37884325.0,233.6,43,0.8499852939904328,110,31603.500531196594,42,51.23,230.28500000000003,234.0,1.9123545696339894,4.4885297
229.9851429714057,149,567579.0,38140686.0,233.6,43,1.8317147703722856,116,31821.389392852783,42,51.05,230.16100000000003,234.0,1.80208212909401,4.506608
230.05765765765767,150,572574.0,38396883.0,232.8,45,0.5673614368284134,109,32035.14423251152,42,51.08,230.34900000000005,234.0,1.0067770358922574,4.5005503
230.06823458767016,151,577570.0,38652560.0,232.8,45,2.806508685181643,128,32251.418482542038,42,50.97,229.95300000000003,234.0,1.0144456614328832,4.504554
230.06571371451423,152,582572.0,38908588.0,233.4,44,1.7046653630551676,123,32465.872668266296,42,50.98,230.14600000000007,234.0,1.1998333217576518,4.5088277
230.0089146512093,153,587575.0,39164582.0,233.6,43,3.145457677349992,375,32680.26159143448,42,51.36,229.86400000000006,234.0,5.4046646519465025,4.509871
230.03696824445777,154,592582.0,39420751.0,233.2,44,0.8178477853488385,152,32895.485807180405,42,50.96,230.39500000000007,234.0,1.7258041603843697,4.512124
230.10345516277212,155,597589.0,39676748.0,233.2,44,4.399628507044656,153,33109.51558947563,42,51.74,229.887,234.0,10.236815911209892,4.51272
230.0754442004392,156,602598.0,39932592.0,233.2,44,2.288365355444799,141,33326.65583920479,42,50.82,230.17200000000005,234.0,1.1779643458101776,4.516282
230.11220629231383,157,607620.0,40188738.0,234.0,42,0.916983642165989,137,33544.33154940605,42,51.04,230.371,234.0,2.0924626639440906,4.5305333
