ev,opt_approxkl,eplen,epcount,opt_ent,best_ext_ret,opt_feat_var,opt_tot,opt_pg,recent_best_ext_ret,retstd,advstd,tps,rank,opt_dyn_loss,vpredstd,opt_clipfrac,advmean,n_updates,total_secs,opt_vf,tcount,eprew,ups,vpredmean,retmean,eprew_recent,rew_mean
0.9903502482920885,2.372311e-11,402.24,161350.0,0.6014025,401.2,0.24330303,29.531631,0.8915712,398.35,81.97884,8.0530405,565.1657237162025,0,0.073768705,81.58265,0.0,-0.76522344,1201,129902.39275860786,28.640661,307427532.0,377.32299999999987,0.0022076786082664158,92.92725,92.16202,372.29458598726114,0.9250218
0.990307167172432,2.1755476e-11,397.27,161993.0,0.6243688,401.2,0.24749187,47.162743,0.7380095,400.45,81.04967,7.9795175,557.3072834217946,0,0.07360989,80.02297,0.0,-0.6821806,1202,130361.74437236786,46.425358,307686356.0,386.6225,0.002176981575866385,93.12034,92.43815,374.494401244168,0.9479879
0.9895262373611331,2.190401e-11,410.03,162625.0,0.60398144,401.2,0.2522319,27.908342,1.2961518,399.45,79.34609,8.120391,559.3370032350382,0,0.0757271,77.64022,0.0,-1.5235274,1203,130819.42909288406,26.612795,307942237.0,371.8639999999999,0.002184910168886868,93.587875,92.06435,370.4770569620253,0.9215214
0.9902793727815151,2.193315e-11,412.5,163261.0,0.5942747,401.2,0.2473051,26.515535,0.87415284,398.1,79.46846,7.835053,563.9235095291385,0,0.07301085,77.72734,0.0,-1.0974468,1204,131273.39136910439,25.641977,308198993.0,367.02399999999994,0.0022028262090981977,92.97548,91.878044,371.1337264150943,0.9317153
0.991409876383841,2.3260123e-11,405.6,163894.0,0.60853314,401.2,0.24851583,29.731134,0.8835522,398.15,82.23395,7.621682,556.19309084466,0,0.074616954,81.55281,0.0,-0.644046,1205,131733.66317796707,28.84819,308454317.0,373.16099999999983,0.0021726292611119534,92.57468,91.930626,373.7345181674566,0.93702424
0.9911539210006595,2.1485955e-11,403.47,164539.0,0.59908134,401.2,0.24683854,23.732597,0.3266884,399.5,81.68193,7.682479,563.2882992882938,0,0.07261172,80.89578,0.0,-0.93879163,1206,132188.13737940788,23.406507,308709884.0,365.36949999999996,0.002200344919094898,95.111046,94.172264,377.54558139534885,0.9556381
0.9913826817646623,2.2183585e-11,394.65,165187.0,0.60750854,401.2,0.23951994,49.89025,1.7000241,400.0,82.56806,7.6647525,552.6644797230836,0,0.071348645,82.25588,0.0,-0.46556777,1207,132651.3478975296,48.190834,308966612.0,378.66949999999997,0.002158845623918295,94.72442,94.258865,378.79375,0.9679548
0.99074034858495,2.2675839e-11,405.43,165815.0,0.6106594,401.2,0.2544854,25.183632,0.3078692,399.5,82.54068,7.942649,557.2181373841688,0,0.07697269,82.47064,0.0,-0.4604214,1208,133110.77300024033,24.876373,309220156.0,372.681,0.0021766333491569094,92.351036,91.890625,373.9660031847133,0.9264517
0.9910623515024781,2.163076e-11,408.81,166447.0,0.59589267,401.2,0.24896552,25.07695,0.2406338,399.45,83.16924,7.8627486,551.6733639826361,0,0.07428606,83.53679,0.0,-0.82594365,1209,133574.81570506096,24.836912,309475510.0,371.52450000000005,0.0021549740780571723,93.55544,92.72951,372.8280063291139,0.92624146
0.9916726471856236,2.2072132e-11,394.84,167091.0,0.6026566,401.2,0.24363758,23.38097,0.38808796,399.25,82.70959,7.547609,549.8582093459221,0,0.07333812,83.03658,0.0,-0.33750674,1210,134040.39027619362,22.993484,309734307.0,382.82950000000005,0.0021478836302575082,94.50143,94.16393,374.108152173913,0.9522154
