policy_loss,nupdates,curbestlen,eplenmean,fps,time_elapsed,eprewmean,total_timesteps,curbestrew,explained_variance,policy_entropy,clipfrac,serial_timesteps,approxkl,epbestlen,value_loss,epbestrew
-0.00027039484,54,2000,2000.0,1104,13052.98912024498,-192.8,14155776,-192.0,0.361600399017334,1.3315233,0.024769783,110592,0.00076206314,2000,8.99686,-152.0
-0.00026416505,55,2000,2000.0,1096,13292.0970723629,-193.1,14417920,-192.0,0.36639344692230225,1.3069583,0.034729958,112640,0.000853477,2000,9.036219,-152.0
-0.00017429113,56,2000,2000.0,1097,13530.851331233978,-193.48,14680064,-192.0,0.33078986406326294,1.27935,0.02268982,114688,0.0005998126,2000,8.659699,-152.0
-0.00032298703,57,2000,2000.0,1081,13773.186707735062,-193.48,14942208,-192.0,0.34781545400619507,1.2908018,0.020448685,116736,0.0007913587,2000,8.556504,-152.0
-0.00012224469,58,2000,2000.0,1077,14016.550635576248,-193.94,15204352,-192.0,0.3531554937362671,1.2749356,0.04192543,118784,0.00089322304,2000,8.69137,-152.0
-3.4475648e-05,59,2000,2000.0,1067,14262.17654967308,-194.38,15466496,-192.0,0.3582310676574707,1.3376861,0.03191662,120832,0.0008544686,2000,8.948983,-152.0
-0.00018864877,60,2000,2000.0,1069,14507.392830371857,-194.26,15728640,-192.0,0.3424467444419861,1.3290676,0.026966095,122880,0.0007288489,2000,8.942246,-152.0
-0.00015771958,61,2000,2000.0,1078,14750.49125623703,-194.62,15990784,-192.0,0.3627052307128906,1.3035169,0.025718689,124928,0.00077931467,2000,8.825078,-152.0
-0.0003458889,62,2000,2000.0,1079,14993.4416513443,-194.7,16252928,-192.0,0.3726488947868347,1.3223852,0.019118309,126976,0.00081402593,2000,8.650363,-152.0
-0.00023850353,63,2000,2000.0,1069,15238.595140457153,-194.84,16515072,-192.0,0.36709046363830566,1.3324323,0.008664131,129024,0.0006356885,2000,8.940701,-152.0
-0.00022924949,64,2000,2000.0,1076,15482.021923542023,-194.94,16777216,-192.0,0.38812506198883057,1.3242911,0.009192467,131072,0.00041454396,2000,8.715741,-152.0
5.3861313e-05,65,2000,2000.0,1080,15724.707651853561,-194.92,17039360,-192.0,0.3636325001716614,1.3426871,0.024806023,133120,0.00078845705,2000,8.952415,-152.0
-0.00024592673,66,2000,2000.0,1093,15964.429859638214,-194.78,17301504,-192.0,0.3746640682220459,1.3648891,0.014942169,135168,0.0008086481,2000,8.878106,-152.0
-0.00017004336,67,2000,2000.0,1088,16205.338986158371,-194.94,17563648,-192.0,0.39602750539779663,1.3675848,0.031676292,137216,0.00093210774,2000,9.080652,-152.0
-0.00032865952,68,2000,2000.0,1094,16444.86766600609,-194.82,17825792,-192.0,0.43229079246520996,1.351542,0.028575897,139264,0.0010812168,2000,8.699793,-152.0
-0.00021041332,69,2000,2000.0,1103,16682.451399564743,-194.94,18087936,-192.0,0.4305991530418396,1.3614192,0.029571533,141312,0.001004488,2000,8.951344,-152.0
-0.00018679636,70,2000,2000.0,1099,16920.849452733994,-195.16,18350080,-194.0,0.43923884630203247,1.364168,0.019023895,143360,0.00087289384,2000,8.780557,-152.0
-0.00014770217,71,2000,2000.0,1090,17161.22655439377,-195.18,18612224,-192.0,0.4160196781158447,1.4202915,0.0076169968,145408,0.0010419502,2000,9.209168,-152.0
-0.00029492236,72,2000,2000.0,1088,17402.01660466194,-195.2,18874368,-192.0,0.41590964794158936,1.4408401,0.014005661,147456,0.00079687894,2000,9.031106,-152.0
-0.00038403794,73,2000,2000.0,1086,17643.23177099228,-194.96,19136512,-194.0,0.39067572355270386,1.4865599,0.006863594,149504,0.0013074097,2000,9.387764,-152.0
-1.7376575e-05,74,2000,2000.0,1086,17884.404857873917,-195.36,19398656,-194.0,0.4090903401374817,1.4948467,0.027863503,151552,0.001256609,2000,9.635658,-152.0
-0.00021150109,75,2000,2000.0,1087,18125.427567243576,-195.34,19660800,-194.0,0.4069293737411499,1.4860039,0.008724213,153600,0.0009526693,2000,9.208556,-152.0
-8.007098e-05,76,2000,2000.0,1082,18367.660793066025,-195.16,19922944,-194.0,0.40526527166366577,1.4988477,0.01382637,155648,0.0007461341,2000,9.496102,-152.0
-0.00017972145,77,2000,2000.0,1094,18607.227048158646,-195.3,20185088,-194.0,0.42685645818710327,1.4899246,0.025497437,157696,0.001178503,2000,9.660267,-152.0
-0.0002179459,78,2000,2000.0,1087,18848.338076353073,-195.26,20447232,-194.0,0.4314233660697937,1.4793124,0.029111862,159744,0.0012627168,2000,9.541064,-152.0
-0.00026908732,79,2000,2000.0,1097,19087.24272441864,-195.06,20709376,-194.0,0.458312451839447,1.4772778,0.022057533,161792,0.0010073266,2000,9.638802,-152.0
-0.00028072202,80,2000,2000.0,1088,19328.107872486115,-195.26,20971520,-194.0,0.42292988300323486,1.4810787,0.026652336,163840,0.0010675015,2000,9.127658,-152.0
-0.000116333846,81,2000,2000.0,1077,19571.32974243164,-194.96,21233664,-194.0,0.4492683410644531,1.4437498,0.04159832,165888,0.0014943627,2000,8.858147,-152.0
-0.00020314362,82,2000,2000.0,1067,19816.86065030098,-195.32,21495808,-194.0,0.4550321102142334,1.4168184,0.020691872,167936,0.0015861122,2000,8.491968,-152.0
-9.028429e-05,83,2000,2000.0,1073,20061.125650644302,-195.24,21757952,-194.0,0.4689869284629822,1.4187433,0.051530838,169984,0.0012064358,2000,8.719774,-152.0
-0.00012471376,84,2000,2000.0,1083,20303.133144140244,-195.02,22020096,-194.0,0.4386304020881653,1.3971281,0.019392967,172032,0.0011522782,2000,8.351635,-152.0
