rew_mean,eprew_recent,best_ext_ret,total_secs,recent_worst_eplen,recent_best_eplen,eplen,best_eplen,n_updates,eplen_std,eprew_std,tcount,recent_best_ext_ret,eprew,epcount
0.20561863,49.337228541882105,208.2,4192.72127199173,375,111,263.28,110,17,98.0635589808977,143.67615291341843,4332883.0,207.2,60.022,12766.0
0.25079378,60.94824824824825,213.6,4443.9885149002075,375,96,253.65,96,18,108.09758322922858,151.09732019794396,4587932.0,213.6,56.62700000000001,13765.0
0.21588886,52.21644670050761,213.6,4695.9991109371185,375,100,258.51,96,19,104.43193907995773,147.72734978669317,4845146.0,212.0,58.965,14750.0
0.2870455,67.94820213799805,213.6,4949.7291469573975,375,102,245.78,96,20,104.91306686967071,143.6855339795903,5100748.0,211.3,76.145,15779.0
0.3230136,73.85752128666036,214.0,5200.396521568298,375,95,236.69,95,21,111.78512378666493,147.72452883323066,5358770.0,214.0,77.259,16836.0
0.32397792,75.58396584440227,216.6,5450.588309049606,375,89,232.82,89,22,109.85885307975869,144.40200102491656,5614307.0,216.6,85.49,17890.0
0.3987357,87.83276633840646,216.6,5703.192579269409,375,91,238.38,89,23,112.71856812433344,147.26595308828175,5871202.0,215.5,76.569,19007.0
0.40420365,88.91464285714285,218.4,5955.712785959244,375,84,233.89,84,24,110.64781019071276,147.38519829005895,6127945.0,218.4,80.145,20127.0
0.51234823,109.02698548249359,219.0,6209.277138471603,375,83,220.4,83,25,106.73734116980806,136.69932333409702,6381690.0,219.0,103.90000000000002,21298.0
0.43086147,95.56408199643494,219.0,6461.867180109024,375,86,222.09,83,26,110.74503103977172,141.92532051751724,6637363.0,217.6,96.586,22420.0
0.4556436,99.51790123456789,219.0,6715.608826160431,375,86,219.54,83,27,105.28612634150805,136.947003618188,6894065.0,217.7,104.26,23554.0
0.70970654,133.52384905660378,219.4,6970.560194730759,375,82,176.79,82,28,84.51346579096138,98.73834174726653,7151638.0,219.4,156.56300000000002,24879.0
0.97537374,160.673687664042,219.4,7222.8244433403015,375,83,175.51,82,29,88.6122446392145,98.88573026984227,7410733.0,218.8,157.243,26403.0
0.8398338,149.06084507042254,219.4,7475.308020591736,375,84,178.44,82,30,88.92146197628557,101.65357848595396,7664979.0,218.5,153.69099999999997,27823.0
0.9002916,154.18468345813477,219.4,7730.05948972702,375,83,174.32,82,31,92.40139392887966,106.63812843443941,7920913.0,218.8,152.742,29292.0
1.2421459,177.9831339031339,221.0,7980.820343255997,375,78,144.29,78,32,64.70089566613433,57.52339468425,8180973.0,221.0,187.30799999999996,31047.0
1.4511969,191.60177731312072,221.4,8231.824856996536,375,76,131.53,76,33,53.95024652399653,56.117673463891926,8437145.0,221.4,192.275,32960.0
1.5512784,195.16109452736322,221.6,8484.03859114647,375,76,137.44,76,34,69.38419416553023,70.9354332051338,8693968.0,221.6,185.454,34970.0
1.5823942,196.70437346437348,221.6,8736.154193401337,375,76,120.17,76,35,44.23416213742497,45.52916871632954,8950257.0,221.6,198.914,37005.0
1.6712558,198.95693464974144,221.6,8987.257639408112,375,78,127.35,76,36,59.528207599422984,64.45860063637745,9207391.0,221.0,191.702,39132.0
1.7183822,201.37311429893566,222.2,9237.096601247787,375,75,117.05,75,37,38.86499067284077,15.547404928154409,9462387.0,222.2,204.58,41293.0
1.7601696,202.0906575963719,222.2,9490.036219358444,375,75,112.29,75,38,30.83870781988117,12.452947442272453,9720265.0,220.4,206.50999999999996,43498.0
1.7595556,202.32473899228327,222.2,9744.009719610214,375,75,113.86,75,39,37.63881507167833,32.22789295005182,9974585.0,222.0,204.146,45701.0
1.8356164,204.14083333333332,222.2,9994.706104040146,375,75,113.22,75,40,39.37805988110639,15.59162271862682,10231746.0,222.0,206.149,47981.0
1.912553,206.15900383141764,223.6,10246.16954922676,375,71,112.58,71,41,47.06467465095239,35.55331635726827,10488262.0,223.6,204.336,50330.0
1.9878418,207.92922506183018,223.6,10496.48633480072,375,77,103.86,71,42,33.89749843277524,33.7190880659605,10744653.0,221.5,207.75000000000003,52756.0
