n_updates,eprew_std,best_ext_ret,eprew,eplen,total_secs,eprew_recent,recent_worst_eplen,recent_best_eplen,best_eplen,recent_best_ext_ret,eplen_std,epcount,tcount,rew_mean,,,,
71,17.64104305,-30,-139.44,1000,32435.93914,-139.90625,1000,1000,1000,-54,0,18048,18048000,-0.13163088,,,,
72,14.32932657,-22,-140.52,1000,32900.69788,-137.65625,1000,1000,1000,-22,0,18304,18304000,-0.13474354,,,,
73,20.80769089,-22,-136.4,1000,33376.87639,-138.640625,1000,1000,1000,-62,0,18560,18560000,-0.1304084,,,,
74,20.64232545,-22,-137.12,1000,33840.95606,-136.234375,1000,1000,1000,-22,0,18816,18816000,-0.13218726,,,,
75,25.04686807,277.25,-133.88,1000,34319.53043,-134.4854086,1000,944,944,277.25,0,19073,19072944,-0.12769416,,,,
76,23.07618686,277.25,-132.36,1000,34785.34349,-133.421875,1000,1000,944,-30,0,19329,19328944,-0.12770554,,,,
77,24.48245086,287.7,-131.64,1000,35251.90963,-132.1412451,1000,892,892,287.7,0,19586,19585836,-0.12558189,,,,
78,45.2655233,287.7,-129.18,999.7,35707.2833,-129.7587549,1000,970,892,272,2.984962311,19843,19842806,-0.12633173,,,,
79,28.89273957,287.7,-129.36,1000,36165.3524,-132.046875,1000,1000,892,-22,0,20099,20098806,-0.1260106,,,,
80,23.55218886,289.6,-129.88,1000,36623.59186,-128.777907,1000,882,882,289.6,0,20357,20356650,-0.121760815,,,,
81,47.08743934,289.6,-125.784,999.32,37079.79693,-129.0754864,1000,932,882,279.6,6.765914572,20614,20613582,-0.122754596,,,,
82,22.02089916,289.6,-133,1000,37541.96748,-129.4346304,1000,954,882,275.3,0,20871,20870536,-0.12703422,,,,
83,61.33025831,289.6,-124.504,998.33,38002.75497,-129.9937743,1000,888,882,288.5,12.36531844,21128,21127369,-0.12159701,,,,
84,48.93007391,319.5,-120.3565,999.59,38468.43792,-123.9463178,1000,733,733,319.5,4.079448492,21386,21385061,-0.11993859,,,,
85,94.67429369,319.5,-107.292,994.08,38934.91779,-119.1608365,1000,747,733,316.7,34.19113335,21649,21647150,-0.111074224,,,,
86,24.97473924,319.5,-128.32,1000,39400.81253,-120.8359073,1000,747,733,316.65,0,21908,21905684,-0.11560186,,,,
87,49.7806345,319.5,-121.927,997.84,39862.64671,-123.0918605,1000,784,733,309.3,21.49172864,22166,22163353,-0.11651139,,,,
88,77.94104836,326.3,-113.891,993.86,40328.12715,-118.0391892,1000,699,699,326.3,38.14132142,22425,22421525,-0.11260686,,,,
89,118.2976915,328.05,-90.021,985.32,40799.15032,-108.1448669,1000,690,690,328.05,52.41848529,22688,22682747,-0.10257192,,,,
90,84.90379865,328.05,-107.082,996.62,41267.43777,-111.0971374,1000,780,690,310,23.15978411,22950,22944106,-0.10459604,,,,
91,96.17477421,328.05,-92.2055,993.04,41736.89399,-106.1347328,1000,697,690,326.6,37.21314821,23212,23205185,-0.100081876,,,,
92,78.77602595,328.2,-109.2355,993.99,42194.44027,-112.2376923,1000,689,689,328.2,37.57778466,23472,23463897,-0.10464475,,,,
93,103.9157097,330.25,-93.1605,990.23,42660.25899,-93.77443609,1000,679,679,330.25,48.46191391,23738,23727644,-0.0874485,,,,
94,113.6962552,330.25,-81.1165,990.81,43122.52255,-78.5045283,1000,701,679,325.8,40.00742306,24003,23989581,-0.07389117,,,,
95,114.7710017,330.25,-89.0315,991.58,43587.74704,-99.97207547,1000,701,679,325.8,38.5933103,24268,24252657,-0.09427325,,,,
96,107.3158211,334.6,-91.651,994.47,44050.22299,-97.26143411,1000,657,657,334.6,23.83671748,24526,24509387,-0.092449315,,,,
97,151.4998895,375.95,-58.7435,976.97,44514.47048,-74.65817844,1000,451,451,375.95,67.48458417,24795,24773721,-0.06908259,,,,
98,129.9140049,375.95,-78.475,991.21,44974.94472,-97.28473282,1000,741,451,317.9,30.5245131,25057,25034030,-0.09151986,,,,
