eplen,total_secs,recent_best_ext_ret,epcount,tcount,recent_best_eplen,eprew_std,n_updates,recent_worst_eplen,eplen_std,best_ext_ret,rew_mean,eprew,best_eplen,eprew_recent
194.28,12473.77836,196.5,36553,10738233,139,29.70410495,42,375,35.66541182,199.2,0.9077121,171.707,132,173.2652141
191.08,12776.49765,199.2,37902,10994551,132,29.69336289,43,375,34.73778346,199.2,0.9323469,173.18,132,175.083321
182.6,13074.23434,202,39293,11250905,125,9.94270079,44,375,24.68400292,202,0.97195286,178.449,125,177.4908699
181.21,13374.28583,198.6,40711,11508518,134,8.921170551,45,375,22.01512889,202,0.9997985,179.046,125,178.66622
180.09,13673.02529,197.2,42128,11763095,137,10.33557933,46,375,25.32038507,202,1.0017599,179.62,125,179.3810868
175.67,13973.47792,198.8,43572,12019791,133,10.22412886,47,375,25.55740793,202,1.0228081,181.433,125,180.2651662
174.13,14273.2182,202.8,45038,12277230,123,7.277582291,48,375,17.3168444,202.8,1.0444742,181.886,123,180.6042292
177.16,14571.17315,200.6,46506,12533072,129,11.29943445,49,375,28.3868702,202.8,1.0515419,180.959,123,181.9046322
169.21,14866.82075,200.4,47980,12788392,129,8.309424228,50,371,20.63894135,202.8,1.0587866,184.137,123,182.5114654
171.53,15166.44582,201.8,49495,13044956,126,12.36794712,51,375,30.58903562,202.8,1.0954313,183.122,123,183.6438944
165.15,15464.82584,203.4,51033,13300188,122,6.666349751,52,341,16.57611233,203.4,1.1252801,185.891,122,185.4620936
164.47,15763.65401,200.6,52596,13558384,129,8.116581793,53,375,19.86779052,203.4,1.1400467,185.93,122,185.1740883
161.39,16063.06406,204.5,54160,13813724,119,6.585038421,54,375,15.78853698,204.5,1.1457658,186.963,119,186.3223146
162.47,16361.4507,203.7,55737,14069587,121,7.642233378,55,375,19.04072215,204.5,1.159458,186.913,119,186.72974
157.22,16661.34451,204,57330,14325347,120,6.047065404,56,375,14.76318394,204.5,1.1744913,188.98,119,187.3148776
159.59,16959.86389,204.1,58931,14580534,120,7.295185467,57,375,17.77644228,204.5,1.1835645,188.063,119,187.9862586
157.52,17260.26764,202.2,60578,14838077,125,31.70885908,58,375,27.07045622,204.5,1.2287844,186.616,119,189.0277474
157.05,17560.29817,204,62222,15094775,120,9.640962815,59,375,24.18527445,204.5,1.2245328,189.094,119,189.2591241
158.21,17855.82213,204.4,63867,15349963,119,9.612845572,60,375,23.71383352,204.5,1.2271633,188.54,119,189.5798176
155.02,18157.40516,204.2,65517,15604800,120,7.729453991,61,375,19.27276835,204.5,1.2322402,189.971,119,189.9995758
154.29,18462.02802,203.7,67191,15861996,121,6.621605243,62,354,16.31397867,204.5,1.2569553,190.188,119,190.4366189
151.66,18759.74024,203.2,68871,16118213,122,6.026184531,63,291,14.60973648,204.5,1.2604676,191.13,119,190.87125
