n_updates,epcount,total_secs,best_ext_ret,eprew_recent,tcount,eprew_std,eplen_std,recent_worst_eplen,eplen,recent_best_eplen,best_eplen,rew_mean,eprew,recent_best_ext_ret
431,647968,128037.1152,236.5,231.4293592,110327868,1.551636555,3.83739495,235,127.12,121,114,1.8336895,231.432,233.9
432,649988,128335.729,236.5,231.3161881,110584658,1.154069322,2.860839038,375,126.66,120,114,1.8343822,231.618,234.3
433,652004,128630.7442,236.5,231.5772817,110840184,1.580270863,3.865229618,174,127.2,121,114,1.8360194,231.388,233.9
434,654017,128925.5891,236.5,231.5494287,111095461,1.998390352,4.896314941,199,126.69,120,114,1.8348256,231.594,234.3
435,656035,129222.7383,236.5,231.4386026,111351936,1.591342515,3.905432114,362,127.26,121,114,1.8355855,231.373,233.9
436,658058,129517.177,236.5,231.6214039,111608148,1.246234328,3.092507074,168,126.42,121,114,1.8391978,231.71,233.9
437,660078,129810.0697,236.5,231.6626733,111863783,1.00276418,2.479596741,180,126.46,121,114,1.8400596,231.692,233.9
438,662103,130108.9081,236.5,231.6556049,112120097,1.809686161,4.47726479,193,126.71,120,114,1.846832,231.606,234.3
439,664126,130404.3986,236.5,231.4566485,112376558,0.842792382,2.109881513,375,126.22,119,114,1.8410189,231.799,234.7
440,666140,130698.365,236.5,231.589573,112631785,1.026978091,2.538089833,275,126.59,121,114,1.831952,231.654,233.9
441,668163,130992.1637,236.5,231.6405833,112887891,1.244901201,3.057711563,205,126.48,121,114,1.8423749,231.689,233.9
442,670182,131288.104,236.5,231.6666171,113143374,1.115266336,2.7695487,187,126.36,121,114,1.8401384,231.741,233.9
443,672203,131583.7913,236.5,231.5972786,113399454,0.971215218,2.42097088,258,126.17,121,114,1.8376567,231.821,233.9
444,674223,131882.3811,236.5,231.6681188,113655065,1.243534881,3.047031342,218,126.66,120,114,1.8396804,231.611,234.3
445,676249,132178.7244,236.5,231.6644126,113911466,1.511447981,3.698797102,189,126.33,121,114,1.8445607,231.755,233.9
446,678279,132475.7814,236.5,231.7057143,114168154,1.519874666,3.76,185,126.32,120,114,1.8496168,231.759,234.3
447,680304,132771.9595,236.5,231.7071605,114424197,1.319354388,3.293554311,271,126.35,120,114,1.8463084,231.752,234.3
448,682329,133073.0078,236.5,231.7028148,114680254,2.305168107,5.668333088,204,126.9,119,114,1.8429064,231.52,234.7
449,684345,133367.8027,236.5,231.5946429,114935725,1.159027178,2.857463911,357,125.93,121,114,1.8362061,231.916,233.9
450,686368,133661.5672,236.5,231.768957,115191211,0.940201574,2.324994624,179,126.12,120,114,1.8434663,231.839,234.3
451,688393,133959.3453,236.5,231.7628148,115446994,2.216542127,5.476312628,201,126.9,121,114,1.8468691,231.521,233.9
452,690422,134256.3755,236.5,231.775998,115703210,1.451068572,3.573177857,292,126.18,120,114,1.8465054,231.82,234.3
453,692454,134553.6879,236.5,231.8128937,115959601,1.194394826,2.941088234,259,126.1,121,114,1.8503889,231.839,233.9
454,694488,134851.3159,236.5,231.764061,116216474,1.154121311,2.785031418,275,125.94,121,114,1.8541485,231.898,233.9
455,696510,135146.1592,236.5,231.6390208,116471865,1.581243498,3.893725722,375,126.33,121,114,1.8426992,231.737,233.9
456,698544,135444.2198,236.5,231.850885,116728311,0.897717105,2.209502206,176,125.59,121,114,1.8530492,232.052,233.9
457,700570,135739.7843,236.5,231.8649062,116983682,3.846855339,9.567711325,214,126.83,120,114,1.8512084,231.552,234.3
458,702598,136037.4416,236.5,231.8418639,117239394,1.774019166,4.372310602,175,126.23,121,114,1.8436284,231.784,233.9
