total_secs,recent_worst_eplen,n_updates,best_ext_ret,epcount,eprew_recent,tcount,eprew_std,rew_mean,recent_best_eplen,eplen,eplen_std,best_eplen,eprew,recent_best_ext_ret
115545.1576,139,497,216.2,983073,212.0880766,127225687,1.672797358,2.1328487,90,99.98,4.233154852,90,212.157,216
115780.1121,161,498,216.2,985625,212.0487461,127481392,1.494864208,2.1281269,92,99.08,3.73545178,90,212.509,215.5
116013.3157,195,499,216.2,988176,212.0408467,127737104,1.62316327,2.128493,91,100.26,4.122183887,90,212.029,215.6
116244.4718,375,500,216.2,990732,211.9400235,127993344,1.781817892,2.1324244,91,100.44,4.448190643,90,211.955,215.9
116471.9546,288,501,216.2,993292,212.1054297,128249535,1.748593435,2.132609,91,100.29,4.348091535,90,212.011,215.6
116701.2592,140,502,216.2,995852,212.1482031,128505429,1.53229599,2.1367502,91,100.46,3.855956431,90,211.937,215.6
116929.0362,369,503,216.2,998416,212.0952028,128762021,10.85441933,2.1386797,92,102.97,27.14791152,90,210.959,215.5
117161.5932,375,504,216.2,1000974,212.0615715,129017724,1.570891467,2.1345837,91,99.81,3.959027658,90,212.19,215.6
117390.7685,219,505,216.2,1003534,212.1544922,129273544,1.732673079,2.134803,91,100.22,4.369393551,90,212.038,215.6
117619.6069,214,506,216.2,1006094,212.1557031,129529344,1.982748345,2.1354396,91,99.95,4.916045158,90,212.147,215.9
117849.8609,180,507,216.8,1008660,212.1536633,129785784,1.590345874,2.139941,88,100.07,3.965488621,88,212.12,216.8
118078.0528,375,508,216.8,1011216,212.0208529,130041491,6.045963529,2.1309805,89,101.58,15.1288995,88,211.495,216.4
118305.7614,206,509,216.8,1013788,212.2765163,130297713,1.561321235,2.1460218,90,99.07,3.927480108,88,212.526,216
118537.1203,219,510,216.8,1016363,212.3601553,130553650,1.569083809,2.151849,91,99.44,3.95049364,88,212.376,215.9
118772.0158,268,511,216.8,1018930,212.2507986,130809536,1.538010078,2.1430402,90,99.85,3.894547471,88,212.195,216
119003.0724,191,512,216.8,1021505,212.3354563,131065634,1.64029601,2.1486762,89,99.57,4.143078566,88,212.273,216.7
119234.8842,205,513,216.8,1024077,212.4061431,131321009,4.457695705,2.15085,90,100.72,11.10232408,88,211.843,216.3
119467.0354,239,514,216.8,1026657,212.3505814,131577524,1.698270885,2.15753,91,99.63,4.234749107,88,212.274,215.6
119697.5313,375,515,216.8,1029233,212.2420807,131833736,1.52754018,2.1492612,91,98.97,3.874157973,88,212.539,215.9
119930.7831,375,516,216.8,1031813,212.3082171,132089979,1.610311771,2.1529725,91,98.45,4.020882988,88,212.736,215.9
120165.2542,132,517,216.8,1034396,212.5377855,132345550,1.59233759,2.159752,90,99.2,4.019950248,88,212.419,216
120397.0023,201,518,216.8,1036981,212.5183366,132601471,1.388297879,2.1604984,90,98.35,3.488194375,88,212.773,216
120627.2626,323,519,216.8,1039567,212.5145785,132857540,1.264108777,2.160776,90,97.34,3.213160438,88,213.173,216
120859.9696,196,520,216.8,1042151,212.4969814,133113495,1.587336133,2.1622608,90,98.96,3.994796616,88,212.542,216
121089.8221,220,521,216.8,1044735,212.4345975,133369858,1.810993098,2.1575954,90,99.21,4.481729577,88,212.452,216.3
121318.7157,249,522,216.8,1047314,212.5516092,133624972,1.854039913,2.156429,91,98.67,4.617477666,88,212.656,215.9
121548.4031,134,523,216.8,1049913,212.5780685,133881846,1.797315776,2.1749573,91,99.56,4.499599982,88,212.284,215.6
121778.8032,375,524,216.8,1052496,212.4648858,134137348,1.7704169,2.157661,91,98.62,4.40177237,88,212.668,215.9
122008.4947,215,525,216.8,1055090,212.5847726,134393755,1.373562885,2.1680133,91,98.26,3.48602926,88,212.795,215.9
122239.375,195,526,216.8,1057677,212.6173174,134649215,1.625261517,2.1640818,91,98.3,4.143669871,88,212.795,215.9
122469.3382,375,527,216.8,1060272,212.4895568,134905739,1.525406175,2.1684134,90,97.96,3.805049277,88,212.944,216
122701.0889,200,528,216.8,1062872,212.7146923,135161819,1.574678062,2.1784098,90,98.58,3.945072876,88,212.667,216
122930.6794,271,529,216.8,1065465,212.661936,135417573,1.658349782,2.167593,90,98.29,4.172037871,88,212.774,216
123160.4046,283,530,216.8,1068060,212.7202697,135673145,1.540445066,2.1735659,90,98.21,3.832218679,88,212.827,216
123391.1891,128,531,216.8,1070676,212.8678899,135929742,1.922342321,2.1889584,90,98.62,4.791200267,88,212.66,216
123618.0458,375,532,216.8,1073266,212.620695,136184868,1.763998583,2.1653576,90,98.18,4.46403405,88,212.847,216
123851.1384,127,533,216.8,1075887,212.8830981,136441892,1.852924985,2.1937225,90,98.16,4.668447279,88,212.837,216
124083.774,375,534,216.8,1078489,212.6849731,136697779,1.543462018,2.177848,90,98.1,3.853569774,88,212.865,216.3
124320.3635,196,535,216.8,1081104,212.9628681,136953669,1.683218346,2.1907318,90,97.38,4.227954588,88,213.124,216
124559.0374,196,536,216.8,1083712,212.927569,137209125,1.728199931,2.1807234,90,97.62,4.353802935,88,213.055,216.3
124792.0819,207,537,216.8,1086331,212.9235968,137465671,1.537412111,2.194224,90,97.69,3.859261587,88,213.042,216
125026.6571,277,538,216.8,1088943,212.9874043,137721111,1.860140855,2.1870158,90,97.96,4.656006873,88,212.926,216
125259.9936,375,539,216.8,1091568,212.8639619,137978067,1.80633441,2.197084,89,97.68,4.588856067,88,213.034,216.4
125492.961,366,540,216.8,1094184,212.9847859,138233911,2.311894461,2.1929803,89,97.52,5.788747706,88,213.112,216.4
125730.702,375,541,216.8,1096803,212.9865216,138489524,2.104919001,2.195773,89,97.63,5.339765912,88,213.054,216.4
125966.1862,202,542,216.8,1099435,213.162804,138745787,1.417483333,2.2040844,89,97.04,3.546604009,88,213.279,216.4
126201.8881,375,543,216.8,1102065,212.970038,139001975,3.641295923,2.2045355,90,98.14,9.091776504,88,212.858,216.3
126436.7675,173,544,216.8,1104686,213.2011446,139256874,1.46467027,2.1930788,89,97.32,3.690203246,88,213.179,216.6
126670.3941,375,545,216.8,1107326,213.0479545,139514040,1.511957671,2.213542,90,96.89,3.786541958,88,213.328,216
126905.074,192,546,216.8,1109953,213.2111534,139769434,1.706567022,2.2009852,90,97.34,4.285370462,88,213.177,216.3
127136.7101,362,547,216.8,1112591,213.2247536,140025803,1.884478442,2.210093,90,97.48,4.731764998,88,213.121,216.3
127363.611,238,548,216.8,1115223,213.2611322,140281321,1.875477539,2.208538,90,96.64,4.750831506,88,213.428,216.3
127589.414,256,549,216.8,1117869,213.3275132,140537817,2.14523099,2.2184,89,97.3,5.395368384,88,213.172,216.4
127815.4678,344,550,216.8,1120511,213.3829674,140793528,1.822853807,2.2163885,90,96.95,4.620335486,88,213.302,216.3
128048.9122,142,551,216.8,1123155,213.3761346,141049485,2.489096222,2.2171135,89,97.43,6.266187038,88,213.14,216.4
128282.677,268,552,216.8,1125812,213.4866391,141305931,2.339075672,2.2294776,89,96.58,5.093486036,88,213.425,216.4
128512.9671,238,553,216.8,1128466,213.5873399,141561441,1.762771681,2.2281837,89,96.24,4.368340646,88,213.606,216.7
128744.1623,190,554,216.8,1131128,213.5973704,141817630,1.994059929,2.2339523,89,96.66,5.00443803,88,213.425,216.4
128974.7778,226,555,216.8,1133784,213.5975527,142073246,1.568693724,2.22871,89,95.89,3.959532801,88,213.74,216.4
129204.1279,213,556,216.8,1136451,213.6089989,142329843,1.568717948,2.2393231,89,96.45,4.0059331,88,213.518,216.4
129435.2515,183,557,216.8,1139119,213.7447526,142585595,1.589344519,2.2419589,89,96.11,3.969622148,88,213.628,216.4
129661.3688,147,558,216.8,1141793,213.7743082,142841786,1.403246236,2.246251,89,95.38,3.551844591,88,213.95,216.4
129889.0146,217,559,216.8,1144463,213.7734457,143097581,1.914052246,2.239677,90,95.98,4.760210079,88,213.702,216.3
130117.8467,207,560,216.8,1147140,213.8104968,143353728,1.549119427,2.2501392,89,95.39,3.895882442,88,213.923,216.4
130347.041,375,561,216.8,1149817,213.7895405,143609441,1.670938658,2.2468946,89,95.62,4.246834115,88,213.858,216.4
130581.6487,172,562,216.8,1152505,213.9895461,143865496,1.440312119,2.2601898,89,95.36,3.670204354,88,213.951,216.4
130816.5667,280,563,216.8,1155189,213.9235469,144121602,2.03136875,2.2574067,89,96.03,5.152581877,88,213.671,216.7
131043.8897,126,564,216.8,1157888,214.046721,144378320,1.693341076,2.2675853,89,95.27,4.272832784,88,213.986,216.4
131271.938,350,565,216.8,1160576,214.0046503,144634268,1.730894566,2.2589989,88,95.25,4.40539442,88,214.002,216.8
131502.3071,265,566,216.8,1163266,214.0349814,144890179,1.449784467,2.261987,89,94.71,3.609141172,88,214.185,216.4
131733.0114,160,567,216.8,1165967,214.1673825,145146267,1.645326411,2.271753,89,94.95,4.131283094,88,214.101,216.4
131963.7101,375,568,216.8,1168654,214.0192408,145401424,1.694964306,2.260217,89,95.12,4.276166508,88,214.036,216.4
132193.6703,218,569,216.8,1171355,214.1021844,145657921,1.508003647,2.2721517,89,94.76,3.765952735,88,214.175,216.7
132425.8884,375,570,216.8,1174045,213.9847584,145913553,2.082749145,2.2601576,89,95.77,5.218917512,88,213.766,216.4
132664.4004,138,571,216.8,1176754,214.1750461,146170305,1.697083086,2.277024,89,95.14,4.221421562,88,214.053,216.4
132901.9989,132,572,216.8,1179452,214.16894,146426054,1.746084477,2.270025,89,94.89,4.442735644,88,214.133,216.7
133138.5065,375,573,216.8,1182148,214.0226261,146681976,1.50872761,2.2674549,89,94.81,3.759507947,88,214.171,216.7
133376.4847,221,574,216.8,1184856,214.2360414,146938208,1.616174186,2.278523,88,94.83,4.034984511,88,214.159,216.8
133613.3042,150,575,216.8,1187564,214.3488552,147193685,1.173396352,2.2801178,89,94.17,3.003514608,88,214.421,216.4
133847.0797,130,576,216.8,1190275,214.2921062,147449810,1.492901872,2.2808418,89,94.57,3.787492574,88,214.262,216.4
