epcount,eprew_std,eplen_std,best_ext_ret,tcount,recent_worst_eplen,eprew_recent,eplen,total_secs,recent_best_ext_ret,recent_best_eplen,rew_mean,best_eplen,n_updates,eprew
176533,9.856561469,24.43080842,219,26361164,375,211.1824941,104.34,29468.35427,218.7,84,2.1079721,83,103,210.286
179086,10.668772,26.6535251,219.1,26617869,375,211.2666275,100.36,29756.48717,219.1,83,2.120924,83,104,211.952
181630,7.539876591,18.62036251,219.4,26872508,375,211.5211871,99.89,30044.85182,219.4,82,2.1146023,82,105,212.031
184194,9.155523524,22.56341065,219.4,27128969,375,211.7418487,99.95,30333.6532,218.5,84,2.133594,82,106,212.033
186746,6.141060088,15.37629344,219.4,27384783,375,211.7290361,97.64,30618.05349,219,83,2.124052,82,107,213.009
189321,4.71788088,11.78834594,219.4,27641836,375,211.8050485,96.57,30903.62204,218.8,83,2.1430266,82,108,213.48
191862,8.075523203,19.81157238,219.4,27896710,375,211.4577725,102.04,31190.91418,219.3,82,2.1099815,82,109,211.195
194426,34.12358555,35.82516434,219.4,28153320,375,211.2957488,102.76,31478.71553,219.2,82,2.129412,82,110,208.797
196991,34.09258939,35.4941953,219.5,28408584,375,211.748616,101.89,31763.34936,219.5,82,2.1325047,82,111,209.143
199542,7.279714555,18.1700743,219.5,28665084,375,211.0742454,101.78,32049.80384,219.3,82,2.1180472,82,112,211.366
202123,6.787527974,16.71062835,219.5,28921040,375,211.9876404,97.57,32337.66961,219.5,82,2.149683,82,113,213.008
204688,7.260161086,18.13525572,220.3,29176830,375,211.3468226,98.55,32627.25876,220.3,80,2.1310122,80,114,212.681
207279,7.183514112,17.90998325,220.3,29433296,375,212.2346198,98.35,32916.11366,219.2,82,2.1595116,80,115,212.765
209863,7.274149504,18.19819771,220.3,29689434,375,211.7535991,99.84,33210.58781,219.1,83,2.150707,80,116,212.157
212456,33.89795125,34.04052144,220.3,29945783,375,212.0286541,100.27,33502.2104,219.9,81,2.15921,80,117,209.799
215049,8.582044978,21.39095837,220.3,30201428,375,212.0676437,99.87,33788.14373,219.6,81,2.1629548,80,118,212.152
217680,12.38775407,30.93976567,220.3,30457642,375,212.9617636,99.53,34077.2758,219.6,81,2.199163,80,119,212.293
220269,5.946248818,14.80768382,220.3,30713692,375,212.0066821,95.95,34367.54413,219.2,82,2.1579962,80,120,213.715
222844,6.504404277,16.27106327,220.3,30968422,375,212.0942524,97.45,34658.30235,219.1,83,2.1450586,80,121,213.135
225481,6.31911853,15.76863976,220.3,31225566,375,212.4904058,97.9,34947.74559,219.2,82,2.2020724,80,122,212.871
228106,5.872646678,14.58929745,220.3,31481207,375,212.7143619,95.82,35231.14702,219.2,82,2.1939402,80,123,213.739
230751,6.580527031,16.4053985,220.3,31737614,375,213.1540265,97.77,35520.6055,219.7,81,2.2160013,80,124,212.992
233405,11.73094046,29.2658487,220.8,31993457,375,213.283572,98.51,35810.53234,220.8,78,2.2244396,78,125,212.694
236062,6.727366201,16.85553618,220.8,32249377,375,213.48551,97.53,36098.2571,219.9,81,2.227049,78,126,213.088
238694,33.18429146,31.65080726,220.8,32505718,375,212.2919073,99.08,36390.1881,219.6,81,2.1968524,78,127,210.2
241346,8.279998732,20.55772361,220.8,32761431,375,213.1907617,99.8,36679.01085,219.6,81,2.2215772,78,128,212.139
244009,6.76179525,16.86893891,220.8,33016998,375,213.5383027,98.17,36968.24914,219.6,81,2.2380192,78,129,212.825
246674,33.51215153,31.14141294,220.8,33274082,375,213.3370732,97.82,37258.28299,219.8,81,2.2299595,78,130,210.77
249332,5.100394495,12.71166394,220.8,33528923,375,213.66076,93.56,37548.87926,219.5,82,2.2307444,78,131,214.676
251987,6.473656154,16.15746267,220.8,33786336,375,212.8224482,96.58,37837.52505,219.6,81,2.2213278,78,132,213.476
254632,6.79212625,16.75857989,220.8,34041207,375,213.4516446,97.1,38127.6359,220,80,2.2196918,78,133,213.239
257319,5.626890793,14.05167606,220.8,34297698,375,213.5905843,94.52,38417.53132,220.1,80,2.2539926,78,134,214.31
259995,5.859580531,14.60595427,220.8,34553996,375,213.380867,94.69,38707.45688,219.5,82,2.2438774,78,135,214.246
262663,33.67481189,32.44545577,220.8,34809226,375,213.4993628,99.18,38998.5954,220.1,80,2.238387,78,136,210.238
265355,5.247406502,13.10680739,220.8,35065390,375,213.9536776,93.54,39289.16393,219.9,81,2.2632885,78,137,214.695
268036,6.683569705,16.68787284,220.8,35321136,375,213.8468109,96.07,39580.6477,220,80,2.2523832,78,138,213.636
270730,10.00900969,24.89525858,220.8,35577471,375,213.8652561,99.19,39870.88187,219.9,81,2.2629538,78,139,212.385
273423,5.4273839,13.52778992,220.8,35833759,375,213.6268845,93.17,40157.54618,219.9,81,2.264667,78,140,214.848
276123,5.94298738,14.83736837,220.8,36089668,375,214.01,94.15,40445.23546,220,80,2.2676725,78,141,214.451
278805,6.624134962,16.28337803,220.8,36345550,375,213.3558538,95.46,40732.93521,219.9,81,2.250168,78,142,213.906
281508,6.559268252,16.33860459,220.8,36601788,375,213.7707732,93.5,41020.23265,219.6,81,2.2680728,78,143,214.64
284204,8.699131221,21.74529604,220.8,36857696,375,213.7197329,95.89,41307.70909,219.6,81,2.265614,78,144,213.754
286918,4.882566845,12.21023751,220.8,37114053,375,213.8367354,92.01,41595.84213,220.4,79,2.279797,78,145,215.329
289631,33.43547224,32.94972534,220.8,37369905,375,214.0610394,96.66,41882.59471,219.8,81,2.281314,78,146,211.314
292357,3.763370298,9.3906922,220.8,37625681,375,214.3209831,90.93,42175.743,219.6,81,2.295141,78,147,215.738
295090,5.597836993,13.95730633,220.8,37881582,375,214.4901939,93.44,42464.94108,219.9,81,2.3054674,78,148,214.739
297840,5.958694152,14.83015846,220.8,38137674,375,214.7750182,92.92,42756.83204,220,80,2.318465,78,149,214.942
300569,5.58077199,13.90476177,220.8,38393872,375,214.4065958,93.24,43046.05365,220,80,2.299394,78,150,214.828
303293,5.507367792,13.53098297,220.8,38649988,375,214.2582599,92.95,43331.82114,220.7,79,2.294304,78,151,214.93
306027,33.61573041,31.40731762,220.8,38905710,375,214.5331017,95.98,43622.71076,219.9,81,2.30427,78,152,211.487
308768,6.810701799,16.98263819,220.8,39161843,375,214.3309741,92.7,43912.94397,220,80,2.3104973,78,153,215.021
311514,6.564705325,16.21387986,220.8,39417841,375,214.5789148,94.01,44201.75215,220.2,80,2.3146057,78,154,214.462
314242,7.290381266,18.18949972,220.8,39673614,375,214.280022,96.39,44493.29392,220.1,80,2.295637,78,155,213.571
316996,5.829286749,14.60390016,220.8,39930167,375,214.6851852,92.31,44784.52724,220.3,80,2.3248649,78,156,215.204
319716,33.25558809,31.5907249,220.8,40185367,375,214.3387132,95.31,45074.34876,220.3,80,2.289601,78,157,211.831
322464,6.081363252,15.15577778,220.8,40442053,375,214.4924309,93.68,45365.65548,219.8,81,2.3152523,78,158,214.639
325220,5.251267561,13.0581622,220.8,40697546,375,214.6371553,91.62,45660.28574,220.4,79,2.324109,78,159,215.467
327971,33.60873791,31.60876303,220.8,40953545,375,214.6434387,96.81,45950.4172,220,80,2.3219368,78,160,211.144
330708,5.314913358,13.29094052,220.8,41209306,375,214.2513701,91.47,46240.40302,220.3,80,2.302886,78,161,215.536
333474,33.38497643,32.63860291,220.8,41466126,375,214.728055,97.04,46528.44068,220.2,80,2.3343937,78,162,211.107
336209,5.811145412,14.49709971,220.8,41721580,375,214.6732358,92.29,46818.72797,220.1,80,2.305949,78,163,215.217
338969,6.519074397,16.09403306,220.8,41977935,375,214.5471014,93.61,47109.94162,220,80,2.3272626,78,164,214.613
341722,6.751768583,16.79665145,220.8,42234171,375,214.4140937,93.15,47399.28828,220.2,80,2.321896,78,165,214.861
344496,6.975073548,17.41751704,220.8,42489845,375,214.9338861,93.01,47689.48764,220,80,2.3405151,78,166,214.893
347277,5.940526828,14.77252517,220.8,42745885,375,215.1242359,91.85,47980.47125,220,80,2.3505828,78,167,215.379
350053,5.575034619,13.86311293,220.8,43002042,375,214.8847622,91.71,48269.02877,220.6,79,2.3479671,78,168,215.433
352843,4.924641205,12.21366448,220.8,43257768,375,215.3661649,90.92,48560.79414,219.9,81,2.359914,78,169,215.753
355615,4.914259252,12.16731688,220.8,43514036,375,214.7291847,91.58,48850.94722,220,80,2.3375862,78,170,215.484
358414,4.542881354,11.28563689,220.8,43770275,375,215.4153984,90.88,49145.24,220.4,79,2.3669813,78,171,215.777
361200,3.583331411,8.947267739,220.8,44025949,375,215.2422469,88.92,49433.98911,220,80,2.356158,78,172,216.556
364006,7.124132509,17.76304872,220.8,44282628,375,215.3732359,93.71,49723.27354,220.4,79,2.3759253,78,173,214.644
366802,4.630248373,11.49073975,220.8,44538226,375,215.317525,90.23,50012.94169,220.2,80,2.3654895,78,174,216
369616,4.83842371,12.0414451,220.8,44794143,256,215.7294954,90.06,50301.43176,220.3,80,2.3834124,78,175,216.084
