rew_mean,recent_best_eplen,eplen_std,best_eplen,best_ext_ret,eprew,total_secs,n_updates,eprew_std,eprew_recent,epcount,recent_best_ext_ret,recent_worst_eplen,tcount,eplen
3.1592329,65,11.80709532,65,256,250.198,22494.26856,89,4.700722923,250.2289269,172607,256,316,22778732,79.75
3.1700985,61,9.155304473,61,257.6,250.888,22746.36798,90,3.639458201,250.2733085,175829,257.6,187,23035004,77.98
3.1765442,68,10.72072292,61,257.6,249.963,23005.05026,91,4.26172864,250.4118576,179059,254.8,205,23290798,80.31
3.1800919,67,7.307284037,61,257.6,251.323,23261.57149,92,2.930967588,250.3605629,182292,255.4,375,23546678,76.94
3.2069297,66,10.82670772,61,257.6,250.603,23515.10559,93,4.317023396,250.5498466,185552,255.9,375,23803139,78.68
3.2061589,68,12.79597984,61,257.6,250.396,23770.37501,94,5.094701561,250.6641475,188807,254.9,254,24058845,79.23
3.2360451,66,8.399255919,61,257.6,251.488,24025.35288,95,3.345034529,250.8143944,192093,255.6,375,24315154,76.55
3.249495,68,11.21817721,61,257.6,251.005,24278.11707,96,4.482306884,251.0094053,195389,254.9,175,24571242,77.65
3.2460103,67,9.295353678,61,257.6,251.119,24529.56876,97,3.703827615,250.9329383,198680,255.3,375,24827018,77.42
3.2708418,68,8.94120238,61,257.6,251.327,24781.5461,98,3.554007738,251.1606335,201995,255,174,25083307,76.93
3.25901,67,12.83826702,61,257.6,250.563,25033.51456,99,5.105950548,251.0492136,205301,255.3,375,25339273,78.83
3.3074327,66,13.38207757,61,257.6,250.963,25286.67817,100,5.342764359,251.4972504,208647,255.6,189,25595138,77.8
3.2855349,66,9.402526256,61,257.6,251.218,25538.11818,101,3.745060213,251.3661963,211978,255.6,173,25850955,77.15
3.3087704,67,8.794316346,61,257.6,251.529,25788.04768,102,3.501465265,251.520263,215324,255.4,163,26106668,76.4
3.3338645,66,9.793237463,61,257.6,251.115,26040.29745,103,3.893029026,251.7800711,218701,255.7,164,26362505,77.45
3.3448176,66,7.099971831,61,257.6,252.284,26293.12953,104,2.823533956,251.7411591,222083,255.6,221,26619094,74.48
3.334018,66,11.24872882,61,257.6,251.354,26543.32945,105,4.490510439,251.7497481,225458,255.6,310,26875070,76.81
3.3592129,67,10.78637567,61,257.6,251.569,26793.39676,106,4.311906655,251.8994112,228855,255.4,214,27131425,76.29
3.3456705,66,10.58330761,61,257.6,251.857,27048.35818,107,4.237434483,251.9002663,232235,255.6,193,27386499,75.56
3.3885398,66,8.039278575,61,257.6,252.346,27303.05969,108,3.220354639,252.1733742,235664,255.6,159,27642933,74.3
3.3911648,66,6.206480484,61,257.6,252.522,27553.12883,109,2.460430044,252.1255841,239088,255.7,375,27898842,73.86
3.4092877,63,7.61479481,61,257.6,252.261,27809.33008,110,3.013632194,252.2994194,242533,256.9,314,28155365,74.57
3.4114084,64,6.106807677,61,257.6,252.222,28064.69414,111,2.436989126,252.4429939,245980,256.6,171,28410779,74.63
3.4287078,66,8.111621293,61,257.6,252.466,28317.75659,112,3.21717951,252.4002021,249444,255.6,342,28667837,74.04
3.4034445,67,8.366456837,61,257.6,251.96,28574.67543,113,3.327070784,252.3665307,252877,255.5,202,28922916,75.32
3.4152558,66,8.030261515,61,257.6,252.47,28828.70689,114,3.191002977,252.4295652,256327,255.9,152,29178743,74.07
3.4425807,66,5.350700889,61,257.6,252.752,29080.0876,115,2.119220611,252.6053844,259800,255.9,162,29434710,73.3
3.438659,65,5.789119104,61,257.6,252.759,29335.25705,116,2.317071212,252.5222286,263273,256.1,160,29691398,73.31
3.442565,66,7.435724578,61,257.6,252.594,29586.86469,117,2.975460301,252.6393556,266749,255.6,165,29947317,73.7
3.448477,64,7.086966911,61,257.6,252.718,29839.41895,118,2.831161599,252.6439207,270228,256.7,326,30203399,73.43
3.4562201,65,5.739991289,61,257.6,252.907,30092.03167,119,2.268623151,252.7386866,273715,256,290,30459257,72.95
3.474994,65,8.320432681,61,257.6,252.71,30347.59269,120,3.311238439,252.8510839,277221,256.2,183,30715519,73.48
3.4768069,65,5.69964034,61,257.6,252.956,30605.69951,121,2.262932611,252.9112126,280726,256.1,170,30971156,72.79
3.4851158,65,8.084621203,61,257.6,252.942,30864.46541,122,3.222023588,252.8895021,284241,256,375,31227163,72.83
3.4869003,65,7.89579635,61,257.6,252.719,31121.04699,123,3.139353277,252.9119034,287761,256.2,221,31483831,73.42
