recent_worst_eplen,tcount,total_secs,epcount,rew_mean,eprew_recent,best_ext_ret,recent_best_ext_ret,n_updates,eplen,best_eplen,recent_best_eplen,eprew,eplen_std,eprew_std,,,,
1000,24003534,38194.17037,24194,-0.030025112,-37.94396226,371.75,349.5,94,967.69,472,583,-33.405,73.16361049,173.099938,,,,
1000,24254190,38604.24454,24455,-0.020051539,-24.66245211,371.75,352.9,95,966.25,472,566,-27.3145,84.86087143,179.3833334,,,,
1000,24511402,39014.46503,24723,-0.014742027,-19.78675373,371.75,360.4,96,968.9,472,528,-35.6125,74.83829234,174.4723222,,,,
1000,24771203,39421.41338,24995,-0.010826644,-18.85533088,371.75,357.15,97,948.52,472,545,-7.367,104.2800537,193.2084351,,,,
1000,25024042,39825.41909,25260,0.003778714,-1.498113208,371.75,355.5,98,951.85,472,553,0.9305,98.26753024,197.1731138,,,,
1000,25276635,40237.84047,25524,-0.012819637,-17.82443182,371.75,354.4,99,953.68,472,558,-27.68,102.6590356,188.466978,,,,
1000,25537583,40645.86097,25794,-0.039466955,-44.50111111,371.75,366.4,100,950.71,472,498,-21.7345,106.6652985,187.2442171,,,,
1000,25795945,41050.84987,26063,-0.01581861,-24.94479554,371.75,344.25,101,960.29,472,609,-26.6395,90.79981222,185.0286428,,,,
1000,26051480,41451.45609,26329,-0.029753758,-34.54097744,371.75,362.15,102,973.48,472,520,-64.165,80.11460291,148.9506174,,,,
1000,26305733,41863.68629,26597,-0.008960978,-15.60391791,380.25,380.25,103,944.43,429,429,-16.707,119.8654458,195.161906,,,,
1000,26560217,42265.30245,26867,-0.001185056,-6.741666667,380.25,361.9,104,949.53,429,521,-24.689,117.176743,186.5481112,,,,
1000,26818548,42670.71762,27138,-0.011132849,-18.199631,380.25,362.8,105,948.17,429,516,-16.4615,111.7957115,193.4205224,,,,
1000,27075207,43081.15157,27407,-0.003156311,-8.707063197,380.25,360.6,106,944.65,429,527,9.563,106.9800332,196.0454068,,,,
1000,27333031,43483.23212,27680,0.002283858,-6.217399267,380.25,359.45,107,945.24,429,533,-22.27,113.7457797,193.5341019,,,,
1000,27587454,43879.49957,27949,0.004587181,-1.109107807,380.25,360.15,108,954.37,429,530,-17.06,94.82527669,187.8056051,,,,
1000,27845130,44277.01913,28223,0.010771878,2.430109489,380.25,355.7,109,926.01,429,552,28.942,126.0592317,208.2464177,,,,
1000,28095946,44679.16513,28490,0.015514207,11.53838951,380.25,353.1,110,932.54,429,565,29.397,110.2034863,204.7244056,,,,
1000,28347133,45084.36753,28759,0.023005348,16.33847584,380.25,367.5,111,932.58,429,493,32.2305,114.1704147,209.1789265,,,,
1000,28605614,45485.6855,29037,0.049644075,36.72715827,380.25,361.9,112,941.77,429,521,5.1815,112.0395336,201.9110723,,,,
1000,28864791,45888.42114,29315,0.036430076,27.5057554,380.25,357.4,113,939.87,429,543,7.3655,109.2282615,204.6381661,,,,
1000,29122754,46308.2488,29594,0.045563623,36.02580645,380.25,366.9,114,924.09,429,496,46.2855,114.6113515,215.2049122,,,,
1000,29379756,46706.53288,29866,0.01402904,7.722977941,380.25,364.6,115,938.47,429,507,26.966,106.8664077,207.1341925,,,,
1000,29633751,47112.9625,30138,0.021767585,15.89393382,380.25,363.45,116,944.59,429,513,4.7435,103.1672521,200.7393201,,,,
1000,29886806,47518.62516,30411,0.036938377,26.75824176,380.25,354.2,117,920.33,429,559,26.1555,131.4698486,211.2281656,,,,
1000,30144402,47933.68514,30690,0.05685649,47.97939068,380.25,364.35,118,935.68,429,509,32.2425,112.2501563,204.4438318,,,,
1000,30396023,48347.92144,30960,0.030442964,25.23722222,380.25,360,119,936.83,429,530,9.6125,114.4814443,204.8644617,,,,
1000,30658297,48758.27091,31246,0.07508416,57.80716783,380.25,374.8,120,916.66,429,456,52.0565,121.699484,214.125668,,,,
1000,30915586,49164.26691,31523,0.04325979,32.52960289,380.25,360.3,121,936.86,429,529,8.611,114.2461395,201.9675371,,,,
1000,31174571,49568.0302,31803,0.054609824,40.15214286,380.25,359.5,122,920.97,429,533,38.3495,120.8047561,212.4149399,,,,
1000,31431166,49978.33163,32077,0.03395604,27.10547445,380.25,370.55,123,932.59,429,478,22.4205,118.6640716,208.4824816,,,,
1000,31679286,50388.85624,32345,0.028451245,23.91847015,380.25,361.5,124,932.4,429,523,18.3385,118.4820662,204.8288018,,,,
1000,31940483,50808.61643,32627,0.026240082,16.28085106,380.25,367.4,125,920.49,429,493,13.281,135.9539257,208.9657985,,,,
1000,32198856,51220.7994,32907,0.050671425,38.13053571,380.25,374.05,126,932.76,429,460,25.6295,116.8627503,204.5553554,,,,
1000,32452454,51627.60624,33181,0.032539885,26.42208029,380.25,362.1,127,922.42,429,520,26.14,124.0041274,210.5388299,,,,
1000,32710385,52031.20689,33462,0.05774198,42.53131673,380.25,367.3,128,929.43,429,494,21.2565,118.2101734,207.6567179,,,,
1000,32962063,52434.35752,33734,0.028990015,24.11415441,380.25,363.9,129,935.23,429,511,-0.8615,120.5711288,201.2960338,,,,
1000,33217121,52837.83903,34012,0.049190216,38.9926259,380.25,369.7,130,919.88,429,482,43.2875,130.720716,209.8965069,,,,
1000,33477221,53241.25843,34296,0.058500268,43.40545775,380.25,376,131,913.8,429,450,51.467,129.0812147,215.6922441,,,,
1000,33733468,53650.28451,34576,0.05615974,44.37875,380.25,365.6,132,911.3,429,502,54.3235,132.9415285,214.442346,,,,
1000,33990170,54052.97766,34856,0.06172318,51.08375,380.25,369.75,133,929.23,429,482,28.061,123.319492,209.7350076,,,,
1000,34244012,54456.25067,35136,0.06316902,51.08535714,380.25,367.15,134,894.75,429,495,72.2795,148.406831,222.3472802,,,,
1000,34500123,54860.57827,35416,0.06186006,49.50553571,380.25,365.35,135,928.56,429,504,28.833,120.3314024,207.0630146,,,,
1000,34758743,55265.41878,35700,0.06595264,52.75950704,380.25,364.05,136,907.78,429,510,76.437,127.3826189,214.5580854,,,,
1000,35017045,55670.63827,35981,0.058485597,47.29466192,380.25,375.3,137,926.96,429,454,48.4755,123.2898958,213.2316797,,,,
1000,35267349,56077.74571,36251,0.034938462,29.60722222,380.25,369.4,138,909.88,429,483,49.7725,139.1244968,215.7843484,,,,
1000,35524732,56484.23459,36536,0.06952451,54.65859649,380.25,359.8,139,912.82,429,531,54.267,136.6468719,211.8551284,,,,
1000,35784495,56888.86415,36826,0.08720699,69.65706897,380.25,365.4,140,892.94,429,503,57.041,152.3210964,222.5041883,,,,
1000,36037473,57300.68697,37107,0.07439295,64.83540925,380.25,370.6,141,895.24,429,477,62.816,151.6049551,220.6114247,,,,
1000,36293820,57703.18239,37390,0.07031197,56.79010601,380.25,368.25,142,892.73,429,489,70.0775,152.5928475,221.9316829,,,,
1000,36556148,58114.19727,37683,0.08582787,67.87116041,380.25,362,143,891.96,429,520,73.6795,145.0099252,225.1967806,,,,
1000,36809532,58530.65518,37969,0.08992793,74.41800699,380.25,377.6,144,893.26,429,442,65.3755,147.0711814,222.1727959,,,,
1000,37064701,58938.21449,38252,0.082779884,69.93975265,380.25,378.7,145,886.15,429,437,85.561,145.6736335,220.5648861,,,,
1000,37313494,59348.37641,38529,0.07417987,67.97129964,380.25,362.6,146,902.77,429,517,73.797,136.1535791,218.8902192,,,,
1000,37573068,59757.06192,38816,0.07128217,55.16045296,380.25,368.7,147,890.37,429,487,74.519,147.0773031,222.1457111,,,,
1000,37824145,60170.73873,39091,0.052216686,43.842,381.3,381.3,148,897.84,424,424,77.099,147.9655852,220.607618,,,,
1000,38082788,60581.77275,39380,0.08727377,70.5949827,381.3,369.85,149,870.33,424,481,101.086,160.9606197,220.1040594,,,,
1000,38336607,60994.34895,39658,0.056873947,46.27410072,381.3,372.5,150,909.61,424,468,47.346,138.1949995,214.0652177,,,,
1000,38594214,61403.18673,39944,0.09264635,73.66101399,381.3,368.6,151,915.69,424,487,40.965,135.4719672,216.0048639,,,,
1000,38849468,61815.5642,40223,0.05074646,43.16362007,383.3,383.3,152,906.76,414,414,40.4345,148.8149267,217.2079024,,,,
1000,39110756,62232.06106,40514,0.09959443,77.354811,383.3,363.15,153,883.78,414,515,105.0825,142.1421528,219.1283288,,,,
1000,39369217,62641.94117,40803,0.072913185,59.23321799,383.3,374.2,154,890.67,414,459,65.779,156.0783172,217.5517826,,,,
1000,39620268,63056.84764,41085,0.094187185,79.33173759,383.3,371.9,155,890.77,414,471,73.6345,149.4866452,220.6100017,,,,
1000,39880392,63477.38486,41376,0.09489666,76.92010309,383.3,373.45,156,908.06,414,463,54.3815,142.8440282,216.3986533,,,,
1000,40133619,63875.55827,41658,0.077146724,65.61400709,396.7,396.7,157,885.07,347,347,94.626,152.4841143,222.8066408,,,,
1000,40393545,64280.22176,41949,0.1016126,78.5766323,396.7,384.9,158,903.77,347,406,75.997,138.8116605,219.1196931,,,,
1000,40648654,64675.06758,42237,0.08875221,77.065625,396.7,372.75,159,903.32,347,467,49.2005,141.9258172,215.3797773,,,,
1000,40909306,65074.96009,42525,0.067930326,51.60451389,396.7,364.85,160,891.51,347,506,74.126,144.8935123,219.1845748,,,,
1000,41157900,65485.40085,42802,0.07430192,65.4732852,396.7,374.8,161,917.34,347,456,52.523,127.4223073,216.8392956,,,,
1000,41410683,65888.62778,43083,0.063757755,54.31423488,396.7,374.05,162,902.83,347,460,39.9465,152.5009544,215.9820967,,,,
1000,41665774,66296.17065,43372,0.08826579,72.84636678,396.7,371.55,163,902.34,347,473,33.8795,148.551622,219.721359,,,,
1000,41926404,66708.06789,43669,0.11182615,90.32340067,396.7,369.3,164,890.08,347,484,87.537,150.2341293,220.5950597,,,,
1000,42188279,67114.14626,43966,0.1166252,89.81818182,396.7,371.7,165,862.61,347,472,130.1465,158.3665302,217.4174577,,,,
1000,42434584,67517.47665,44246,0.09692385,90.42214286,396.7,381,166,879.46,347,425,106.5155,146.6448376,219.8006073,,,,
