best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
247.2,92,109.63,32761270,5.482244066,222,245.2,87,128,2.1915536,238.26,238.2707265,188351,31941.19981,13.71324542
247.2,90,110.01,33017012,5.559295279,375,246,87,129,2.1830945,238.106,238.1137768,190681,32191.34479,13.95814816
247.2,92,109.16,33273044,5.266093334,195,245.2,87,130,2.2181888,238.469,238.8126427,193046,32444.56688,13.20736158
247.2,93,107.97,33528184,4.221279427,238,244.8,87,131,2.2124908,238.92,238.8163768,195403,32693.97969,10.51993821
247.2,93,109.06,33785973,3.321951836,375,244.8,87,132,2.240416,238.494,238.8240888,197790,32947.51635,8.328048991
247.2,91,108.68,34040727,4.525122208,216,245.7,87,133,2.2288723,238.663,239.1016041,200159,33195.40303,11.31006631
247.2,92,106.59,34297547,3.06989837,205,245.3,87,134,2.2377276,239.482,239.0581308,202545,33449.3922,7.672150937
247.2,92,106.74,34552917,3.06543227,208,245.2,87,135,2.2425733,239.405,239.2623322,204929,33703.18579,7.653260743
247.2,90,108.66,34809364,5.611848537,232,246.2,87,136,2.262367,238.666,239.4422629,207333,33958.29215,14.0237085
247.2,88,106.51,35065491,3.3540966,216,246.9,87,137,2.2682152,239.506,239.6004979,209743,34209.63104,8.419614005
247.2,89,105.81,35321068,3.645514916,375,246.5,87,138,2.2585695,239.789,239.4630308,212145,34460.59548,9.156085408
247.2,91,103.95,35577626,2.443250908,209,245.7,87,139,2.2871854,240.525,239.8436985,214573,34713.21006,6.139014579
247.2,90,106.51,35833114,5.415670873,208,246.2,87,140,2.2802007,239.497,239.8645308,216992,34964.42871,13.56133843
247.2,91,104.66,36089753,2.491308692,375,245.8,87,141,2.2929103,240.241,239.8552361,219427,35218.3907,6.248551832
