best_ext_ret,eplen_std,eprew_recent,total_secs,eprew,tcount,best_eplen,recent_worst_eplen,recent_best_ext_ret,eprew_std,eplen,n_updates,epcount,recent_best_eplen,rew_mean
216.9,25.13551074,204.6869189,17955.32236,205.933,18168025,88,375,216.9,10.05451197,115.31,71,94520,88,1.76881
217,33.87891822,205.1182475,18209.55366,203.244,18424060,88,375,217,33.83301145,116.33,72,96734,88,1.7882743
217.2,40.53489361,204.9688177,18466.08443,202.606,18680006,87,375,217.2,34.18364176,118.32,73,98950,87,1.7924433
217.2,21.25849477,206.2116762,18724.04259,206.315,18936510,87,375,216.1,8.506919243,114.42,74,101211,90,1.8345243
217.2,16.43888987,206.128039,18982.6322,207.399,19191643,87,375,216.5,6.573469328,111.73,75,103465,89,1.8296095
217.8,35.51778569,205.9036364,19239.85436,202.957,19448034,86,375,217.8,33.69715494,117.37,76,105720,86,1.8295567
217.8,17.94373428,206.154297,19494.31703,207.413,19704149,86,375,216.8,7.193784192,111.68,77,107989,88,1.841134
217.8,10.92062269,207.2111594,19752.88685,208.91,19959691,86,375,216.9,4.353630669,108,78,110292,88,1.8805447
217.8,17.63994331,206.927249,20008.39736,207.178,20216656,86,375,216.3,7.120134549,112.18,79,112593,90,1.8747239
217.8,33.10650087,207.2843061,20266.86952,203.751,20472361,86,375,216.9,33.38145442,115.14,80,114906,88,1.8876791
218.5,17.15021866,207.6046121,20525.60587,208.227,20728589,84,375,218.5,6.867865098,109.7,81,117226,84,1.8961091
218.5,36.94825977,207.2781331,20778.63281,202.812,20984463,84,375,216.4,33.93197984,117.69,82,119540,89,1.8905703
218.5,32.04723233,206.8897225,21035.04054,204.645,21240552,84,375,216.4,33.24454655,113.07,83,121846,89,1.8772522
218.5,20.43264789,208.1039693,21291.49406,208.242,21496507,84,375,216.4,8.171905286,109.63,84,124189,89,1.920216
218.5,18.43263139,207.6323302,21540.22257,208.513,21752777,84,375,217.1,7.360171941,108.91,85,126515,88,1.9017833
218.5,34.4402439,207.1398797,21797.16135,204.945,22008760,84,375,217.6,33.25793853,112.36,86,128842,86,1.8983376
218.5,26.40321761,207.053296,22055.93243,208.449,22264442,84,375,217.2,10.57482383,108.99,87,131163,87,1.8931556
218.5,32.60635521,208.5297013,22312.1637,205.062,22521575,84,375,217.7,32.97080157,112.16,88,133540,86,1.9508488
218.5,29.19482146,208.2832277,22571.77785,206.796,22777392,84,375,217,32.98859173,107.68,89,135907,88,1.9405621
218.5,30.93694232,208.2645202,22828.24832,206.679,23033259,84,375,217.2,33.20239839,107.84,90,138283,87,1.9500625
218.5,12.29212756,208.0768354,23085.34994,209.582,23289061,84,375,217.4,4.987592205,106.06,91,140653,87,1.9415349
218.9,16.99676146,207.9380186,23344.69981,209.304,23544771,83,375,218.9,6.824865127,107.01,92,143015,83,1.932315
218.9,11.60749327,209.4578119,23601.96073,209.993,23800749,83,375,218.3,4.652273745,105.31,93,145428,85,1.9888126
218.9,38.27061536,208.8037254,23860.02819,205.409,24056472,83,375,217.5,33.94995462,111.2,94,147817,87,1.9661816
218.9,33.46767993,209.2303787,24119.10085,206.737,24312807,83,375,217.4,33.60635849,107.88,95,150220,87,1.9780847
218.9,12.8539916,209.8265927,24379.21689,210.436,24569287,83,375,218.1,5.159486796,104.07,96,152653,85,2.008061
218.9,31.6347973,209.0429285,24639.04441,206.191,24825213,83,375,217.2,33.29502394,109.14,97,155057,87,1.9787818
218.9,17.76406204,209.6958351,24896.08724,209.666,25081615,83,375,217.6,7.119806458,106.09,98,157482,86,2.0022018
218.9,10.20044607,209.425592,25156.6141,210.92,25336724,83,375,217.1,4.076910595,102.97,99,159889,88,1.9843874
218.9,7.571334096,209.9354218,25416.80868,211.722,25592949,83,375,217.7,3.035344462,100.93,100,162331,86,2.019685
218.9,19.31886125,209.7886645,25676.52564,210.024,25848933,83,375,217.9,7.867745802,105.04,101,164757,86,2.004024
219.2,31.46663471,209.1841368,25934.0532,206.697,26105388,82,375,219.2,33.29467061,108.03,102,167184,82,1.9976721
