best_ext_ret,eprew,rew_mean,recent_best_eplen,best_eplen,n_updates,epcount,eplen_std,total_secs,recent_worst_eplen,eprew_std,recent_best_ext_ret,eprew_recent,tcount,eplen
-1.725,-7.575,-0.030374732,68,68,198,54560.0,0.0,14277.042691230774,68,1.10227038425243,-1.725,-7.638591056034481,12670080.0,68.0
-1.725,-7.665625,-0.033195794,68,68,199,55520.0,0.0,14519.021433353424,68,1.1621429223099025,-3.2875,-7.673242187499998,12735360.0,68.0
-1.725,-7.50625,-0.030302959,68,68,200,56448.0,0.0,14761.383495807648,68,1.1245658884654113,-3.9125,-7.62680495689655,12798464.0,68.0
-1.725,-7.453125,-0.0329931,68,68,201,57408.0,0.0,15005.146187067032,68,1.0798717733485768,-4.225,-7.697656249999998,12863744.0,68.0
-1.725,-7.8125,-0.031643763,68,68,202,58336.0,0.0,15248.30381155014,68,1.0702657380295792,-3.2875,-7.649703663793102,12926848.0,68.0
-1.725,-7.5375,-0.028154897,68,68,203,59264.0,0.0,15492.822962284088,68,1.1353688827865593,-3.6,-7.456748383620688,12989952.0,68.0
-1.725,-7.56875,-0.031108016,68,68,204,60224.0,0.0,15733.53062748909,68,1.0159855129380537,-3.6,-7.466861979166665,13055232.0,68.0
-1.725,-7.7875,-0.031057559,68,68,205,61152.0,0.0,15975.52346086502,68,1.0606601717798212,-3.9125,-7.6978582974137915,13118336.0,68.0
-1.725,-7.915625,-0.032623224,68,68,206,62112.0,0.0,16215.317316532135,68,1.294289591581034,-3.6,-7.636458333333332,13183616.0,68.0
-1.725,-7.76875,-0.02837912,68,68,207,63040.0,0.0,16457.728821754456,68,1.161071030342244,-3.2875,-7.482341056034481,13246720.0,68.0
-1.725,-8.09375,-0.031005481,68,68,208,63968.0,0.0,16699.597990751266,68,1.088630877524609,-3.2875,-7.6099676724137915,13309824.0,68.0
-1.725,-7.771875,-0.03011246,68,68,209,64928.0,0.0,16935.99972319603,68,1.1287913544473132,-3.2875,-7.548893229166665,13375104.0,68.0
-1.725,-7.25,-0.028452935,68,68,210,65856.0,0.0,17175.42266869545,68,1.2669784429894613,-3.2875,-7.478636853448274,13438208.0,68.0
-1.725,-7.615625,-0.032465484,68,68,211,66816.0,0.0,17417.163599014282,68,1.167909958804616,-4.225,-7.638736979166665,13503488.0,68.0
-1.725,-7.7375,-0.029713482,68,68,212,67744.0,0.0,17659.00600886345,68,1.1465982295468626,-3.6,-7.554741379310343,13566592.0,68.0
-1.725,-7.5,-0.030442769,68,68,213,68704.0,0.0,17899.951350212097,68,1.2495936839629114,-4.225,-7.532291666666665,13631872.0,68.0
-1.725,-7.3625,-0.029617064,68,68,214,69632.0,0.0,18142.260108709335,68,1.2302502286120494,-3.6,-7.5136584051724125,13694976.0,68.0
-1.725,-7.6625,-0.02744223,68,68,215,70560.0,0.0,18385.081689357758,68,1.2271346197544912,-2.0375,-7.48941271551724,13758080.0,68.0
-1.725,-7.359375,-0.030674957,68,68,216,71520.0,0.0,18625.377283096313,68,1.2322608477408508,-4.225,-7.538802083333332,13823360.0,68.0
-1.725,-7.29375,-0.02781088,68,68,217,72448.0,0.0,18868.79591536522,68,1.33051622970184,-2.6625,-7.4941271551724125,13886464.0,68.0
-1.725,-7.61875,-0.027431836,68,68,218,73408.0,0.0,19111.64656352997,68,1.0942141872138196,-3.2875,-7.354882812499998,13951744.0,68.0
-1.725,-7.61875,-0.028619556,68,68,219,74336.0,0.0,19354.26293683052,68,1.0126350218612825,-2.975,-7.5011988146551705,14014848.0,68.0
-1.725,-7.559375,-0.028206907,68,68,220,75264.0,0.0,19596.551024913788,68,1.1941058043050459,-3.2875,-7.50052532327586,14077952.0,68.0
-1.725,-7.49375,-0.028401501,68,68,221,76224.0,0.0,19839.173495292664,68,1.148555478633923,-3.2875,-7.368880208333332,14143232.0,68.0
-1.725,-7.678125,-0.029603595,68,68,222,77152.0,0.0,20081.65232872963,68,1.1704157581282815,-2.6625,-7.553731142241378,14206336.0,68.0
-1.725,-7.565625,-0.028401729,68,68,223,78112.0,0.0,20323.386241197586,68,1.0323810085791971,-2.975,-7.370507812499998,14271616.0,68.0
-1.725,-7.75625,-0.03078592,68,68,224,79040.0,0.0,20565.8224337101,68,1.148623496843069,-4.225,-7.624447737068964,14334720.0,68.0
-1.725,-7.125,-0.029985601,68,68,225,79968.0,0.0,20809.961261987686,68,1.3600608901810243,-3.6,-7.566864224137929,14397824.0,68.0
-1.725,-7.51875,-0.03063653,68,68,226,80928.0,0.0,21053.106870174408,68,1.3283418940543883,-2.975,-7.502343749999998,14463104.0,68.0
-1.725,-7.625,-0.029408185,68,68,227,81856.0,0.0,21296.42698931694,68,1.0988985963226998,-3.2875,-7.585385237068964,14526208.0,68.0
-1.725,-7.35625,-0.030427929,68,68,228,82816.0,0.0,21537.58915567398,68,1.1591854629437002,-2.975,-7.446354166666665,14591488.0,68.0
-1.725,-7.45,-0.028012188,68,68,229,83744.0,0.0,21780.77176260948,68,1.3308831654206161,-2.975,-7.362796336206895,14654592.0,68.0
-1.725,-7.55625,-0.030485658,68,68,230,84704.0,0.0,22023.781462430954,68,1.0441615954918089,-3.2875,-7.531640624999998,14719872.0,68.0
-1.725,-7.796875,-0.029273586,68,68,231,85632.0,0.0,22266.263610124588,68,1.113881691148122,-3.9125,-7.453044181034481,14782976.0,68.0
-1.725,-7.2375,-0.027088959,68,68,232,86560.0,0.0,22511.617918491364,68,1.3276800725325357,-2.975,-7.410614224137929,14846080.0,68.0
-1.725,-7.734375,-0.030684963,68,68,233,87520.0,0.0,22753.345477342606,68,1.1996540842572079,-3.6,-7.489973958333332,14911360.0,68.0
-1.725,-7.475,-0.027889164,68,68,234,88448.0,0.0,22997.650121212006,68,1.1989578808281798,-3.6,-7.40152209051724,14974464.0,68.0
-1.725,-7.31875,-0.03083881,68,68,235,89408.0,0.0,23238.255051136017,68,1.2542895150243423,-3.2875,-7.502343749999998,15039744.0,68.0
-1.725,-7.35,-0.028144648,68,68,236,90336.0,0.0,23477.911810159683,68,1.1197795541980573,-4.225,-7.390072737068964,15102848.0,68.0
-1.725,-7.215625,-0.027771741,68,68,237,91264.0,0.0,23720.957134723663,68,1.2344778438169717,-2.975,-7.438564116379308,15165952.0,68.0
-1.725,-7.2875,-0.029648872,68,68,238,92224.0,0.0,23960.2051756382,68,1.1327855600244912,-2.975,-7.427148437499998,15231232.0,68.0
-1.725,-7.175,-0.02915612,68,68,239,93152.0,0.0,24199.790982961655,68,1.2742338384299796,-3.2875,-7.494463900862067,15294336.0,68.0
-1.725,-7.275,-0.030376337,68,68,240,94112.0,0.0,24440.567110061646,68,1.2602083161128563,-2.975,-7.485416666666665,15359616.0,68.0
