eprew_recent,rew_mean,epcount,best_eplen,recent_best_ext_ret,n_updates,total_secs,recent_best_eplen,tcount,eprew,eplen,recent_worst_eplen,eprew_std,eplen_std,best_ext_ret
15.97899071,0.2897769,96576,55,20.5625,83,30652.6176,55,5311680,14.834375,55,55,1.573743919,0,23.0625
16.15223524,0.2987121,97728,55,20.5625,84,31019.16872,55,5375040,15.625,55,55,1.5006509,0,23.0625
15.79633247,0.29140818,98880,55,21.8125,85,31384.38229,55,5438400,15.79375,55,55,2.229778927,0,23.0625
15.99746622,0.2904416,100064,55,21.1875,86,31748.56495,55,5503520,16.58125,55,55,1.886226806,0,23.0625
16.13921441,0.29986924,101216,55,22.125,87,32115.39779,55,5566880,16.6875,55,55,2.081822369,0,23.0625
16.13921441,0.29525957,102368,55,22.4375,88,32484.33097,55,5630240,16.059375,55,55,1.605711851,0,23.0625
15.95576436,0.291312,103552,55,20.875,89,32849.75483,55,5695360,16.553125,55,55,1.671834112,0,23.0625
16.09472656,0.2974205,104704,55,22.75,90,33217.48821,55,5758720,16.834375,55,55,2.411420986,0,23.0625
16.04207137,0.29377195,105888,55,21.8125,91,33584.19814,55,5823840,15.725,55,55,1.454035333,0,23.0625
15.94797092,0.29213056,107040,55,21.1875,92,33948.10881,55,5887200,16.23125,55,55,1.429338243,0,23.0625
16.02121311,0.29822615,108192,55,22.125,93,34317.8383,55,5950560,16.171875,55,55,1.271206827,0,23.0625
16.3828125,0.2968005,109376,55,21.5,94,34682.69792,55,6015680,15.103125,55,55,1.424160251,0,23.0625
15.91867405,0.29430124,110528,55,20.25,95,35046.211,55,6079040,16.33125,55,55,1.40202142,0,23.0625
16.10259332,0.29713926,111680,55,21.5,96,35411.37645,55,6142400,17.403125,55,55,1.506428283,0,23.0625
16.11861275,0.2925466,112864,55,21.1875,97,35771.82019,55,6207520,16.503125,55,55,1.485933392,0,23.0625
16.20486111,0.30190292,114016,55,20.5625,98,36137.20701,55,6270880,16.909375,55,55,1.477497224,0,23.0625
16.13134766,0.29532576,115168,55,21.1875,99,36505.09706,55,6334240,15.940625,55,55,1.232926365,0,23.0625
16.11227829,0.2937939,116352,55,21.1875,100,36868.98237,55,6399360,16.2125,55,55,2.415639149,0,23.0625
15.88964844,0.29397997,117504,55,21.5,101,37237.92977,55,6462720,16.603125,55,55,1.451733204,0,23.0625
16.1875,0.2963265,118688,55,21.5,102,37605.55231,55,6527840,15.984375,55,55,1.238521517,0,23.0625
16.30712891,0.29850593,119840,55,21.8125,103,37971.27098,55,6591200,16.859375,55,55,1.445206922,0,23.0625
16.05322266,0.29976505,120992,55,21.1875,104,38341.4935,55,6654560,16.6,55,55,1.26389156,0,23.0625
15.99773015,0.2890494,122176,55,21.8125,105,38707.89224,55,6719680,16.15,55,55,1.824464819,0,23.0625
16.39881727,0.30271187,123328,55,22.125,106,39076.01177,55,6783040,17.74375,55,55,1.709337865,0,23.0625
16.18153212,0.30002013,124480,55,20.25,107,39440.48744,55,6846400,15.884375,55,55,2.024486335,0,23.0625
16.09644215,0.29203093,125664,55,20.875,108,39804.80106,55,6911520,16.090625,55,55,1.418140701,0,23.0625
16.38823785,0.3036308,126816,55,20.5625,109,40171.65827,55,6974880,15.878125,55,55,1.421442242,0,23.0625
15.87988281,0.29094192,127968,55,20.5625,110,40537.76134,55,7038240,15.39375,55,55,1.306847949,0,23.0625
16.22392314,0.29686993,129152,55,20.5625,111,40903.73362,55,7103360,16.071875,55,55,1.666920228,0,23.0625
16.50515408,0.30619532,130304,55,22.125,112,41269.03242,55,7166720,15.596875,55,55,1.38553845,0,23.0625
16.65176309,0.30354553,131488,55,21.5,113,41634.31559,55,7231840,17.015625,55,55,1.814317515,0,23.0625
16.3811849,0.30023545,132640,55,21.5,114,41998.67042,55,7295200,15.971875,55,55,1.315246383,0,23.0625
16.09635417,0.29976177,133792,55,21.1875,115,42365.05562,55,7358560,16.3,55,55,1.297172406,0,23.0625
16.48706715,0.29872447,134976,55,21.8125,116,42733.97791,55,7423680,16.49375,55,55,2.061543339,0,23.0625
16.28434245,0.3011374,136128,55,22.125,117,43101.45693,55,7487040,17.5,55,55,1.977411502,0,23.0625
