recent_best_ext_ret,eprew_std,eplen,recent_best_eplen,tcount,best_eplen,recent_worst_eplen,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std,best_ext_ret,n_updates
3.875,2.182117731234672,70.0,70,6267520.0,70,70,-0.0052046925,-0.2103125,-0.7634974888392857,89536.0,36544.41536927223,0.0,9.4375,49
3.875,2.2181073012818833,70.0,70,6397440.0,70,70,-0.0011585339,-0.2,-0.3260876885775862,91392.0,37289.78889942169,0.0,9.4375,50
2.3125,1.999599959991998,70.0,70,6527360.0,70,70,-0.004125356,-0.04,-0.6027747844827587,93248.0,38039.74603390694,0.0,9.4375,51
3.875,1.894835085172322,70.0,70,6652800.0,70,70,-0.0031128011,-0.64,-0.5418526785714286,95040.0,38787.281579494476,0.0,9.4375,52
4.65625,1.9673332203772698,70.0,70,6782720.0,70,70,0.0012482359,-0.36,-0.1960870150862069,96896.0,39537.96868920326,0.0,9.4375,53
7.78125,1.92,70.0,70,6908160.0,70,70,-0.002204236,-0.56,-0.5736083984375,98688.0,40285.947982788086,0.0,9.4375,54
5.4375,1.9774731350893244,70.0,70,7038080.0,70,70,-0.009430425,-0.64,-0.8706391433189655,100544.0,41031.73715424538,0.0,9.4375,55
3.875,2.262741699796952,70.0,70,7163520.0,70,70,-0.0022802022,-1.2,-0.5306919642857143,102336.0,41783.74704837799,0.0,9.4375,56
4.65625,2.0313542280951395,70.0,70,7293440.0,70,70,-0.0060703466,-0.44,-0.6893689385775862,104192.0,42518.58294177055,0.0,9.4375,57
4.65625,2.107510379571118,70.0,70,7423360.0,70,70,5.703494e-05,-0.72,-0.3274346713362069,106048.0,43268.55626535416,0.0,9.4375,58
3.09375,1.8693314312876674,70.0,70,7548800.0,70,70,-0.0061685797,-1.84,-0.7648402622767857,107840.0,44017.39752173424,0.0,9.4375,59
3.875,1.8150482087261484,70.0,70,7678720.0,70,70,-0.0025313098,-0.84,-0.45593682650862066,109696.0,44766.61925148964,0.0,9.4375,60
7.0,1.9497692171126302,70.0,70,7804160.0,70,70,0.0017438468,-0.72,-0.3444301060267857,111488.0,45523.75025463104,0.0,9.4375,61
6.21875,1.9011575421305833,70.0,70,7934080.0,70,70,-0.0020769276,-0.84,-0.32644127155172414,113344.0,46268.407878637314,0.0,9.4375,62
7.0,1.894835085172322,70.0,70,8059520.0,70,70,0.0028396442,-0.64,-0.20738002232142858,115136.0,47017.52136468887,0.0,9.4375,63
7.0,2.06881608655772,70.0,70,8189440.0,70,70,-0.0051678508,-0.6,-0.6129108297413793,116992.0,47753.742072582245,0.0,9.4375,64
7.78125,1.9983993594874874,70.0,70,8319360.0,70,70,0.0004070313,-0.08,-0.32575094288793105,118848.0,48497.52076482773,0.0,9.4375,65
2.3125,1.9963967541548444,70.0,70,8444800.0,70,70,-0.004271432,-0.12,-0.6337541852678571,120640.0,49238.32911038399,0.0,9.4375,66
4.65625,2.130164312911096,70.0,70,8574720.0,70,70,-0.0035890895,-0.32,-0.5591325431034483,122496.0,49977.697848796844,0.0,9.4375,67
4.65625,2.1081454749969226,70.0,70,8700160.0,70,70,0.0013600237,0.025,-0.35939243861607145,124288.0,50717.113327264786,0.0,9.4375,68
5.4375,1.934528366294999,70.0,70,8830080.0,70,70,-0.005220326,-0.76,-0.5947265625,126144.0,51453.70753264427,0.0,9.4375,69
5.4375,1.9673332203772695,70.0,70,8955520.0,70,70,6.5337124e-05,-0.36,-0.41280691964285715,127936.0,52193.32394909859,0.0,9.4375,70
5.4375,2.0632054664708024,70.0,70,9085440.0,70,70,0.0016644761,-0.276875,-0.1175915948275862,129792.0,52930.316126823425,0.0,9.4375,71
3.875,1.9031302339829506,70.0,70,9215360.0,70,70,-0.0021404428,0.69875,-0.5080818965517241,131648.0,53667.048518657684,0.0,9.4375,72
4.65625,2.0063897926375125,70.0,70,9340800.0,70,70,0.0037263162,-1.12,-0.10721261160714286,133440.0,54404.93114876747,0.0,9.4375,73
2.3125,1.9595917942265426,70.0,70,9470720.0,70,70,0.003261816,0.4,-0.05552936422413793,135296.0,55143.341898202896,0.0,9.4375,74
3.875,2.26662745064115,70.0,70,9596160.0,70,70,0.002230549,-0.68,-0.36354282924107145,137088.0,55893.49168539047,0.0,9.4375,75
6.21875,2.0422944931804032,70.0,70,9726080.0,70,70,0.0013743679,0.403125,-0.09135910560344827,138944.0,56635.28721499443,0.0,9.4375,76
7.875,1.6833300330000651,70.0,70,9851520.0,70,70,-0.00022930706,-1.08,-0.4130859375,140736.0,57385.819870233536,0.0,9.4375,77
7.0,2.1739135217390775,70.0,70,9981440.0,70,70,0.0049221297,0.21,0.06916756465517242,142592.0,58128.63135719299,0.0,9.4375,78
4.65625,1.8317026690947278,70.0,70,10111360.0,70,70,0.0050839866,0.9653125,-0.019969019396551723,144448.0,58869.496747493744,0.0,9.4375,79
