recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
55,125.225,91,19.128125,24.3125,1.1049383113436695,52,55.0,20.05415962837838,0.0,105888.0,35557.6284160614,5823835.0,55,0.37379682
55,125.225,92,20.990625,24.3125,1.1298981909335903,52,55.0,19.97357855902778,0.0,107040.0,35946.53339242935,5887195.0,55,0.36891007
55,125.225,93,19.471875,24.3125,1.4282959416293952,52,55.0,20.00531684027778,0.0,108192.0,36336.86299276352,5950555.0,55,0.37381268
55,125.225,94,19.475,24.0,1.0564903572678739,52,55.0,20.02222339527027,0.0,109376.0,36724.795360565186,6015675.0,55,0.36989576
55,125.225,95,19.346875,23.6875,0.9467202843897452,52,55.0,19.947265625,0.0,110528.0,37113.85975551605,6079035.0,55,0.36817247
55,125.225,96,18.925,23.6875,1.260208316112856,52,55.0,19.957845052083332,0.0,111680.0,37506.42710232735,6142395.0,55,0.37509355
55,125.225,97,20.275,24.9375,1.3482337983450796,52,55.0,20.07052364864865,0.0,112864.0,37893.692195653915,6207515.0,55,0.3690919
55,125.225,98,20.459375,24.9375,1.9510889387403643,52,55.0,20.19411892361111,0.0,114016.0,38279.81533026695,6270875.0,55,0.37658185
55,125.225,99,20.690625,24.3125,1.4928835091443002,52,55.0,19.91258665511265,0.0,115170.0,38671.05282855034,6334345.0,55,0.37200412
55,125.225,100,20.36875,23.6875,1.182373804048449,52,55.0,19.93935067681895,0.0,116352.0,39056.97041344643,6399355.0,55,0.3652377
55,125.225,101,20.2375,24.3125,1.0047932001163224,52,55.0,19.982259114583332,0.0,117504.0,39449.17156624794,6462715.0,55,0.37293383
55,125.225,102,19.1,24.9375,1.6098330658798137,52,55.0,20.005859375,0.0,118688.0,39836.65785551071,6527835.0,55,0.37396
55,125.225,103,18.7125,24.0,1.1264573893405823,52,55.0,19.716959635416668,0.0,119840.0,40224.78375029564,6591195.0,55,0.3643016
55,125.225,104,20.75,24.625,1.6117246197784534,52,55.0,20.121961805555557,0.0,120992.0,40618.283524513245,6654555.0,55,0.37640566
55,125.225,105,21.06875,24.0,1.390382703610772,52,55.0,20.163429054054053,0.0,122176.0,41007.93248009682,6719675.0,55,0.3725008
55,125.225,106,19.821875,23.375,1.0840237183175467,52,55.0,19.616319444444443,0.0,123328.0,41398.26842665672,6783035.0,55,0.36344734
52,125.6875,107,19.578125,125.6875,1.519646726010687,52,55.0,20.066731770833332,0.0,124480.0,41789.616879701614,6846392.0,55,0.37666446
55,125.6875,108,19.821875,24.0,1.4521367607339883,52,55.0,20.297508445945947,0.0,125664.0,42179.187749385834,6911512.0,55,0.37306306
55,125.6875,109,19.634375,24.3125,1.6240712490143403,52,55.0,20.23019748263889,0.0,126816.0,42568.02750635147,6974872.0,55,0.37763768
