total_secs,eprew_std,recent_best_ext_ret,recent_best_eplen,eprew_recent,best_ext_ret,epcount,eplen,best_eplen,tcount,recent_worst_eplen,eplen_std,eprew,rew_mean,n_updates
47536.33348,1.273922454,-2.96875,100,-7.017089844,-2.96875,43488,100,100,4348800,100,0,-7.1671875,-0.057586253,68
48208.73238,1.095061713,-2.03125,100,-7.226806641,-2.03125,44128,100,100,4412800,100,0,-7.45,-0.058812495,69
48885.54418,1.322893188,-2.65625,100,-6.754394531,-2.03125,44768,100,100,4476800,100,0,-6.8609375,-0.054816265,70
49567.32302,1.265659722,-3.125,100,-7.014404297,-2.03125,45408,100,100,4540800,100,0,-6.8625,-0.05722774,71
50233.12857,1.286455698,-2.03125,100,-6.905029297,-2.03125,46048,100,100,4604800,100,0,-6.6015625,-0.056544743,72
50908.9983,1.050557888,-3.4375,100,-6.562011719,-2.03125,46688,100,100,4668800,100,0,-6.80625,-0.0533891,73
51584.11895,1.186677347,-2.8125,100,-6.657226563,-2.03125,47328,100,100,4732800,100,0,-6.625,-0.053723603,74
52255.00964,1.028332758,-3.28125,100,-6.540283203,-2.03125,47968,100,100,4796800,100,0,-6.6109375,-0.05294312,75
52932.55385,1.104783633,-3.28125,100,-6.600341797,-2.03125,48608,100,100,4860800,100,0,-6.2625,-0.054302238,76
53597.60616,1.304719311,-2.5,100,-6.386474609,-2.03125,49248,100,100,4924800,100,0,-6.6078125,-0.05105502,77
54277.4062,1.180547079,-2.34375,100,-6.432373047,-2.03125,49888,100,100,4988800,100,0,-6.23125,-0.052459657,78
54952.82482,1.167433249,-2.1875,100,-6.227539063,-2.03125,50528,100,100,5052800,100,0,-6.196875,-0.050167292,79
55629.22118,1.107126904,-2.96875,100,-5.956054688,-2.03125,51168,100,100,5116800,100,0,-5.8921875,-0.047895804,80
56305.30943,1.251233766,-2.03125,100,-6.073242188,-2.03125,51808,100,100,5180800,100,0,-5.86875,-0.048731115,81
56978.76671,1.508727863,-2.5,100,-6.142089844,-2.03125,52448,100,100,5244800,100,0,-6.190625,-0.049628407,82
57655.92562,1.327941164,-1.71875,100,-5.946289063,-1.71875,53088,100,100,5308800,100,0,-5.578125,-0.047133155,83
58325.21472,1.357066107,-2.03125,100,-5.986572266,-1.71875,53728,100,100,5372800,100,0,-5.8796875,-0.047677178,84
59001.34298,1.028234227,-2.8125,100,-5.668457031,-1.71875,54368,100,100,5436800,100,0,-5.4875,-0.045202248,85
59672.35439,1.10473391,-2.03125,100,-5.812011719,-1.71875,55008,100,100,5500800,100,0,-6.0109375,-0.046232842,86
60349.51347,1.070570224,-2.03125,100,-5.607910156,-1.71875,55648,100,100,5564800,100,0,-5.9265625,-0.044552166,87
61030.58459,1.236868526,-1.875,100,-5.813476563,-1.71875,56288,100,100,5628800,100,0,-5.81875,-0.046624813,88
61710.55523,1.108498774,-2.1875,100,-5.678710938,-1.71875,56928,100,100,5692800,100,0,-5.525,-0.04486386,89
62383.20946,1.085567608,-2.1875,100,-5.888183594,-1.71875,57568,100,100,5756800,100,0,-6.0125,-0.046500463,90
63054.63532,1.321415959,-2.03125,100,-5.456054688,-1.71875,58208,100,100,5820800,100,0,-5.2984375,-0.04269078,91
63725.18572,1.109541141,-1.875,100,-5.612792969,-1.71875,58848,100,100,5884800,100,0,-5.6359375,-0.04452063,92
64397.7042,1.138181243,-2.5,100,-5.621826172,-1.71875,59488,100,100,5948800,100,0,-5.6390625,-0.04450212,93
65078.36658,1.054300855,-2.5,100,-5.469238281,-1.71875,60128,100,100,6012800,100,0,-5.2296875,-0.043777455,94
65753.48466,1.113640567,-1.875,100,-5.610107422,-1.71875,60768,100,100,6076800,100,0,-5.4625,-0.04387696,95
66429.27083,1.160813419,-2.03125,100,-5.341064453,-1.71875,61408,100,100,6140800,100,0,-5.7609375,-0.04193929,96
