best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
11.5625,0.0,50.0,89568.0,50,0.12608315,5.975341796875,4478400.0,50,50,70,1.359181020642578,26082.739183425903,6.165625,10.3125
12.1875,0.0,50.0,90848.0,50,0.12843078,6.03173828125,4542400.0,50,50,71,1.0894155184662095,26455.91577386856,5.428125,12.1875
12.1875,0.0,50.0,92128.0,50,0.12412076,5.890625,4606400.0,50,50,72,1.4569975280950203,26825.89945411682,6.528125,11.25
12.5,0.0,50.0,93408.0,50,0.13632321,6.4658203125,4670400.0,50,50,73,1.23558485013171,27200.393496513367,6.603125,12.5
12.5,0.0,50.0,94688.0,50,0.13098037,6.14892578125,4734400.0,50,50,74,1.7946616803383864,27572.18079328537,5.990625,11.5625
12.5,0.0,50.0,95968.0,50,0.12919156,6.092041015625,4798400.0,50,50,75,1.4989416839473775,27941.304159402847,6.078125,12.1875
12.5,0.0,50.0,97248.0,50,0.13505873,6.41064453125,4862400.0,50,50,76,1.3424084873372188,28310.55750131607,5.896875,11.5625
12.5,0.0,50.0,98528.0,50,0.13635129,6.443603515625,4926400.0,50,50,77,1.5473357899547857,28679.811589241028,6.946875,11.5625
12.5,0.0,50.0,99808.0,50,0.14288403,6.751708984375,4990400.0,50,50,78,1.45054879162164,29050.475683689117,6.340625,11.25
12.5,0.0,50.0,101088.0,50,0.14191206,6.717529296875,5054400.0,50,50,79,1.4024915050990505,29421.412631750107,6.065625,12.5
12.5,0.0,50.0,102368.0,50,0.13912997,6.56884765625,5118400.0,50,50,80,1.5715487981605916,29792.034413337708,6.7625,11.5625
12.5,0.0,50.0,103648.0,50,0.14055356,6.64208984375,5182400.0,50,50,81,1.6556484756735048,30160.372349977493,6.725,11.25
13.125,0.0,50.0,104928.0,50,0.14362247,6.75634765625,5246400.0,50,50,82,1.2788659221650251,30530.872339248657,6.359375,13.125
13.125,0.0,50.0,106208.0,50,0.14729778,6.9716796875,5310400.0,50,50,83,1.3616503945121154,30902.745027542114,6.471875,11.25
13.125,0.0,50.0,107488.0,50,0.14863114,7.0498046875,5374400.0,50,50,84,1.5626593668727038,31274.87540102005,6.228125,11.5625
13.125,0.0,50.0,108768.0,50,0.14864644,7.05810546875,5438400.0,50,50,85,1.4670868242881878,31644.017321825027,6.8125,11.5625
13.125,0.0,50.0,110048.0,50,0.14782576,6.976318359375,5502400.0,50,50,86,1.3086961247268212,32014.89171719551,6.440625,12.1875
13.125,0.0,50.0,111328.0,50,0.14792132,6.927734375,5566400.0,50,50,87,1.7949038100967973,32384.776563167572,7.71875,11.875
13.125,0.0,50.0,112608.0,50,0.14699072,6.978515625,5630400.0,50,50,88,1.4726543849457683,32757.15429663658,7.13125,11.5625
13.125,0.0,50.0,113888.0,50,0.15180661,7.1357421875,5694400.0,50,50,89,1.6521293078933017,33128.221866846085,6.675,11.875
13.125,0.0,50.0,115168.0,50,0.15038913,7.159912109375,5758400.0,50,50,90,1.2626082874351807,33500.36995148659,6.66875,11.5625
13.125,0.0,50.0,116448.0,50,0.15229742,7.216064453125,5822400.0,50,50,91,1.2073788435594688,33870.98606777191,7.015625,12.5
13.125,0.0,50.0,117728.0,50,0.15322469,7.241455078125,5886400.0,50,50,92,1.4638348609047405,34242.67700743675,6.8,12.5
13.125,0.0,50.0,119008.0,50,0.15114401,7.13720703125,5950400.0,50,50,93,1.684824267542464,34616.51946473122,7.13125,11.875
13.125,0.0,50.0,120288.0,50,0.15456034,7.3134765625,6014400.0,50,50,94,1.5588050060462983,34985.23368525505,7.215625,11.5625
13.125,0.0,50.0,121568.0,50,0.15304337,7.234130859375,6078400.0,50,50,95,1.424657305284327,35357.17381119728,7.05625,12.1875
13.125,0.0,50.0,122848.0,50,0.1543649,7.297607421875,6142400.0,50,50,96,1.3176091036418958,35731.188601493835,7.2875,11.875
13.125,0.0,50.0,124128.0,50,0.15795362,7.464111328125,6206400.0,50,50,97,1.745001231195841,36101.43518567085,8.071875,12.5
13.125,0.0,50.0,125408.0,50,0.15298389,7.1943359375,6270400.0,50,50,98,1.1637216363353395,36474.3098320961,7.765625,11.5625
13.125,0.0,50.0,126688.0,50,0.15292509,7.2470703125,6334400.0,50,50,99,1.298195863496722,36844.04490327835,6.775,12.5
13.125,0.0,50.0,127968.0,50,0.15230493,7.201171875,6398400.0,50,50,100,1.5041966034647865,37214.212972164154,5.615625,12.1875
13.125,0.0,50.0,129248.0,50,0.15516652,7.2587890625,6462400.0,50,50,101,1.4532930010410838,37589.60584139824,7.828125,12.8125
13.125,0.0,50.0,130528.0,50,0.15955505,7.533447265625,6526400.0,50,50,102,1.2616643273866468,37960.46571469307,6.6875,11.875
13.125,0.0,50.0,131808.0,50,0.15444504,7.291748046875,6590400.0,50,50,103,1.479346746667258,38332.13716959953,7.653125,11.5625
13.125,0.0,50.0,133088.0,50,0.15710732,7.422119140625,6654400.0,50,50,104,1.034913002080368,38702.44097995758,7.453125,12.5
13.125,0.0,50.0,134368.0,50,0.1527839,7.208251953125,6718400.0,50,50,105,1.2715755175666918,39072.33839249611,7.259375,12.8125
13.125,0.0,50.0,135648.0,50,0.15942901,7.48388671875,6782400.0,50,50,106,1.3342652179664283,39442.841452121735,7.965625,11.875
13.125,0.0,50.0,136928.0,50,0.16213647,7.714111328125,6846400.0,50,50,107,1.4053608300006089,39812.76817846298,7.08125,12.5
13.125,0.0,50.0,138208.0,50,0.15922707,7.47119140625,6910400.0,50,50,108,1.2601308215816323,40185.15206885338,7.23125,12.5
13.125,0.0,50.0,139488.0,50,0.16194801,7.671630859375,6974400.0,50,50,109,1.1252560472510247,40556.579614400864,8.034375,13.125
13.125,0.0,50.0,140768.0,50,0.15979849,7.587646484375,7038400.0,50,50,110,1.2453036778232047,40928.5544128418,8.25,12.8125
13.125,0.0,50.0,142048.0,50,0.16175202,7.624755859375,7102400.0,50,50,111,1.1746841330757813,41300.0041410923,8.09375,11.5625
13.125,0.0,50.0,143328.0,50,0.16291374,7.690185546875,7166400.0,50,50,112,1.34147700199258,41670.56648135185,7.640625,12.1875
13.125,0.0,50.0,144608.0,50,0.15631309,7.33544921875,7230400.0,50,50,113,1.2242464199968077,42039.11689519882,6.515625,12.5
13.125,0.0,50.0,145888.0,50,0.165693,7.84033203125,7294400.0,50,50,114,1.8637658240441581,42407.436225652695,8.590625,12.8125
13.125,0.0,50.0,147168.0,50,0.16101237,7.611328125,7358400.0,50,50,115,1.2686114456365274,42776.21371841431,6.875,10.9375
