rew_mean,eplen_std,eprew_recent,recent_worst_eplen,best_eplen,recent_best_ext_ret,eprew,n_updates,total_secs,epcount,eplen,best_ext_ret,eprew_std,tcount,recent_best_eplen
0.20311356,0,11.98459201,75,75,17.8125,12.028125,59,11518.93679,24736,75,18.125,1.664481315,3775200,75
0.20757319,0,12.37642728,75,75,16.875,11.621875,60,11917.55663,25568,75,18.125,1.6151716,3837600,75
0.20280918,0,12.34772859,75,75,17.1875,12.375,61,12316.59829,26432,75,18.125,1.623797632,3902400,75
0.20875081,0,12.62839988,75,75,17.8125,13.0125,62,12711.58588,27296,75,18.125,1.37962291,3967200,75
0.202949,0,12.16346154,75,75,17.1875,11.73125,63,13111.93366,28128,75,18.125,1.631848549,4029600,75
0.20176312,0,12.33398438,75,75,16.875,11.29375,64,13507.17919,28992,75,18.125,1.461097084,4094400,75
0.20855601,0,12.70978009,75,75,16.875,13.4125,65,13907.24304,29856,75,18.125,2.219269305,4159200,75
0.20895575,0,12.72611178,75,75,17.1875,13.390625,66,14307.86119,30688,75,18.125,1.312778988,4221600,75
0.20725235,0,12.96838831,75,75,18.4375,12.153125,67,14706.01588,31552,75,18.4375,2.2997516,4286400,75
0.20511071,0,12.5318287,75,75,17.1875,12.6375,68,15103.79706,32416,75,18.4375,1.253370456,4351200,75
0.20495576,0,12.58526142,75,75,18.125,11.809375,69,15504.12953,33248,75,18.4375,1.839398997,4413600,75
0.20300171,0,12.66167535,75,75,17.5,12.921875,70,15900.47853,34112,75,18.4375,1.417920325,4478400,75
0.20843174,0,12.95681424,75,75,18.125,13.3875,71,16299.56554,34976,75,18.4375,1.297322965,4543200,75
0.21140656,0,13.17420373,75,75,17.8125,12.175,72,16696.70463,35808,75,18.4375,1.603779715,4605600,75
0.20728834,0,13.08810764,75,75,17.5,13.271875,73,17091.3605,36672,75,18.4375,1.209867471,4670400,75
0.21046259,0,13.19733796,75,75,18.125,13.521875,74,17488.67262,37536,75,18.4375,1.735348826,4735200,75
0.20842178,0,13.08330829,75,75,18.4375,12.875,75,17887.84304,38368,75,18.4375,1.414903928,4797600,75
0.20121725,0,12.71990741,75,75,17.8125,13.196875,76,18285.23281,39232,75,18.4375,1.476941916,4862400,75
0.21111222,0,13.32175926,75,75,18.75,13.065625,77,18683.04555,40096,75,18.75,1.350415879,4927200,75
0.20667279,0,13.05213341,75,75,19.0625,12.6,78,19083.5239,40928,75,19.0625,1.838647601,4989600,75
0.20563051,0,13.11414931,75,75,17.1875,13.39375,79,19479.02185,41792,75,19.0625,1.56126201,5054400,75
0.21053612,0,13.3843316,75,75,19.375,12.571875,80,19875.38784,42656,75,19.375,1.974868963,5119200,75
0.20946996,0,13.28575721,75,75,17.8125,13.06875,81,20275.27499,43488,75,19.375,1.243247386,5181600,75
0.20255545,0,13.02228009,75,75,18.4375,14.2375,82,20669.18213,44352,75,19.375,2.140713958,5246400,75
0.21119519,0,13.50802951,75,75,18.75,13.88125,83,21061.98746,45216,75,19.375,1.68991725,5311200,75
0.21101514,0,13.38303786,75,75,18.125,14.69375,84,21457.54185,46048,75,19.375,1.572455782,5373600,75
