rew_mean,recent_worst_eplen,tcount,recent_best_eplen,eplen,eplen_std,recent_best_ext_ret,n_updates,eprew,best_ext_ret,eprew_recent,total_secs,eprew_std,best_eplen,epcount
-0.15450716,70,2558080.0,70,70.0,0.0,-8.0,20,-11.65,-8.0,-11.550646551724139,15460.482125759125,0.8170067319184096,70,36544.0
-0.15282525,70,2683520.0,70,70.0,0.0,-10.0,21,-11.49,-8.0,-11.498883928571429,16236.931427240372,0.9219002115196632,70,38336.0
-0.15141545,70,2813440.0,70,70.0,0.0,-8.0,22,-11.39,-8.0,-11.354525862068966,17003.701708078384,0.9684523736353793,70,40192.0
-0.15018521,70,2943360.0,70,70.0,0.0,-8.0,23,-11.27,-8.0,-11.28125,17773.394093990326,1.0085137579626766,70,42048.0
-0.14755331,70,3068800.0,70,70.0,0.0,-8.0,24,-10.89,-8.0,-11.130022321428571,18540.462917089462,1.0089103032480142,70,43840.0
-0.14728,70,3198720.0,70,70.0,0.0,-8.0,25,-11.28,-8.0,-11.079741379310345,19307.710399627686,0.9600000000000001,70,45696.0
-0.14425507,70,3324160.0,70,70.0,0.0,-8.0,26,-11.36,-8.0,-10.920200892857142,20075.769487142563,0.9645724441429995,70,47488.0
-0.14390396,70,3454080.0,70,70.0,0.0,-8.0,27,-10.88,-8.0,-10.892780172413794,20835.13880443573,0.9927738916792687,70,49344.0
-0.1421949,70,3579520.0,70,70.0,0.0,-8.0,28,-11.04,-8.0,-10.79296875,21601.139276981354,1.0384603988597734,70,51136.0
-0.14155848,70,3709440.0,70,70.0,0.0,-8.0,29,-10.66,-8.0,-10.716594827586206,22358.91774892807,1.060377291344925,70,52992.0
-0.13991989,70,3839360.0,70,70.0,0.0,-8.0,30,-10.74,-8.0,-10.629310344827585,23121.574318408966,1.0061808982484213,70,54848.0
-0.13838345,70,3964800.0,70,70.0,0.0,-6.0,31,-10.7,-6.0,-10.529017857142858,23884.33650779724,1.0723805294763609,70,56640.0
-0.1366804,70,4094720.0,70,70.0,0.0,-8.0,32,-10.3,-6.0,-10.398706896551724,24647.3236246109,1.03440804327886,70,58496.0
-0.1354716,70,4220160.0,70,70.0,0.0,-8.0,33,-10.4,-6.0,-10.371651785714286,25415.651287078857,0.8485281374238569,70,60288.0
-0.13415298,70,4350080.0,70,70.0,0.0,-8.0,34,-10.1,-6.0,-10.217672413793103,26177.768229484558,1.0344080432788603,70,62144.0
-0.13393451,70,4475520.0,70,70.0,0.0,-8.0,35,-10.12,-6.0,-10.282366071428571,26945.50456047058,0.7909487973314077,70,63936.0
-0.13534842,70,4605440.0,70,70.0,0.0,-8.0,36,-10.32,-6.0,-10.327586206896552,27704.532549858093,0.7858753081755401,70,65792.0
-0.1327762,70,4735360.0,70,70.0,0.0,-8.0,37,-10.36,-6.0,-10.171336206896552,28472.19626736641,1.109233969908964,70,67648.0
-0.132509,70,4860800.0,70,70.0,0.0,-8.0,38,-10.2,-6.0,-10.1640625,29234.053181648254,0.7211102550927979,70,69440.0
-0.1308293,70,4990720.0,70,70.0,0.0,-8.0,39,-10.1,-6.0,-10.02801724137931,29996.270570516586,0.8185352771872451,70,71296.0
-0.13000064,70,5116160.0,70,70.0,0.0,-8.0,40,-10.48,-6.0,-10.033482142857142,30762.956377506256,0.9846826900072938,70,73088.0
-0.13063997,70,5246080.0,70,70.0,0.0,-8.0,41,-10.0,-6.0,-10.02801724137931,31526.249232530594,0.6324555320336759,70,74944.0
-0.128048,70,5371520.0,70,70.0,0.0,-8.0,42,-9.74,-6.0,-9.8828125,32299.87197947502,0.8321057625085889,70,76736.0
-0.12895095,70,5501440.0,70,70.0,0.0,-8.0,43,-9.84,-6.0,-9.946120689655173,33063.361160993576,0.7838367176906169,70,78592.0
-0.12791047,70,5631360.0,70,70.0,0.0,-8.0,44,-9.94,-6.0,-9.863146551724139,33830.17933869362,0.7186097689288673,70,80448.0
-0.12522107,70,5756800.0,70,70.0,0.0,-8.0,45,-9.8,-6.0,-9.6875,34594.20812678337,0.7211102550927978,70,82240.0
-0.1269201,70,5886720.0,70,70.0,0.0,-6.0,46,-9.88,-6.0,-9.788793103448276,35358.01756191254,0.7909487973314077,70,84096.0
-0.12481944,70,6012160.0,70,70.0,0.0,-8.0,47,-10.0,-6.0,-9.704241071428571,36129.91071844101,0.848528137423857,70,85888.0
-0.12447401,70,6142080.0,70,70.0,0.0,-8.0,48,-9.4,-6.0,-9.629310344827585,36897.72489476204,1.0,70,87744.0
-0.12462205,70,6267520.0,70,70.0,0.0,-8.0,49,-9.84,-6.0,-9.698660714285714,37669.40916252136,0.8333066662399864,70,89536.0
-0.123790555,70,6397440.0,70,70.0,0.0,-8.0,50,-9.68,-6.0,-9.585129310344827,38434.63461613655,0.8818163074019442,70,91392.0
-0.12233049,70,6527360.0,70,70.0,0.0,-6.0,51,-9.5,-6.0,-9.515086206896552,39201.376178979874,0.8660254037844386,70,93248.0
-0.122093305,70,6652800.0,70,70.0,0.0,-8.0,52,-9.72,-6.0,-9.513392857142858,39968.28519940376,0.6939740629158989,70,95040.0
-0.12276877,70,6782720.0,70,70.0,0.0,-6.0,53,-9.48,-6.0,-9.523706896551724,40731.4722070694,0.9217374897442329,70,96896.0
-0.11984146,70,6908160.0,70,70.0,0.0,-6.0,54,-9.1,-6.0,-9.404017857142858,41497.50086474419,0.99498743710662,70,98688.0
-0.12118096,70,7038080.0,70,70.0,0.0,-6.0,55,-9.64,-6.0,-9.438577586206897,42261.043306827545,0.8187795796183488,70,100544.0
-0.12161201,70,7163520.0,70,70.0,0.0,-6.0,56,-9.56,-6.0,-9.540178571428571,43030.874355793,0.8754427451295718,70,102336.0
-0.11981893,70,7293440.0,70,70.0,0.0,-6.0,57,-8.96,-6.0,-9.317887931034482,43790.24492907524,1.0384603988597734,70,104192.0
-0.12027478,70,7423360.0,70,70.0,0.0,-8.0,58,-9.44,-6.0,-9.400862068965518,44556.63035321236,0.9414881836751857,70,106048.0
-0.11809255,70,7548800.0,70,70.0,0.0,-6.0,59,-9.82,-6.0,-9.238839285714286,45319.6130669117,0.6982836100038436,70,107840.0
-0.11876386,70,7678720.0,70,70.0,0.0,-6.0,60,-9.18,-6.0,-9.300646551724139,46080.88559150696,1.0235233265539188,70,109696.0
-0.118994616,70,7804160.0,70,70.0,0.0,-6.0,61,-9.22,-6.0,-9.366071428571429,46844.43601179123,1.01567711404757,70,111488.0
-0.11980891,70,7934080.0,70,70.0,0.0,-6.0,62,-9.34,-6.0,-9.375,47608.52454376221,1.060377291344925,70,113344.0
-0.11598134,70,8059520.0,70,70.0,0.0,-6.0,63,-9.32,-6.0,-9.1640625,48379.67653656006,0.9474175425861608,70,115136.0
-0.11781151,70,8189440.0,70,70.0,0.0,-6.0,64,-9.1,-6.0,-9.20905172413793,49131.62281513214,1.03440804327886,70,116992.0
-0.11738887,70,8319360.0,70,70.0,0.0,-6.0,65,-9.56,-6.0,-9.242456896551724,49892.6995139122,0.8754427451295718,70,118848.0
-0.118042745,70,8444800.0,70,70.0,0.0,-6.0,66,-8.92,-6.0,-9.286830357142858,50651.26794433594,0.9967948635501689,70,120640.0
-0.11620426,70,8574720.0,70,70.0,0.0,-6.0,67,-9.44,-6.0,-9.127155172413794,51406.21661376953,0.8979977728257459,70,122496.0
-0.11539178,70,8700160.0,70,70.0,0.0,-6.0,68,-9.02,-6.0,-9.146205357142858,52164.951293706894,0.999799979995999,70,124288.0
-0.11699701,70,8830080.0,70,70.0,0.0,-6.0,69,-9.08,-6.0,-9.192887931034482,52920.563245773315,0.9967948635501689,70,126144.0
-0.11477212,70,8955520.0,70,70.0,0.0,-6.0,70,-9.3,-6.0,-9.106026785714286,53683.802117586136,0.9539392014169455,70,127936.0
-0.11612163,70,9085440.0,70,70.0,0.0,-6.0,71,-9.52,-6.0,-9.110991379310345,54444.45901489258,0.854166260162505,70,129792.0
-0.11382356,70,9215360.0,70,70.0,0.0,-6.0,72,-8.76,-6.0,-9.022629310344827,55209.42630934715,0.9707728879609279,70,131648.0
-0.11309704,70,9340800.0,70,70.0,0.0,-6.0,73,-8.94,-6.0,-8.955357142857142,55973.63946580887,0.9981983770774225,70,133440.0
-0.11480197,70,9470720.0,70,70.0,0.0,-6.0,74,-9.2,-6.0,-9.058189655172415,56737.89462518692,1.019803902718557,70,135296.0
