epcount,eprew_recent,tcount,eplen,recent_best_eplen,eprew,eprew_std,n_updates,best_ext_ret,best_eplen,total_secs,eplen_std,rew_mean,recent_worst_eplen,recent_best_ext_ret,,
134560,,9151488,,,-7.771875,1.167909959,,-2.975,,,,,,,2816,131744
135488,,9214592,,,-8.0875,0.967761593,,-2.975,,,,,,,3744,131744
136448,,9279872,,,-7.965625,1.225904481,,-2.975,,,,,,,4704,131744
137376,,9342976,,,-8.034375,1.286722308,,-2.6625,,,,,,,5632,131744
138304,,9406080,,,-7.475,1.149048519,,-2.6625,,,,,,,6560,131744
139264,,9471360,,,-7.821875,1.115843816,,-2.6625,,,,,,,7520,131744
140192,,9534464,,,-8.178125,1.163721636,,-2.6625,,,,,,,8448,131744
141152,,9599744,,,-7.83125,1.086511764,,-2.6625,,,,,,,9408,131744
142080,,9662848,,,-7.990625,0.948245708,,-2.6625,,,,,,,10336,131744
143008,,9725952,,,-7.709375,1.063763036,,-2.6625,,,,,,,11264,131744
143968,,9791232,,,-8.134375,1.122823415,,-2.6625,,,,,,,12224,131744
144896,,9854336,,,-8.046875,1.144667494,,-2.6625,,,,,,,13152,131744
145856,,9919616,,,-8,1.203575403,,-2.6625,,,,,,,14112,131744
146784,,9982720,,,-8.14375,1.102571568,,-2.6625,,,,,,,15040,131744
147712,,10045824,,,-7.58125,1.146172298,,-2.6625,,,,,,,15968,131744
148672,,10111104,,,-7.55625,1.122584212,,-2.6625,,,,,,,16928,131744
149600,,10174208,,,-8.159375,1.229595176,,-2.6625,,,,,,,17856,131744
150560,,10239488,,,-7.43125,1.187187459,,-2.6625,,,,,,,18816,131744
151488,,10302592,,,-7.5,1.218733974,,-2.6625,,,,,,,19744,131744
152448,,10367872,,,-7.7375,1.243043141,,-2.6625,,,,,,,20704,131744
153376,,10430976,,,-7.803125,1.209802896,,-2.6625,,,,,,,21632,131744
154304,,10494080,,,-7.85,1.065253784,,-2.6625,,,,,,,22560,131744
155264,,10559360,,,-7.9125,1.015504801,,-2.6625,,,,,,,23520,131744
156192,,10622464,,,-7.715625,1.227973909,,-2.6625,,,,,,,24448,131744
157152,,10687744,,,-7.878125,1.158945338,,-2.6625,,,,,,,25408,131744
158080,,10750848,,,-8.1625,1.180075474,,-2.6625,,,,,,,26336,131744
159008,,10813952,,,-8.228125,1.093924093,,-2.6625,,,,,,,27264,131744
159968,,10879232,,,-7.803125,1.204949915,,-2.6625,,,,,,,28224,131744
160896,,10942336,,,-7.609375,1.23511054,,-2.6625,,,,,,,29152,131744
161856,,11007616,,,-8.034375,1.129068165,,-2.6625,,,,,,,30112,131744
162784,,11070720,,,-7.575,1.174334918,,-2.6625,,,,,,,31040,131744
163712,,11133824,,,-7.93125,0.988231533,,-2.6625,,,,,,,31968,131744
164672,,11199104,,,-7.740625,1.045241263,,-2.35,,,,,,,32928,131744
165600,,11262208,,,-7.665625,1.147768725,,-2.35,,,,,,,33856,131744
166560,,11327488,,,-7.525,1.14847045,,-2.35,,,,,,,34816,131744
167488,,11390592,,,-7.634375,1.00204381,,-2.35,,,,,,,35744,131744
168448,,11455872,,,-8.14375,1.184552262,,-2.35,,,,,,,36704,131744
169376,,11518976,,,-7.840625,1.055357426,,-2.35,,,,,,,37632,131744
170304,,11582080,,,-7.3875,1.358767824,,-2.35,,,,,,,38560,131744
171264,,11647360,,,-7.778125,1.126435716,,-2.35,,,,,,,39520,131744
172192,,11710464,,,-8.034375,1.019051911,,-2.35,,,,,,,40448,131744
173152,,11775744,,,-7.55625,1.138135125,,-2.35,,,,,,,41408,131744
174080,,11838848,,,-7.628125,1.180815892,,-2.35,,,,,,,42336,131744
175008,,11901952,,,-7.43125,1.113324835,,-2.35,,,,,,,43264,131744
175968,,11967232,,,-7.225,1.328768227,,-2.35,,,,,,,44224,131744
176896,,12030336,,,-6.98125,1.285723896,,-2.35,,,,,,,45152,131744
177856,,12095616,,,-7.340625,1.263563135,,-2.35,,,,,,,46112,131744
178784,,12158720,,,-7.590625,1.19066601,,-2.35,,,,,,,47040,131744
179712,,12221824,,,-7.684375,1.009964998,,-2.35,,,,,,,47968,131744
180672,,12287104,,,-7.959375,1.129656163,,-2.35,,,,,,,48928,131744
181600,,12350208,,,-7.6125,1.132544149,,-1.725,,,,,,,49856,131744
182560,,12415488,,,-7.678125,1.30980005,,-1.725,,,,,,,50816,131744
183488,,12478592,,,-7.578125,1.179127558,,-1.725,,,,,,,51744,131744
184448,,12543872,,,-7.5875,1.175199451,,-1.725,,,,,,,52704,131744
185376,,12606976,,,-7.19375,1.217948454,,-1.725,,,,,,,53632,131744
186304,,12670080,,,-7.575,1.102270384,,-1.725,,,,,,,54560,131744
187264,,12735360,,,-7.665625,1.162142922,,-1.725,,,,,,,55520,131744
188192,,12798464,,,-7.50625,1.124565888,,-1.725,,,,,,,56448,131744
