recent_best_ext_ret,n_updates,total_secs,best_ext_ret,eplen_std,eplen,eprew,eprew_recent,best_eplen,rew_mean,tcount,eprew_std,epcount,recent_best_eplen,recent_worst_eplen
17.25,83,18725.21384692192,18.8125,0.0,70.0,13.565625,13.064924568965518,70,0.2318254,5311360.0,1.4178652252153587,48448.0,70,70
17.5625,84,19077.208332061768,18.8125,0.0,70.0,12.51875,12.9775390625,70,0.22874442,5374080.0,1.7848209819194756,49344.0,70,70
17.5625,85,19428.07161283493,18.8125,0.0,70.0,12.73125,12.90362338362069,70,0.2262564,5439040.0,1.2106461343018446,50272.0,70,70
18.1875,86,19783.459897518158,18.8125,0.0,70.0,12.759375,12.719796316964286,70,0.2272172,5501760.0,1.5759762599338227,51168.0,70,70
18.5,87,20137.484912872314,18.8125,0.0,70.0,12.253125,13.161907327586206,70,0.2306981,5566720.0,1.567800384894391,52096.0,70,70
18.5,88,20494.19323658943,18.8125,0.0,70.0,13.1375,13.200296336206897,70,0.22984193,5631680.0,1.2364263018878239,53024.0,70,70
17.5625,89,20850.10730957985,18.8125,0.0,70.0,12.1,12.793038504464286,70,0.22635446,5694400.0,1.6685744289662356,53920.0,70,70
18.8125,90,21205.050542593002,18.8125,0.0,70.0,13.7125,13.442753232758621,70,0.23540373,5759360.0,1.764936259472279,54848.0,70,70
17.875,91,21558.964277267456,18.8125,0.0,70.0,11.775,12.616559709821429,70,0.22291036,5822080.0,1.459398420582947,55744.0,70,70
17.875,92,21913.914608716965,18.8125,0.0,70.0,12.925,12.958176185344827,70,0.2261577,5887040.0,1.6977236597868335,56672.0,70,70
18.5,93,22270.65669989586,18.8125,0.0,70.0,13.4125,13.279227120535714,70,0.233649,5949760.0,1.7810197219570594,57568.0,70,70
19.4375,94,22623.276577472687,19.4375,0.0,70.0,13.290625,13.014749461206897,70,0.22728464,6014720.0,1.3870600372280213,58496.0,70,70
17.875,95,22977.172453165054,19.4375,0.0,70.0,12.765625,12.90631734913793,70,0.22627363,6079680.0,1.4179203245863288,59424.0,70,70
19.125,96,23330.342853546143,19.4375,0.0,70.0,11.671875,13.043108258928571,70,0.2292482,6142400.0,1.3290437998331732,60320.0,70,70
17.875,97,23684.06351494789,19.4375,0.0,70.0,13.60625,13.287850215517242,70,0.23190513,6207360.0,1.868854512127683,61248.0,70,70
18.8125,98,24037.6498837471,19.4375,0.0,70.0,12.79375,12.981026785714286,70,0.22592519,6270080.0,1.564760864317612,62144.0,70,70
18.5,99,24391.015064239502,19.4375,0.0,70.0,13.2,12.97467672413793,70,0.22604987,6335040.0,1.5423196815187181,63072.0,70,70
18.1875,100,24747.194628953934,19.4375,0.0,70.0,13.1375,13.028111049107142,70,0.23045751,6397760.0,1.676305461424021,63968.0,70,70
18.1875,101,25101.51718878746,19.4375,0.0,70.0,13.003125,12.883081896551724,70,0.22540753,6462720.0,1.4638181826562342,64896.0,70,70
18.1875,102,25455.851749181747,19.4375,0.0,70.0,13.065625,13.01171875,70,0.22584176,6527680.0,1.553030681240715,65824.0,70,70
17.875,103,25808.66437959671,19.4375,0.0,70.0,12.6875,12.949986049107142,70,0.22593577,6590400.0,1.2046459542122738,66720.0,70,70
18.5,104,26164.78361916542,19.4375,0.0,70.0,13.45625,13.024178340517242,70,0.22852372,6655360.0,1.4934884708292862,67648.0,70,70
19.125,105,26517.33027267456,19.4375,0.0,70.0,13.596875,13.090890066964286,70,0.22677407,6718080.0,1.4098530231463844,68544.0,70,70
18.1875,106,26869.035902261734,19.4375,0.0,70.0,13.640625,13.095231681034482,70,0.22763216,6783040.0,1.855826445785004,69472.0,70,70
18.5,107,27225.108053445816,19.4375,0.0,70.0,13.7875,13.212960379464286,70,0.23169202,6845760.0,1.9368345631467858,70368.0,70,70
17.25,108,27576.51794719696,19.4375,0.0,70.0,12.534375,13.10735452586207,70,0.22797452,6910720.0,1.7870492220067695,71296.0,70,70
17.875,109,27925.94171190262,19.4375,0.0,70.0,13.553125,13.331290409482758,70,0.22935005,6975680.0,1.511062721026166,72224.0,70,70
18.5,110,28280.568803310394,19.4375,0.0,70.0,13.096875,12.953473772321429,70,0.2265987,7038400.0,2.22569116722761,73120.0,70,70
18.1875,111,28632.280368328094,19.4375,0.0,70.0,13.578125,13.055832435344827,70,0.22777028,7103360.0,2.004572409985481,74048.0,70,70
18.5,112,28987.126641988754,19.4375,0.0,70.0,13.50625,13.255161830357142,70,0.22898795,7166080.0,1.8843413139609286,74944.0,70,70
17.5625,113,29338.73832345009,19.4375,0.0,70.0,12.609375,13.253165409482758,70,0.22778139,7231040.0,2.162073205715986,75872.0,70,70
19.4375,114,29693.547991514206,19.4375,0.0,70.0,13.853125,13.413853236607142,70,0.23374783,7293760.0,1.3445891275311577,76768.0,70,70
18.1875,115,30043.776131391525,19.4375,0.0,70.0,12.15,12.991850754310345,70,0.22475971,7358720.0,1.8956570430855895,77696.0,70,70
17.5625,116,30398.08770298958,19.4375,0.0,70.0,13.075,13.346780711206897,70,0.22845031,7423680.0,1.26670093155409,78624.0,70,70
17.5625,117,30750.808952093124,19.4375,0.0,70.0,13.134375,13.172502790178571,70,0.22884244,7486400.0,1.5245740952393885,79520.0,70,70
17.5625,118,31103.278162002563,19.4375,0.0,70.0,13.0375,13.16594827586207,70,0.22814897,7551360.0,1.4186811657310463,80448.0,70,70
19.4375,119,31458.668647527695,19.4375,0.0,70.0,12.575,13.295968191964286,70,0.22865322,7614080.0,1.3206000056792366,81344.0,70,70
17.875,120,31805.868194580078,19.4375,0.0,70.0,13.021875,12.987473060344827,70,0.22361082,7679040.0,1.3509653666452741,82272.0,70,70
19.125,121,32159.72574710846,19.4375,0.0,70.0,13.565625,13.177734375,70,0.23146817,7741760.0,1.993296872489143,83168.0,70,70
18.5,122,32508.69598340988,19.4375,0.0,70.0,14.375,13.707435344827585,70,0.2334899,7806720.0,1.57433021472625,84096.0,70,70
17.875,123,32860.54028868675,19.4375,0.0,70.0,12.34375,13.212419181034482,70,0.22532584,7871680.0,1.5254994059323654,85024.0,70,70
17.25,124,33210.4830198288,19.4375,0.0,70.0,12.778125,12.954171316964286,70,0.22505914,7934400.0,1.6645986518902987,85920.0,70,70
17.25,125,33561.156015872955,19.4375,0.0,70.0,13.253125,12.842672413793103,70,0.22367327,7999360.0,1.432256060163475,86848.0,70,70
17.875,126,33913.721266031265,19.4375,0.0,70.0,12.98125,12.785714285714286,70,0.22166201,8062080.0,1.3850626114006543,87744.0,70,70
18.1875,127,34266.77058625221,19.4375,0.0,70.0,11.975,12.918103448275861,70,0.22291544,8127040.0,1.5157248678437654,88672.0,70,70
17.875,128,34621.33369088173,19.4375,0.0,70.0,13.24375,13.303292410714286,70,0.22951351,8189760.0,1.6288296219985687,89568.0,70,70
18.1875,129,34970.57834029198,19.4375,0.0,70.0,13.8375,13.29694234913793,70,0.22821628,8254720.0,1.2806248474865698,90496.0,70,70
17.875,130,35321.55381846428,19.4375,0.0,70.0,11.98125,13.112068965517242,70,0.2252,8319680.0,1.5768218629572586,91424.0,70,70
17.875,131,35674.34947538376,19.4375,0.0,70.0,12.575,12.902204241071429,70,0.22330771,8382400.0,1.2421000362289667,92320.0,70,70
