value_loss,clipfrac,serial_timesteps,curbestrew,explained_variance,time_elapsed,nupdates,policy_loss,epbestrew,eprewmean,policy_entropy,approxkl,eplenmean,epbestlen,fps,total_timesteps,curbestlen
10.1596985,0.017735481,124928,-287.0,0.44814640283584595,15003.485272169113,61,-0.0002585026,-259.0,-290.36,1.814859,0.0013513984,3000.0,3000,1063,15990784,3000
10.094954,0.0132761,126976,-287.0,0.45338189601898193,15246.525625705719,62,-0.0003536521,-259.0,-290.54,1.7841612,0.0012169004,3000.0,3000,1078,16252928,3000
10.348029,0.016510963,129024,-289.0,0.38532644510269165,15490.906937122345,63,-0.00021002378,-259.0,-290.66,1.7708657,0.0012692674,3000.0,3000,1072,16515072,3000
9.95753,0.012583733,131072,-289.0,0.5035361051559448,15736.617306470871,64,-0.00029663052,-259.0,-290.98,1.7336009,0.0012722287,3000.0,3000,1066,16777216,3000
9.638481,0.016692162,133120,-287.0,0.4909988045692444,15976.440306186676,65,-0.000107570435,-259.0,-290.82,1.7157581,0.0008298052,3000.0,3000,1093,17039360,3000
9.726655,0.029949188,135168,-287.0,0.4866333603858948,16219.584815740585,66,-0.00020337426,-259.0,-290.72,1.7149004,0.0012038077,3000.0,3000,1078,17301504,3000
9.876224,0.06170273,137216,-287.0,0.48577880859375,16467.281007766724,67,-9.074263e-05,-259.0,-290.98,1.7224509,0.00136323,3000.0,3000,1058,17563648,3000
9.264848,0.05148983,139264,-289.0,0.5084708034992218,16709.77833008766,68,-0.00026860018,-259.0,-290.98,1.6867621,0.0013098576,3000.0,3000,1081,17825792,3000
9.117343,0.0272398,141312,-289.0,0.5269935131072998,16957.786827087402,69,-6.824654e-05,-259.0,-290.98,1.6815152,0.0008165832,3000.0,3000,1057,18087936,3000
9.19324,0.013207436,143360,-289.0,0.5239828824996948,17202.50527572632,70,-8.4093976e-05,-259.0,-291.06,1.6728066,0.0009207887,3000.0,3000,1071,18350080,3000
9.48507,0.06909275,145408,-289.0,0.5393645763397217,17451.26269841194,71,0.0005080894,-259.0,-290.94,1.6722059,0.0013871376,3000.0,3000,1053,18612224,3000
8.337776,0.017062187,147456,-289.0,0.5523188710212708,17695.55097413063,72,-0.00018404357,-259.0,-291.14,1.6560209,0.00077003596,3000.0,3000,1073,18874368,3000
8.319182,0.03730774,149504,-289.0,0.5668190121650696,17938.515902996063,73,-0.00012220992,-259.0,-291.24,1.6428555,0.0011705034,3000.0,3000,1078,19136512,3000
8.76408,0.027926445,151552,-287.0,0.5303991436958313,18181.973921060562,74,0.00021416499,-259.0,-291.1,1.6667514,0.00097172457,3000.0,3000,1076,19398656,3000
8.486863,0.03299713,153600,-289.0,0.6010541319847107,18432.70823264122,75,-0.00012784451,-259.0,-291.04,1.674114,0.0013448724,3000.0,3000,1045,19660800,3000
8.23953,0.011745453,155648,-289.0,0.6099710464477539,18675.694147109985,76,-6.453499e-05,-259.0,-291.0,1.6690084,0.0007303294,3000.0,3000,1078,19922944,3000
8.375796,0.0490551,157696,-289.0,0.6084822118282318,18917.668226242065,77,0.0003404584,-259.0,-290.62,1.686131,0.0011312149,3000.0,3000,1083,20185088,3000
8.288459,0.068650246,159744,-289.0,0.6076479554176331,19159.103613853455,78,0.0004990521,-259.0,-291.04,1.6920394,0.0014138373,3000.0,3000,1085,20447232,3000
7.712248,0.040519714,161792,-289.0,0.6303753554821014,19400.61166882515,79,0.00015424239,-259.0,-290.92,1.6689994,0.0011430534,3000.0,3000,1085,20709376,3000
7.337135,0.011211395,163840,-289.0,0.6353179812431335,19644.629158258438,80,-0.00017802506,-259.0,-290.88,1.6678256,0.0005758216,3000.0,3000,1074,20971520,3000
7.6670876,0.03487587,165888,-287.0,0.6298692226409912,19889.008448123932,81,0.00015778231,-259.0,-290.92,1.6806445,0.00088854146,3000.0,3000,1072,21233664,3000
7.5685267,0.08388901,167936,-287.0,0.6558655202388763,20130.500166893005,82,0.0005739,-259.0,-290.86,1.6809689,0.0017469452,3000.0,3000,1085,21495808,3000
7.2976813,0.042776108,169984,-287.0,0.6782979965209961,20371.810704946518,83,0.0002053606,-259.0,-290.7,1.6796848,0.0010731337,3000.0,3000,1086,21757952,3000
7.0107546,0.033608437,172032,-289.0,0.6828707158565521,20617.845263957977,84,-0.0002280686,-259.0,-290.86,1.6414487,0.0017303717,3000.0,3000,1065,22020096,3000
7.406034,0.037433624,174080,-287.0,0.6589942276477814,20863.019706487656,85,-0.0002019805,-259.0,-290.74,1.6307051,0.000961713,3000.0,3000,1069,22282240,3000
7.023444,0.056168556,176128,-289.0,0.6895873844623566,21111.0592751503,86,0.00013771569,-259.0,-290.96,1.6090869,0.0012346484,3000.0,3000,1056,22544384,3000
6.827039,0.046360016,178176,-289.0,0.6849696636199951,21354.946867465973,87,0.00026173025,-259.0,-291.04,1.6236701,0.0010770858,3000.0,3000,1074,22806528,3000
6.8814583,0.023978233,180224,-289.0,0.6900054216384888,21598.59911298752,88,3.6325877e-05,-259.0,-291.04,1.6227983,0.0009977806,3000.0,3000,1075,23068672,3000
7.3463273,0.036483765,182272,-287.0,0.663849264383316,21844.576202869415,89,-0.00016458391,-259.0,-290.88,1.6673617,0.0011201862,3000.0,3000,1065,23330816,3000
6.493675,0.037234306,184320,-289.0,0.7266269326210022,22094.08705353737,90,7.031837e-05,-259.0,-291.06,1.6323988,0.0012249958,3000.0,3000,1050,23592960,3000
6.5819626,0.030142784,186368,-289.0,0.7058015763759613,22337.74746441841,91,-4.984858e-05,-259.0,-291.04,1.6464316,0.001373086,3000.0,3000,1075,23855104,3000
6.8661613,0.042512894,188416,-289.0,0.6986604630947113,22582.06669831276,92,0.00028403162,-259.0,-291.16,1.6705194,0.0011712709,3000.0,3000,1072,24117248,3000
6.590379,0.06845188,190464,-287.0,0.6966867446899414,22828.961313724518,93,0.0005839386,-259.0,-291.2,1.6476617,0.0016460308,3000.0,3000,1061,24379392,3000
6.2921543,0.03434086,192512,-289.0,0.7044406831264496,23076.789165496826,94,6.2584804e-05,-259.0,-291.34,1.6300797,0.0011098848,3000.0,3000,1057,24641536,3000
6.1553006,0.061146736,194560,-289.0,0.7178589105606079,23320.08772420883,95,0.0005041006,-259.0,-291.5,1.6477946,0.0013124613,3000.0,3000,1077,24903680,3000
