n_updates,eplen,best_ext_ret,eprew,eprew_recent,recent_best_ext_ret,total_secs,tps,epcount,tcount,,,,
86,1000,-126,-155.6,-154.28125,-134,39548.17008,553.0779561,21888,21888000,,,,
87,1000,-126,-154.92,-154.171875,-126,40008.78325,555.7808971,22144,22144000,,,,
88,1000,-126,-156.88,-154.984375,-126,40461.37069,565.6365568,22400,22400000,,,,
89,1000,-126,-155.36,-155.125,-142,40917.86139,560.8000397,22656,22656000,,,,
90,1000,-118,-154.12,-155.21875,-118,41370.8654,565.1163991,22912,22912000,,,,
91,1000,-118,-156.08,-155.8125,-134,41823.00889,566.1919449,23168,23168000,,,,
92,1000,-118,-154.44,-154.203125,-134,42273.67406,568.0492208,23424,23424000,,,,
93,1000,-118,-154.12,-154.6875,-134,42734.2771,555.793118,23680,23680000,,,,
94,1000,-118,-153.48,-153.578125,-126,43192.31625,558.9041909,23936,23936000,,,,
95,1000,-118,-152.72,-153.3125,-126,43643.27632,567.6777527,24192,24192000,,,,
96,1000,-118,-153.52,-153.546875,-134,44099.90184,560.6344663,24448,24448000,,,,
97,1000,-118,-151.72,-152.59375,-118,44556.25913,560.9639736,24704,24704000,,,,
98,1000,-118,-153.28,-153.0625,-134,45013.60248,559.7545049,24960,24960000,,,,
99,1000,-118,-153.2,-153.59375,-134,45469.18393,561.9192766,25216,25216000,,,,
100,1000,-118,-153.08,-152.421875,-134,45906.20426,585.7850989,25472,25472000,,,,
101,1000,-78,-151.92,-150.9375,-78,46366.05563,556.701615,25728,25728000,,,,
102,1000,-78,-151.64,-151.296875,-118,46827.06608,555.301945,25984,25984000,,,,
103,1000,-78,-150.76,-150.953125,-118,47285.12059,558.8854565,26240,26240000,,,,
104,1000,-78,-150.04,-150.6875,-118,47739.62783,563.2473471,26496,26496000,,,,
105,1000,-62,-147.64,-149.484375,-62,48204.44667,550.7522086,26752,26752000,,,,
106,1000,-62,-149.68,-149.65625,-126,48667.37498,553.0013873,27008,27008000,,,,
107,1000,-62,-148.44,-149.40625,-110,49129.70154,553.7211582,27264,27264000,,,,
108,1000,-62,-147.56,-148.109375,-102,49593.4125,552.0680409,27520,27520000,,,,
109,1000,-62,-149.18,-148.7890625,-126,50050.47761,560.0952644,27776,27776000,,,,
110,1000,-38,-147.6,-147.734375,-38,50502.28928,566.6077601,28032,28032000,,,,
111,1000,-38,-148.16,-147.703125,-118,50958.85127,560.7124669,28288,28288000,,,,
112,1000,-22,-149.88,-147.703125,-22,51417.71724,557.8971133,28544,28544000,,,,
113,1000,-22,-146.76,-147.859375,-118,51881.5179,551.9612653,28800,28800000,,,,
114,1000,294.6,-147.96,-146.9159533,294.6,52336.79224,562.2983319,29057,29056857,,,,
115,1000,294.6,-148.32,-148.046875,-62,52794.25909,559.6033875,29313,29312857,,,,
116,1000,294.6,-149,-148.4375,-102,53252.72668,558.3818903,29569,29568857,,,,
117,1000,294.6,-147.56,-148.421875,-94,53709.5478,560.394407,29825,29824857,,,,
118,1000,294.6,-146.92,-147.640625,-94,54167.30317,559.2506695,30081,30080857,,,,
119,1000,294.6,-146.64,-147.015625,-86,54617.34885,568.8311474,30337,30336857,,,,
120,1000,294.6,-146.48,-146.28125,-70,55074.04723,560.5450138,30593,30592857,,,,
121,1000,294.6,-143.44,-144.015625,-30,55531.02384,560.2037333,30849,30848857,,,,
122,1000,294.6,-144.32,-142.9140078,267.1,55983.34188,565.9734472,31106,31105852,,,,
123,1000,294.6,-142.84,-142.9375,-78,56438.66218,562.2415606,31362,31361852,,,,
124,1000,294.6,-140.92,-142.34375,-22,56894.42303,561.6981,31618,31617852,,,,
125,1000,294.6,-142.64,-142.984375,-70,57347.392,565.1601294,31874,31873852,,,,
126,997.8,310.15,-138.1585,-140.5208171,310.15,57810.1508,553.2039488,32131,32130632,,,,
127,1000,310.15,-141.52,-141.484375,10,58265.85483,561.7681362,32387,32386632,,,,
128,1000,310.15,-140.4,-141.0625,10,58724.24489,558.4763306,32643,32642632,,,,
129,1000,310.15,-140.2,-138.65625,-22,59186.0652,554.3281572,32899,32898632,,,,
130,994.85,336.25,-130.2895,-136.9804264,336.25,59644.48708,558.4375653,33157,33156117,,,,
131,1000,336.25,-138.32,-139.5,-22,60098.05806,564.4100016,33413,33412117,,,,
132,1000,336.25,-140.56,-139.734375,-22,60561.17175,552.7800413,33669,33668117,,,,
133,1000,336.25,-139.8,-139.4375,-22,61024.20993,552.870176,33925,33924117,,,,
134,1000,336.25,-140.12,-140.015625,-62,61478.11429,563.9954545,34181,34180117,,,,
135,1000,336.25,-140.44,-139.140625,-22,61931.5449,564.5847411,34437,34436117,,,,
136,1000,336.25,-138.68,-138.1875,-78,62390.53413,557.7472835,34693,34692117,,,,
137,1000,336.25,-138.16,-136.4737354,274.25,62837.58305,572.644275,34950,34949076,,,,
138,1000,336.25,-138,-139.0625,-54,63285.13243,572.0039171,35206,35205076,,,,
139,1000,336.25,-137,-136.5,-22,63748.92679,551.9687626,35462,35461076,,,,
140,1000,336.25,-137.32,-136.8125,-22,64212.10276,552.7057024,35718,35717076,,,,
141,1000,336.25,-137.36,-136.3891051,296,64674.56807,553.5550367,35975,35973926,,,,
142,999.31,336.25,-131.3005,-135.0974708,279.95,65144.56712,544.6819505,36232,36230857,,,,
143,998.58,336.25,-132.595,-133.9357977,294.5,65597.96867,564.620916,36489,36487715,,,,
144,1000,336.25,-136,-132.7529183,282.5,66058.21207,556.2274181,36746,36744633,,,,
145,997.86,336.25,-124.371,-129.7718147,305.05,66513.36824,562.4443184,37005,37003298,,,,
146,1000,336.25,-135.48,-134.25,-22,66970.14206,560.4524423,37261,37259298,,,,
147,998.63,336.25,-130.566,-130.5914729,310,67424.61744,563.2868342,37519,37516941,,,,
148,1000,336.25,-134.92,-136.578125,-22,67877.86821,564.8087421,37775,37772941,,,,
149,1000,336.25,-134.92,-134.859375,-22,68336.11226,558.6542862,38031,38028941,,,,
150,1000,336.25,-137.28,-136.453125,-54,68797.72098,554.5822412,38287,38284941,,,,
151,997.21,336.25,-119.3585,-128.2233591,297.9,69259.8041,554.0128868,38546,38543662,,,,
152,998,336.25,-127.119,-127.8827519,306.1,69729.35411,545.202837,38804,38801272,,,,
153,1000,336.25,-124.24,-123.0915058,320.5,70189.05451,556.8844391,39063,39059667,,,,
154,989.33,338.2,-104.143,-115.1319923,338.2,70645.61892,560.7095005,39324,39319206,,,,
155,995.81,341.35,-116.32,-119.6511583,341.35,71102.8784,559.8571714,39583,39577266,,,,
156,997.91,341.35,-126.941,-125.399031,307.9,71565.44559,553.4331072,39841,39834932,,,,
157,998.75,341.35,-117.109,-122.0065637,283.2,72026.91656,554.7477919,40100,40093721,,,,
158,1000,341.35,-129.76,-121.3680769,302.35,72489.47414,553.4446157,40360,40353142,,,,
159,996.04,341.35,-115.726,-123.7596154,304.65,72947.9162,558.4129877,40620,40612711,,,,
160,992.65,341.35,-106.9265,-116.0435115,316.15,73408.07668,556.3276525,40882,40873631,,,,
161,992.33,342.6,-116.144,-114.8192015,342.6,73861.44316,564.6645935,41145,41135391,,,,
162,988.95,346.3,-107.628,-109.7790875,346.3,74316.02872,563.1503064,41408,41396224,,,,
163,996.92,346.3,-117.183,-117.4348837,329.3,74773.51444,559.5803128,41666,41652896,,,,
164,993.26,346.3,-102.768,-111.9675,321.9,75230.37026,560.351845,41926,41911757,,,,
165,996.74,346.3,-106.024,-107.0903042,303.55,75691.9172,554.6564709,42189,42173856,,,,
166,994.55,346.3,-110.267,-104.5017176,330.45,76156.83817,550.6312243,42451,42434298,,,,
167,997.04,346.3,-102.1655,-102.9526718,332.95,76618.3907,554.6497542,42713,42694891,,,,
168,981.18,346.3,-83.3085,-96.9026616,333.15,77071.41454,565.0916774,42976,42954774,,,,
169,991.3,346.3,-78.3325,-91.92383721,330,77528.15315,560.4956404,43234,43210204,,,,
170,991.99,360.8,-85.431,-90.42769231,360.8,77983.68226,561.9838443,43494,43467287,,,,
171,989.06,360.8,-77.6825,-84.30785441,337.6,78444.59112,555.4243417,43755,43725268,,,,
172,989.15,360.8,-90.7065,-81.55681818,344,78905.40478,555.5390815,44019,43984671,,,,
173,990.7,360.8,-93.4545,-80.95888031,321.75,79370.08462,550.9169583,44278,44240574,,,,
174,985.8,360.8,-83.034,-69.82170543,343.8,79840.3745,544.3451142,44536,44493675,,,,
175,981.6,360.8,-58.4295,-62.10155039,331.6,80292.46225,566.2617475,44794,44747059,,,,
176,987.61,360.8,-57.469,-37.36042471,350.5,80745.60733,564.9404874,45053,44999230,,,,
177,973.73,360.8,-15.805,-20.8994186,354.6,81198.73063,564.9676311,45311,45250434,,,,
178,962.71,360.8,-6.9195,-7.639738806,349.3,81649.2154,568.2766991,45579,45507682,,,,
179,961.16,360.8,15.193,-2.841762452,339.75,82101.36946,566.178709,45840,45760087,,,,
180,973.66,360.8,-35.8365,-23.44526515,331.45,82554.62075,564.8081012,46104,46016498,,,,
181,971.15,360.8,-30.0525,-14.56954887,342.5,83008.70925,563.7667565,46370,46273539,,,,
182,969.09,360.8,-29.837,-23.47283019,341.25,83473.69069,550.5596017,46635,46530195,,,,
183,967.93,360.8,-32.173,-21.71724138,343.6,83923.99227,568.5078969,46896,46783592,,,,
184,955.3,360.8,-2.1535,-15.38539326,358.85,84373.56712,569.4268625,47163,47040450,,,,
185,976.09,360.8,-48.4445,-35.17548263,347.1,84825.4244,566.5505731,47422,47291511,,,,
186,969.56,360.8,-13.495,-21.06851852,350.15,85277.84302,565.8476266,47692,47552480,,,,
187,984.02,360.8,-74.473,-41.61494253,352.9,85737.43799,557.0121881,47953,47806419,,,,
188,974.02,360.8,-46.108,-26.38935361,343.5,86189.34555,566.4875289,48216,48061355,,,,
189,948.64,360.8,-2.665,-18.0637037,352.7,86640.85917,566.9817969,48486,48320472,,,,
190,961.69,361.35,4.289,-15.78143939,361.35,87098.86103,558.9496952,48750,48575012,,,,
191,970.29,361.35,-27.7995,-25.80902256,341.85,87556.74881,559.0889538,49016,48832802,,,,
192,979.29,361.35,-52.0195,-25.85151515,356.7,88009.20879,565.7958976,49280,49089982,,,,
193,974.43,361.35,-39.345,-17.77916667,353.75,88461.33318,566.2158565,49544,49343141,,,,
194,956.54,361.35,-17.764,-18.09795539,348.9,88920.30503,557.7684091,49813,49602366,,,,
195,970.25,361.35,-40.6305,-42.71597744,344.9,89377.41765,560.0370501,50079,49860922,,,,
196,978.51,361.35,-42.884,-30.20881226,335.65,89832.08023,563.0549092,50340,50114456,,,,
197,969.98,361.75,-38.0995,-26.36022727,361.75,90300.28443,546.7699743,50604,50369239,,,,
198,949.92,361.75,-16.559,-31.78773585,360.8,90766.17132,549.4895952,50869,50625775,,,,
199,976.8,361.75,-37.423,-36.30814394,341.75,91213.33613,572.4958567,51133,50882544,,,,
200,972.18,361.75,-29.8185,-29.85665399,343,91663.68454,568.448781,51396,51136919,,,,
201,974.89,361.75,-24.317,-33.2590566,343.9,92126.33644,553.3317796,51661,51394600,,,,
202,970.36,361.75,-27.7305,-11.49581749,338.15,92583.55146,559.9116066,51924,51649080,,,,
203,952.53,361.75,-0.6065,-20.10166667,346.05,93037.48306,563.9616271,52194,51908744,,,,
204,958.08,361.75,-6.551,-5.847556391,358.75,93494.08368,560.6650258,52460,52163435,,,,
205,955.25,361.75,-12.3495,-5.434774436,338.75,93947.66966,564.3913386,52726,52418272,,,,
206,960.65,361.75,-13.9465,-9.80130597,353.8,94403.20289,561.9787655,52994,52675237,,,,
207,959.18,361.75,-5.9385,-0.70462963,358.9,94869.27541,549.2707362,53264,52934579,,,,
208,962.51,361.75,-13.002,6.476277372,347.9,95335.42945,549.1746943,53538,53195437,,,,
209,932.14,361.75,36.445,18.03180147,351.6,95797.84421,553.6155442,53810,53452272,,,,
210,946.72,361.75,15.762,20.7387037,353.4,96260.12644,553.7742625,54080,53706729,,,,
211,939.19,361.75,13.474,38.46324627,351.5,96723.99422,551.8813953,54348,53957309,,,,
212,963.95,361.75,-2.1695,-2.963533835,351.95,97187.58618,552.2097567,54614,54211751,,,,
213,955.93,361.75,-5.0055,21.70597826,355.2,97642.40088,562.8665853,54890,54473674,,,,
214,936.54,361.75,35.7615,42.27929104,359.6,98090.64992,571.1111035,55158,54724138,,,,
215,934.51,367.05,48.7615,46.60454545,367.05,98536.37393,574.34644,55433,54982236,,,,
216,927.9,367.05,42.1285,39.50645756,350.55,98998.61275,553.8262649,55704,55233792,,,,
217,933.86,367.05,50.659,58.08489209,363.05,99466.10295,547.605059,55982,55491030,,,,
218,921.02,367.05,61.1065,58.04782609,352.6,99925.96153,556.6928901,56258,55746665,,,,
219,925.64,367.05,56.3595,87.72992832,354.9,100389.7227,552.0082279,56537,56002309,,,,
220,915.04,367.05,74.628,63.06073944,361.2,100845.5738,561.5869706,56821,56264551,,,,
221,925.46,367.05,83.263,56.84065934,348.65,101306.7731,555.0745749,57094,56520297,,,,
222,912.44,367.05,79.0295,66.75531136,361.45,101771.3355,551.0561396,57367,56771453,,,,
223,932.07,367.05,52.297,60.57906137,353.95,102225.8836,563.1967804,57644,57029526,,,,
224,943.03,367.05,35.259,40.43247232,347.5,102682.0358,561.2161824,57915,57284026,,,,
225,927.79,367.05,69.397,84.80035336,357.55,103144.5592,553.4855103,58198,57542726,,,,
226,938.37,368.55,37.8415,43.665625,368.55,103620.052,538.3887985,58470,57797445,,,,
227,942.98,368.55,38.83,53.72678571,361.2,104070.4571,568.3771688,58750,58056826,,,,
228,927.98,368.55,46.596,61.69815498,359.65,104525.0564,563.1332961,59021,58306255,,,,
229,930.41,370.45,45.23,53.22155477,370.45,104973.7939,570.4894633,59304,58567640,,,,
230,918.87,370.45,90.8265,71.91068841,363.55,105422.1928,570.920213,59580,58821354,,,,
231,906.76,370.45,88.0055,97.63594306,360.2,105874.3511,566.1734296,59861,59077065,,,,
232,917.78,370.45,71.638,78.54336918,363.3,106333.1448,557.9849405,60140,59332734,,,,
233,924.77,370.45,50.95,62.48314815,351.05,106784.9635,566.5989958,60410,59581897,,,,
234,932.72,370.45,56.208,44.70685921,354.45,107237.7453,565.3937334,60687,59838988,,,,
235,919.21,370.45,76.8755,64.99732143,363.8,107695.9092,558.7520406,60967,60096840,,,,
236,942.27,370.45,29.3275,51.18439716,346.2,108160.4723,551.0553068,61249,60359407,,,,
237,926.9,370.45,28.1235,29.9099631,347.7,108624.486,551.7078664,61520,60612723,,,,
238,929.14,370.45,43.0805,60.07168459,360.35,109087.7051,552.6543098,61799,60869885,,,,
239,918.89,370.45,67.931,60.71195652,363.5,109557.921,544.4307144,62075,61124366,,,,
240,927.29,370.45,55.015,43.17100372,360.75,110022.6756,550.8283612,62344,61374633,,,,
241,930.56,370.45,38.087,47.84608541,354.7,110481.1787,558.3386553,62625,61636185,,,,
242,921.11,370.45,63.736,62.60945455,366.5,110928.1914,572.6906242,62900,61891371,,,,
243,941.72,370.45,12.5745,23.65923913,356.65,111383.2981,562.5054229,63176,62150245,,,,
244,947.53,370.45,14.2,38.61654412,352,111835.9132,565.6020606,63448,62404386,,,,
245,915.3,370.45,65.4135,54.8192029,358.35,112287.7069,566.630244,63724,62658220,,,,
246,916.39,370.45,77.6325,48.30107527,357.75,112732.0421,576.1415963,64003,62917810,,,,
247,922.38,370.45,52.232,57.38090909,355.4,113184.5631,565.7196736,64278,63171604,,,,
248,934.81,370.45,23.978,42.99017857,364.45,113637.579,565.101492,64558,63431114,,,,
249,916.82,370.45,73.3465,49.04655797,362.1,114088.2961,567.9838718,64834,63687165,,,,
250,915.11,370.45,57.214,43.61366906,350.25,114542.3149,563.8532227,65112,63945043,,,,
251,947.32,370.45,8.5215,23.11952555,363.3,115003.4331,555.1722461,65386,64202908,,,,
252,922.41,370.45,62.1,52.91672794,365.85,115465.8366,553.6289634,65658,64455055,,,,
253,923.87,370.45,50.4985,53.13579137,363.35,115927.5436,554.4642901,65936,64711880,,,,
254,926.27,370.45,53.694,73.76290909,366.1,116390.4764,552.9959957,66211,64964799,,,,
255,918.67,370.45,61.376,73.46534296,358.35,116842.4094,566.4555873,66488,65217560,,,,
256,889.48,370.45,107.42,68.55212766,365.75,117307.3041,550.6623638,66770,65476756,,,,
257,932.16,370.45,84.1295,75.66927273,369.8,117760.9035,564.3746029,67045,65730131,,,,
258,910.55,370.45,88.247,55.09825175,361.5,118220.7603,556.6951024,67331,65994322,,,,
259,922.11,370.45,62.0875,59.23814815,359.05,118679.5862,557.9457632,67601,66243577,,,,
260,933.87,370.45,9.729,45.23691756,355.9,119136.7284,560.0008725,67880,66501857,,,,
261,927.33,370.45,50.285,50.35350554,355.5,119592.7329,561.397987,68151,66754039,,,,
262,917.35,370.45,59.72,62.37616487,364.2,120049.138,560.9051435,68430,67012115,,,,
263,932.93,370.45,39.401,48.99548736,358.45,120514.0722,550.6156093,68707,67270366,,,,
264,921.09,370.45,57.772,45.54548736,350.3,120976.5285,553.5658354,68984,67527392,,,,
265,937.8,370.45,42.825,65.98218182,349.8,121432.2443,561.7535769,69259,67780452,,,,
266,901.72,370.45,107.778,80.22882562,365.85,121889.8583,559.423498,69540,68036694,,,,
267,914.49,370.45,68.453,60.7073741,351.25,122345.3054,562.0850502,69818,68293453,,,,
268,909.58,370.45,80.043,62.10753676,364.6,122793.5867,571.0699347,70090,68543291,,,,
269,907.99,370.45,66.6085,71.05265018,356.6,123247.6641,563.780484,70373,68800894,,,,
270,919.18,370.45,57.3135,64.04731183,358.65,123705.346,559.340507,70652,69058504,,,,
271,909.39,370.45,64.2135,71.14532374,361.2,124169.1593,551.9462761,70930,69312428,,,,
272,903.42,370.45,89.314,73.16835664,356.3,124630.3169,555.1246693,71216,69573908,,,,
273,921.72,370.45,39.2015,53.85361011,361.9,125088.811,558.3496214,71493,69827351,,,,
274,928.62,370.45,49.441,55.68537906,348,125545.1441,560.9937144,71770,70084287,,,,
275,947.44,370.45,28.667,50.4790146,350.55,126001.2054,561.3280788,72044,70340035,,,,
276,944.88,370.45,7.8065,47.13351449,353.35,126460.2111,557.7272902,72320,70595270,,,,
277,936.04,370.45,28.296,52.48394161,356.3,126914.8857,563.0399681,72594,70849048,,,,
278,944.88,370.45,49.176,38.41397849,351.75,127375.0661,556.3036381,72873,71110372,,,,
279,946.68,370.45,32.574,37.15594796,354.55,127832.5395,559.5953045,73142,71362486,,,,
280,928.35,370.45,70.8065,70.43489209,355,128278.8241,573.6249776,73420,71620367,,,,
281,921.56,370.45,68.2005,62.43054545,351.9,128725.0886,573.6508344,73695,71874820,,,,
282,936.1,370.45,44.166,46.65573477,351.3,129178.1478,565.0475996,73974,72134704,,,,
283,908.33,370.45,92.173,55.68894928,361.7,129632.0579,563.9883124,74250,72389897,,,,
284,924.98,370.45,47.868,47.88872727,347.7,130080.0925,571.3845355,74525,72645020,,,,
285,925.47,370.45,66.414,65.95625,344.35,130540.3944,556.1566675,74797,72895743,,,,
286,937.54,370.45,30.277,57.34946043,354.2,131003.352,552.9663852,75075,73154147,,,,
287,931.26,370.45,49.4945,53.87761733,353,131467.931,551.0365205,75352,73410251,,,,
288,930.42,370.45,60.184,73.01542553,362.8,131928.1363,556.2735046,75634,73669194,,,,
289,920.88,370.45,67.9755,70.91938406,344.3,132366.0902,584.5364547,75910,73923951,,,,
290,935.4,370.45,32.6615,58.1046595,349.35,132820.8659,562.9148306,76189,74181478,,,,
291,924.78,370.45,39.712,40.20253623,362.5,133268.2604,572.2018689,76465,74437439,,,,
292,918.43,370.45,61.065,47.79981949,363.8,133722.92,563.0586558,76742,74693265,,,,
293,943.9,370.45,24.2045,41.51654275,352.5,134175.1938,566.0287767,77011,74944670,,,,
294,925.78,370.45,48.155,45.50375,356.85,134634.3106,557.5922995,77291,75203105,,,,
295,912.5,370.45,80.2495,75.31855124,355.55,135084.8252,568.2391484,77574,75462322,,,,
296,926.37,370.45,40.035,61.83896797,357.4,135530.6311,574.2409484,77855,75720626,,,,
297,941.71,370.45,10.003,26.50092593,351.8,135981.3258,568.012001,78125,75972025,,,,
298,933.21,370.45,41.061,43.14089286,363.8,136433.5309,566.1147468,78405,76231585,,,,
