epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-98.0,0.0006625936,251904,15534.925828933716,2049,6.111819,1500,0.6482684016227722,1.6838721,1500.0,1500,-140.0,-141.52,0.0023465974,123,32243712,0.13045025
-98.0,0.005237366,253952,15662.841427564621,2049,6.803101,1500,0.5688225626945496,1.6797957,1500.0,1500,-140.0,-141.62,0.00489765,124,32505856,0.24506569
-98.0,1.3372482e-07,256000,15791.016705989838,2045,5.8095794,1500,0.6491212546825409,1.659718,1500.0,1500,-140.0,-141.42,0.0020210266,125,32768000,0.11065674
-98.0,-2.3207736e-05,258048,15919.681428194046,2037,6.2275414,1500,0.5800551474094391,1.6434165,1500.0,1500,-140.0,-141.54,0.001903658,126,33030144,0.09508419
-98.0,0.0016118771,260096,16046.051729679108,2074,6.3094144,1500,0.5506749451160431,1.6513721,1500.0,1500,-140.0,-141.4,0.0024859284,127,33292288,0.14428997
-98.0,0.0011466154,262144,16169.88296532631,2117,6.6172256,1500,0.5728752017021179,1.6397557,1500.0,1500,-140.0,-141.4,0.0025005452,128,33554432,0.13181591
-98.0,1.2181061e-05,264192,16292.338956356049,2140,5.8670235,1500,0.6030170619487762,1.6422021,1500.0,1500,-140.0,-141.52,0.0021356056,129,33816576,0.12065983
-98.0,0.0011237799,266240,16415.75812101364,2124,5.931624,1500,0.6595860123634338,1.6467502,1500.0,1500,-140.0,-141.56,0.0026316363,130,34078720,0.14994049
-98.0,0.0012977399,268288,16542.009244203568,2078,6.102638,1500,0.6338529288768768,1.6360155,1500.0,1500,-140.0,-141.52,0.0026716886,131,34340864,0.14515305
-98.0,0.0031829895,270336,16671.845065116882,2019,5.8177657,1500,0.7061319053173065,1.6484865,1500.0,1500,-140.0,-141.44,0.004014369,132,34603008,0.21543217
-98.0,0.0013054383,272384,16795.253004550934,2124,6.078602,1500,0.643324613571167,1.6628661,1500.0,1500,-140.0,-141.42,0.0026967255,133,34865152,0.14210701
-98.0,0.0026210519,274432,16918.623762130737,2124,5.903559,1500,0.6726535558700562,1.6699407,1500.0,1500,-140.0,-141.44,0.0037684161,134,35127296,0.20322609
-98.0,0.0042682104,276480,17044.10974240303,2089,6.674227,1500,0.5708562135696411,1.6714123,1500.0,1500,-140.0,-141.6,0.0050182994,135,35389440,0.24320602
-98.0,0.0009093444,278528,17168.855244636536,2101,6.1727777,1500,0.5632340013980865,1.6910546,1500.0,1500,-140.0,-141.18,0.0025680505,136,35651584,0.14915562
-98.0,0.0034393745,280576,17294.249601125717,2090,5.982572,1500,0.6769909858703613,1.65009,1500.0,1500,-140.0,-141.48,0.004589982,137,35913728,0.24437141
-98.0,0.006082584,282624,17420.850101947784,2070,6.4810295,1500,0.5304259657859802,1.703665,1500.0,1500,-134.0,-141.32,0.006393725,138,36175872,0.28604126
-98.0,5.952358e-05,284672,17546.100763082504,2093,6.1072774,1500,0.6268591284751892,1.6419913,1500.0,1500,-140.0,-141.26,0.0022061323,139,36438016,0.11341858
-98.0,0.0014622613,286720,17672.32116127014,2076,6.224191,1500,0.5350101292133331,1.6877657,1500.0,1500,-136.0,-141.04,0.0029023238,140,36700160,0.16938591
-98.0,0.0029000924,288768,17798.54611682892,2078,6.201017,1500,0.6688205599784851,1.6361374,1500.0,1500,-134.0,-140.62,0.004214286,141,36962304,0.23661232
-98.0,0.0041325893,290816,17925.222352981567,2069,5.1744356,1500,0.7169414162635803,1.6151891,1500.0,1500,-134.0,-140.26,0.0075968965,142,37224448,0.25129223
-98.0,0.0087137995,292864,18051.694249391556,2072,5.24686,1500,0.7592789232730865,1.5819978,1500.0,1500,-134.0,-139.56,0.012527907,143,37486592,0.35005856
-98.0,0.004345151,294912,18178.019462823868,2075,5.5664763,1500,0.7472257316112518,1.5552537,1500.0,1500,-130.0,-138.14,0.00569946,144,37748736,0.26486874
-98.0,0.0022529683,296960,18306.223058223724,2044,5.063849,1500,0.6907978057861328,1.6030908,1500.0,1500,-126.0,-136.52,0.00470279,145,38010880,0.24064445
-98.0,0.0012250018,299008,18431.23864221573,2096,5.3317084,1500,0.7397956848144531,1.4966292,1500.0,1500,-126.0,-135.52,0.002522537,146,38273024,0.13819218
-98.0,0.0056652874,301056,18556.35255241394,2095,5.2830296,1500,0.7235123515129089,1.5077971,1500.0,1500,-126.0,-135.38,0.0068699787,147,38535168,0.2973385
