opt_vf,opt_dyn_loss,ev,tps,epcount,total_secs,vpredmean,rank,best_ext_ret,opt_approxkl,opt_clipfrac,retstd,eprew_recent,advstd,recent_best_ext_ret,tcount,eplen,opt_pg,rew_mean,n_updates,opt_tot,vpredstd,advmean,ups,opt_feat_var,eprew,opt_aux,opt_ent,retmean
2.2044036,0.2342338,0.4027267098426819,1290.8067935565232,4736.0,1392.2677729129791,-18.56301,0,27.4,2.6261374e-13,0.0,2.7905514,-127.39000000000001,2.1566346,27.4,1775904.0,374.44,0.59547156,-0.22061397,14,2.7985601,1.7167157,-0.56595254,0.010084428074660338,0.92965835,-124.862,0.013258502,1.3151631,-19.128963
2.5593164,0.23327728,0.3488680124282837,1271.3309063892443,5060.0,1492.9496641159058,-18.372356,0,27.4,2.9950372e-13,0.0,2.9699547,-123.41265432098764,2.3965383,27.1,1897349.0,375.0,0.38237798,-0.2104973,15,2.9403868,1.7695485,-0.42060658,0.00993227270616597,1.0096256,-124.541,0.023709727,1.3074738,-18.792963
2.8197715,0.26481384,0.2822611927986145,1273.9642799171004,5440.0,1593.4234387874603,-18.864023,0,27.4,3.0524585e-13,0.0,3.1023555,-118.69684210526317,2.628299,21.8,2039770.0,374.58,-0.0026214295,-0.17910925,16,2.8158507,1.7073528,0.10818319,0.009952845936852346,1.125735,-117.331,0.012639919,1.2992784,-18.75584
2.9608471,0.2303771,0.21073341369628906,1274.5688461915975,5761.0,1693.8495557308197,-18.2783,0,67.2,2.6426084e-13,0.0,3.659028,-112.55295950155764,3.2507052,67.2,2159648.0,374.23,0.13852783,-0.18477677,17,3.098086,1.6282436,-0.02531251,0.009957569110871856,1.091203,-113.676,0.0086119,1.2887837,-18.30361
11.455635,0.23376244,0.16618871688842773,1290.6231634998705,6097.0,1793.0264523029327,-17.978819,0,72.1,2.5465895e-13,0.0,3.812878,-110.19464285714284,3.4816635,72.1,2285185.0,373.93,-0.24405053,-0.17863534,18,11.2103,1.5841314,0.03135156,0.010082993464842739,1.1368985,-109.675,0.00847146,1.2841954,-17.947466
3.3026705,0.23890479,0.12544089555740356,1288.811401843304,6465.0,1892.3427679538727,-17.525442,0,72.1,2.7725817e-13,0.0,4.5637927,-104.95163043478261,4.267962,69.4,2422331.0,374.86,0.017053591,-0.16509889,19,3.3184552,1.4629492,0.14250289,0.010068839076900813,1.2123817,-108.12099999999998,0.00846079,1.2687343,-17.382938
33.974213,0.21725208,0.1191176176071167,1284.162439127875,6795.0,1992.0186314582825,-17.409739,0,72.1,2.5358475e-13,0.0,5.062537,-100.1,4.751461,63.7,2544740.0,371.71,-1.0139406,-0.16226153,20,32.959003,1.6356361,0.20074137,0.010032519055686522,1.0636742,-100.38599999999998,0.008012437,1.2669607,-17.208996
9.496135,0.19849283,0.09490638971328735,1288.6265141452832,7159.0,2091.3491966724396,-16.822964,0,79.3,2.4433081e-13,0.0,6.5807753,-91.85631868131867,6.260713,79.3,2678990.0,369.0,0.033881072,-0.14396314,21,9.528755,1.6569244,0.40750304,0.010067394641760026,0.9868504,-91.806,0.006329478,1.2604201,-16.415459
38.665405,0.20456637,0.09224367141723633,1286.3532596599139,7498.0,2190.8552997112274,-16.587147,0,79.3,2.3197422e-13,0.0,8.060953,-77.56873156342182,7.680174,69.4,2802192.0,365.62,-1.2168851,-0.11524801,22,37.447273,1.7688308,0.85221106,0.010049634841093077,1.0703281,-83.56900000000002,0.0076994845,1.2485245,-15.734938
55.86795,0.18423444,0.12533074617385864,1284.4671595606528,7873.0,2290.5075166225433,-15.743857,0,87.7,2.0935928e-13,0.0,10.4422455,-56.02133333333333,9.76598,87.7,2933463.0,350.49,-1.9491332,-0.06323144,23,53.917576,2.4466453,1.5744978,0.0100348996840676,0.9488396,-56.62299999999999,0.00857614,1.2413946,-14.16936
73.292854,0.18765384,0.24999761581420898,1290.4609911493712,8257.0,2389.6968767642975,-14.346324,0,88.6,2.0456397e-13,0.0,12.848897,-26.303124999999998,11.127489,88.6,3059213.0,328.98,-2.8774016,0.013801415,24,70.41424,4.757788,2.6465287,0.010081726493354462,1.0041244,-31.208,0.010999644,1.2183204,-11.699794
99.42933,0.17077947,0.29091036319732666,1280.8277566314305,8683.0,2489.632250070572,-10.162515,0,107.3,1.8009761e-13,0.0,14.785685,-4.2795774647887335,12.450649,107.3,3189987.0,298.42,-3.9858851,0.07621687,25,95.442245,5.889681,2.9564657,0.010006466848683051,0.8888034,6.33,0.01058131,1.1950779,-7.206049
98.89942,0.16227967,0.4373147487640381,1290.7006220340857,9176.0,2588.8031947612762,-6.5259504,0,113.8,1.9926115e-13,0.0,18.183455,32.18093306288033,13.639837,113.8,3319033.0,272.08,-3.9922514,0.2103208,26,94.90599,9.078289,4.57053,0.010083598609641293,0.8456688,25.229,0.007533372,1.177695,-1.9554203
100.70535,0.15713046,0.5333656668663025,1295.1376787610582,9722.0,2687.6343863010406,-0.36441147,0,123.5,2.9350695e-13,0.0,20.048944,48.23974358974359,13.695562,123.5,3448382.0,229.4,-4.6335907,0.29034573,27,96.07062,12.634572,4.8974457,0.010118263115320767,0.7994032,51.870999999999995,0.007676736,1.1468769,4.5330343
116.03902,0.16940613,0.6192646622657776,1296.984472136044,10371.0,2786.324850797653,4.878626,0,123.5,3.9037293e-13,0.0,22.52538,70.39075500770417,13.899005,119.7,3577190.0,196.73,-6.236775,0.44760284,28,109.80115,15.315251,6.6793222,0.010132691188562842,0.89419633,72.882,0.005978558,1.097734,11.557949
131.18462,0.19167237,0.7055003643035889,1256.278769982768,11130.0,2888.2130646705627,12.38669,0,123.7,4.848818e-13,0.0,24.614355,83.82187088274044,13.357674,123.7,3705493.0,164.74,-9.420009,0.59039617,29,121.76359,18.864418,7.8012877,0.009814677890490375,1.0119196,83.80699999999999,0.0034812542,1.0212831,20.187979
