nupdates,serial_timesteps,time_elapsed,value_loss,epbestrew,policy_entropy,explained_variance,eprewmean,total_timesteps,approxkl,fps,curbestrew,clipfrac,eplenmean,curbestlen,epbestlen,policy_loss
15,30720,1984.0120429992676,15.971253,-168.0,2.0613163,0.007742345333099365,-189.04,3932160,0.0013362312,2004,-172.0,0.013545036,2000.0,2000,2000,-0.00040420995
16,32768,2113.8816454410553,15.843845,-168.0,2.059265,0.017879724502563477,-189.56,4194304,0.0020803807,2018,-176.0,0.034902573,2000.0,2000,2000,-0.0009012269
17,34816,2246.0589270591736,15.529632,-168.0,2.06194,0.04021275043487549,-189.12,4456448,0.0010637434,1983,-176.0,0.015569687,2000.0,2000,2000,-0.00037179195
18,36864,2376.9570801258087,15.212101,-168.0,2.0567517,0.05584287643432617,-188.86,4718592,0.0006712513,2002,-176.0,0.007985115,2000.0,2000,2000,-0.0002321285
19,38912,2510.8464806079865,15.07977,-168.0,2.058513,0.07031100988388062,-188.76,4980736,0.0009576912,1957,-180.0,0.010765076,2000.0,2000,2000,-0.00023096513
20,40960,2643.810188293457,14.93996,-168.0,2.059596,0.09677690267562866,-189.04,5242880,0.00047613404,1971,-176.0,0.0024404526,2000.0,2000,2000,-0.00016135226
21,43008,2774.1507108211517,14.682267,-168.0,2.061861,0.06281077861785889,-189.18,5505024,0.00023908318,2011,-176.0,1.2397766e-05,2000.0,2000,2000,-6.7652094e-05
22,45056,2908.442487478256,14.446971,-168.0,2.0586495,0.11771297454833984,-189.78,5767168,0.0007834629,1952,-182.0,0.00458622,2000.0,2000,2000,-0.00013598958
23,47104,3041.450881242752,14.2492485,-168.0,2.057939,0.15911930799484253,-189.44,6029312,0.0010548449,1970,-180.0,0.011370659,2000.0,2000,2000,-0.0002309752
24,49152,3167.286324262619,13.853521,-168.0,2.0557723,0.19877296686172485,-188.94,6291456,0.0016182846,2083,-176.0,0.014511108,2000.0,2000,2000,-0.00038459816
25,51200,3293.605453968048,13.681741,-168.0,2.057086,0.2241184115409851,-189.16,6553600,0.0013451866,2075,-176.0,0.012253761,2000.0,2000,2000,-0.00034074803
26,53248,3421.2405383586884,13.503793,-168.0,2.056782,0.2477518916130066,-189.38,6815744,0.001181443,2053,-176.0,0.02407074,2000.0,2000,2000,-0.00030393302
27,55296,3549.3577105998993,13.56786,-168.0,2.062635,0.24477988481521606,-189.28,7077888,0.0008316449,2046,-172.0,0.007798195,2000.0,2000,2000,-0.00013278864
28,57344,3682.753066301346,12.936267,-168.0,2.0634294,0.29067128896713257,-189.32,7340032,0.0005981823,1965,-178.0,0.0057640076,2000.0,2000,2000,-0.000114353585
29,59392,3813.2736678123474,12.972915,-168.0,2.0614107,0.29723721742630005,-190.06,7602176,0.00046218585,2008,-180.0,0.0058135986,2000.0,2000,2000,-6.945538e-05
30,61440,3943.2618696689606,12.741508,-168.0,2.0515685,0.3236593008041382,-188.94,7864320,0.0008607024,2016,-176.0,0.013533592,2000.0,2000,2000,-0.00022488268
31,63488,4072.4823076725006,12.741549,-168.0,2.0439365,0.3385791778564453,-188.78,8126464,0.00082795235,2029,-172.0,0.014327049,2000.0,2000,2000,-0.0002442575
32,65536,4202.116135120392,12.505073,-168.0,2.044265,0.3103211522102356,-189.16,8388608,0.0006977362,2022,-180.0,0.010214806,2000.0,2000,2000,-0.00017491888
33,67584,4332.397274494171,12.225595,-168.0,2.039678,0.3522146940231323,-189.26,8650752,0.0009943671,2012,-176.0,0.010071754,2000.0,2000,2000,-0.00020436887
34,69632,4462.241761684418,12.173079,-168.0,2.0367594,0.3776879906654358,-189.04,8912896,0.00052352797,2018,-168.0,0.0013122559,2000.0,2000,2000,-0.00015181636
35,71680,4594.210507631302,11.949411,-168.0,2.02968,0.3926851153373718,-188.96,9175040,0.0010445782,1986,-172.0,0.02037716,2000.0,2000,2000,-0.00028732646
36,73728,4727.53490114212,12.116475,-168.0,2.0280895,0.39445817470550537,-189.18,9437184,0.0007438105,1966,-176.0,0.012475014,2000.0,2000,2000,-0.0001969004
37,75776,4859.000420331955,12.073154,-168.0,2.0338924,0.3961612582206726,-188.86,9699328,0.0010083691,1994,-172.0,0.02122879,2000.0,2000,2000,-0.00040209264
38,77824,4988.648639678955,11.710716,-168.0,2.029243,0.41728484630584717,-188.56,9961472,0.0010551425,2022,-176.0,0.020009995,2000.0,2000,2000,-0.00031556247
39,79872,5117.701240062714,11.5520115,-168.0,2.0254352,0.436631441116333,-189.38,10223616,0.00097525166,2031,-180.0,0.024794579,2000.0,2000,2000,-0.00038105805
40,81920,5247.023346185684,11.323575,-168.0,2.01696,0.45071470737457275,-188.6,10485760,0.0008427676,2027,-180.0,0.013842583,2000.0,2000,2000,-0.00024083872
41,83968,5376.823178529739,11.134748,-168.0,2.0054314,0.44278770685195923,-188.56,10747904,0.00085020764,2019,-180.0,0.019842148,2000.0,2000,2000,-7.393927e-05
42,86016,5509.1594161987305,11.111318,-168.0,1.9986789,0.41698479652404785,-189.2,11010048,0.001071567,1980,-184.0,0.025940895,2000.0,2000,2000,-0.00020781538
43,88064,5640.948101520538,10.896312,-168.0,1.9974681,0.45365267992019653,-188.98,11272192,0.00078694115,1989,-176.0,0.020059586,2000.0,2000,2000,-0.00042211846
44,90112,5771.459176540375,10.784055,-168.0,1.996663,0.46405643224716187,-188.4,11534336,0.0012336299,2008,-180.0,0.040974617,2000.0,2000,2000,-7.00495e-06
45,92160,5901.7665820121765,10.571508,-168.0,1.9950613,0.47635161876678467,-188.4,11796480,0.00078288966,2011,-176.0,0.01209259,2000.0,2000,2000,-0.00015969187
46,94208,6034.216012001038,10.336085,-168.0,1.9949249,0.5019791424274445,-188.06,12058624,0.0007529292,1979,-176.0,0.011990547,2000.0,2000,2000,-0.00021144739
47,96256,6165.995303153992,10.161844,-168.0,1.9950778,0.5270877480506897,-188.6,12320768,0.0009638607,1989,-172.0,0.02691555,2000.0,2000,2000,-0.00013150215
48,98304,6297.024693489075,10.302494,-168.0,1.9863684,0.5660440325737,-189.62,12582912,0.0011511059,2000,-176.0,0.0349741,2000.0,2000,2000,-0.00013301052
49,100352,6431.129288673401,10.001077,-168.0,1.9783083,0.5750536322593689,-189.6,12845056,0.0011964213,1954,-180.0,0.038974762,2000.0,2000,2000,9.821002e-05
50,102400,6562.826614141464,9.980959,-168.0,1.9693303,0.5920852720737457,-190.76,13107200,0.0009200693,1990,-182.0,0.017184258,2000.0,2000,2000,2.083466e-05
51,104448,6694.142533063889,9.391888,-168.0,1.9643458,0.5949611663818359,-190.24,13369344,0.0010311593,1996,-184.0,0.02288723,2000.0,2000,2000,-0.00014445579
52,106496,6824.213675022125,9.060813,-168.0,1.9461629,0.617016464471817,-190.46,13631488,0.0018902186,2015,-180.0,0.06570053,2000.0,2000,2000,-0.000278253
53,108544,6954.8570857048035,9.157998,-168.0,1.9342159,0.5971133708953857,-191.24,13893632,0.0010862557,2006,-178.0,0.02850151,2000.0,2000,2000,-8.734335e-05
54,110592,7086.176783323288,9.097581,-168.0,1.9307767,0.6175344884395599,-191.0,14155776,0.00087171956,1996,-180.0,0.021583557,2000.0,2000,2000,2.7297625e-05
55,112640,7216.729914903641,8.96505,-168.0,1.9184564,0.6166362762451172,-191.42,14417920,0.001008257,2008,-186.0,0.02014637,2000.0,2000,2000,-0.00016815547
56,114688,7348.1520438194275,8.951034,-168.0,1.8935902,0.6295133531093597,-191.78,14680064,0.0010774012,1994,-186.0,0.039237022,2000.0,2000,2000,-0.00011321728
57,116736,7481.618709087372,9.090197,-168.0,1.8940595,0.6281448900699615,-192.3,14942208,0.0009884312,1964,-184.0,0.040412903,2000.0,2000,2000,0.00024658954
58,118784,7613.543475151062,9.118576,-168.0,1.8584625,0.6315580904483795,-192.56,15204352,0.0010149982,1987,-186.0,0.031882286,2000.0,2000,2000,9.687441e-05
59,120832,7743.606791496277,8.917161,-168.0,1.8506218,0.6327913701534271,-192.16,15466496,0.0012063645,2015,-178.0,0.033034325,2000.0,2000,2000,-5.5370365e-05
60,122880,7872.068474292755,8.849819,-168.0,1.8465146,0.6290833353996277,-192.54,15728640,0.00090109056,2040,-188.0,0.040174484,2000.0,2000,2000,0.00023751144
61,124928,8003.81051659584,9.019546,-168.0,1.7901785,0.6285751461982727,-193.24,15990784,0.0011404629,1990,-190.0,0.04003048,2000.0,2000,2000,0.00012196031
62,126976,8133.160769701004,9.168973,-168.0,1.7859222,0.6401271522045135,-192.92,16252928,0.0018947355,2026,-184.0,0.09210491,2000.0,2000,2000,0.0004298311
