serial_timesteps,nupdates,clipfrac,policy_loss,eprewmean,eplenmean,policy_entropy,value_loss,curbestlen,time_elapsed,approxkl,explained_variance,curbestrew,total_timesteps,epbestrew,epbestlen,fps
331776,162,0.04668808,-0.00012298752,0.4099999999999986,757.46,1.1150596,155.23575,183,8752.415642499924,0.0052144863,0.068936288356781,101.9,21233664,108.2,120,2384
333824,163,0.019723892,-0.0005179894,-17.560000000000002,807.03,1.1311014,143.92847,211,8806.820923805237,0.0034212226,0.07054108381271362,99.1,21364736,108.2,120,2409
335872,164,0.022195816,-0.0003459488,-4.746999999999999,779.0,1.1132083,142.42567,206,8860.410825967789,0.003364343,0.06553143262863159,99.6,21495808,108.2,120,2445
337920,165,0.10516167,-1.6909471e-05,9.394,707.66,1.1012386,151.84642,150,8915.117466926575,0.007374596,0.07131463289260864,105.2,21626880,108.2,120,2395
339968,166,0.02977562,-3.9024635e-06,-15.858000000000002,820.04,1.1174046,140.60878,181,8968.74122428894,0.004724671,0.05967599153518677,102.1,21757952,108.2,120,2444
342016,167,0.023418427,-0.00023665579,7.8089999999999975,713.5,1.1028634,151.22427,157,9022.046485424042,0.0025606195,0.05207622051239014,104.5,21889024,108.2,120,2458
344064,168,0.017799377,-0.0007412202,1.8299999999999985,743.26,1.110791,147.15158,167,9075.033567905426,0.004186671,0.07010906934738159,103.5,22020096,108.2,120,2473
346112,169,0.00658226,-0.00021050645,10.812000000000003,713.5,1.1152855,160.55882,131,9128.57909488678,0.0025950177,0.06585782766342163,107.1,22151168,108.2,120,2447
348160,170,0.022388458,-0.0011285424,-1.9659999999999993,751.19,1.1171943,147.71667,234,9181.65298318863,0.00439138,0.06740379333496094,96.8,22282240,108.2,120,2469
350208,171,0.010755539,-0.0006957554,-5.5690000000000035,757.19,1.1153398,154.60281,197,9235.479506015778,0.0028126214,0.055335164070129395,100.5,22413312,108.2,120,2436
352256,172,0.0,-0.00014983374,4.053999999999998,731.03,1.105075,186.88863,175,9288.476442813873,0.00017272432,0.05925530195236206,102.7,22544384,108.2,120,2473
354304,173,0.0029830933,-0.00012401913,12.526,696.36,1.0966157,171.11879,127,9343.21611571312,0.0010175939,0.059732675552368164,107.5,22675456,108.2,120,2394
356352,174,0.030195236,0.000332981,8.948999999999996,712.11,1.1025684,169.39369,136,9396.76848077774,0.0036001673,0.056643784046173096,106.6,22806528,108.2,120,2447
358400,175,0.01291275,-0.0006213038,9.931999999999997,692.27,1.1046131,164.17336,126,9450.628056287766,0.0026565942,0.05700182914733887,107.6,22937600,108.2,120,2433
360448,176,0.0010662079,-0.00011752662,19.087999999999997,680.79,1.084614,168.00891,164,9504.721153974533,0.00118477,0.05854690074920654,103.8,23068672,108.2,120,2423
362496,177,0.028759003,0.0005386379,13.162999999999995,700.0,1.0740359,173.24559,137,9558.12776184082,0.0031884022,0.053641676902770996,106.5,23199744,108.2,120,2454
364544,178,0.0056591034,-5.413824e-05,3.7219999999999964,734.35,1.0697886,169.78497,191,9611.77752995491,0.0015912154,0.055545270442962646,101.1,23330816,108.2,120,2443
366592,179,0.01819992,-0.000338377,16.874999999999996,682.9,1.0763937,162.10791,147,9665.925855398178,0.003482281,0.06351131200790405,105.5,23461888,108.2,120,2420
368640,180,0.0054454803,-0.00046805476,7.596,725.64,1.0910927,154.4192,121,9719.691563606262,0.003027007,0.062251269817352295,108.1,23592960,108.2,120,2437
370688,181,0.0077590942,-0.00066884956,3.357999999999998,727.98,1.0705849,161.27306,132,9773.175671815872,0.0030567925,0.0634380578994751,107.0,23724032,108.2,120,2451
372736,182,0.0024032593,-0.0003885983,5.539999999999997,736.19,1.0670123,180.87741,168,9826.138300895691,0.002647411,0.06372344493865967,103.4,23855104,108.2,120,2474
374784,183,0.005340576,-0.00032679006,8.484999999999996,696.73,1.0661157,170.65704,131,9880.305619955063,0.0023904962,0.048270463943481445,107.1,23986176,108.2,120,2419
376832,184,0.005224228,-0.000515695,12.176000000000002,689.85,1.0691874,182.68523,146,9934.711236715317,0.002621941,0.050666749477386475,105.6,24117248,108.2,120,2409
378880,185,0.008419037,-0.00019974065,-1.1110000000000038,752.65,1.0861627,178.01134,188,9988.284356594086,0.0018587081,0.05519461631774902,101.4,24248320,108.2,120,2446
380928,186,0.006467819,1.0807562e-05,24.820999999999994,643.48,1.0666939,194.35168,142,10042.01960325241,0.0020699266,0.04525059461593628,106.0,24379392,108.2,120,2439
382976,187,0.019721985,-0.0004747942,14.969999999999994,671.92,1.0735874,195.43298,138,10095.041960716248,0.0036978044,0.05059409141540527,106.4,24510464,108.2,120,2472
385024,188,0.01190567,-0.00029353032,6.603999999999998,725.55,1.0710267,176.09009,143,10150.177060842514,0.002462168,0.05578428506851196,105.9,24641536,108.2,120,2377
387072,189,0.025428772,-0.0005398257,36.69199999999999,584.83,1.0489938,195.66798,109,10205.272680521011,0.0036274684,0.05677610635757446,109.3,24772608,109.3,109,2379
389120,190,0.05692482,-0.0010765081,22.272999999999993,668.96,1.0885179,192.32921,166,10260.594006061554,0.0058165803,0.045422255992889404,103.6,24903680,109.3,109,2369
391168,191,0.03250122,-0.0005656962,24.563999999999993,646.05,1.0691776,227.93527,128,10314.499490737915,0.0042954143,0.043553829193115234,107.4,25034752,109.3,109,2432
393216,192,0.05822754,-5.8014433e-05,40.455,577.23,1.1021913,227.77562,135,10368.72059583664,0.005525411,0.03356045484542847,106.7,25165824,109.3,109,2417
395264,193,0.030334473,-0.0016987477,48.513000000000005,546.7,1.0963806,243.8472,151,10422.174410820007,0.004841153,0.0426369309425354,105.1,25296896,109.3,109,2452
397312,194,0.015457153,-0.0006991833,36.224,609.53,1.0922223,229.24232,177,10475.73324584961,0.003291016,0.04817235469818115,102.5,25427968,109.3,109,2447
399360,195,0.014469147,-0.0005519884,46.93,582.55,1.0687463,245.96504,141,10528.788930416107,0.0028005866,0.043100833892822266,106.1,25559040,109.3,109,2470
401408,196,0.03944969,0.0003661749,49.49800000000001,556.87,1.0466753,246.47636,138,10582.510539531708,0.0039238078,0.049155354499816895,106.4,25690112,109.3,109,2439
403456,197,0.011024475,0.00023127062,35.615,585.59,1.0550345,239.04666,163,10637.337708473206,0.0026434506,0.036073505878448486,103.9,25821184,109.3,109,2390
405504,198,0.018472672,-0.0012292066,29.524,606.46,1.0334532,239.13297,164,10691.152475595474,0.003509978,0.04452627897262573,103.8,25952256,109.3,109,2435
407552,199,0.08780098,0.0016596295,29.350999999999996,618.2,1.0594541,212.6348,132,10745.344282865524,0.0063635586,0.040850162506103516,107.0,26083328,109.3,109,2418
409600,200,0.14116669,0.004023097,25.522,646.48,1.0587176,204.93263,149,10799.87839436531,0.010527972,0.04201322793960571,105.3,26214400,109.3,109,2403
411648,201,0.044834137,-0.0009271414,13.220999999999997,689.41,1.0668782,190.26476,162,10853.125589847565,0.0048437025,0.04355645179748535,104.0,26345472,109.3,109,2462
413696,202,0.0054855347,-0.00030837,24.163,630.04,1.0638325,194.7829,178,10907.797087907791,0.0023212233,0.04683035612106323,102.4,26476544,109.3,109,2397
415744,203,0.01607132,-0.0006994761,19.093,670.73,1.0583069,188.63837,130,10962.141711950302,0.0031453036,0.04319775104522705,107.2,26607616,109.3,109,2411
417792,204,0.0041484833,-0.0003227769,41.608999999999995,575.7,1.0261401,208.9066,131,11015.710799455643,0.0018494973,0.05060160160064697,107.1,26738688,109.3,109,2446
419840,205,0.007980347,-2.0749434e-05,32.642,625.33,1.0225314,205.07875,125,11070.73237490654,0.0019065314,0.04345959424972534,107.7,26869760,109.3,109,2382
421888,206,0.0015735626,1.7795643e-05,22.163,660.05,1.0504311,187.27313,140,11125.351480007172,0.0015831527,0.044149816036224365,106.2,27000832,109.3,109,2400
423936,207,0.013544083,-0.00029873903,31.083000000000002,640.92,1.0372773,187.12177,160,11178.645626068115,0.0025744454,0.053175508975982666,104.2,27131904,109.3,109,2459
425984,208,0.009737015,-0.0005089582,19.467,677.0,1.0366349,197.52849,156,11231.831227779388,0.002092462,0.04785609245300293,104.6,27262976,109.3,109,2464
428032,209,0.0020751953,-0.000112163354,34.635999999999996,625.41,1.0360283,208.45917,139,11284.89662194252,0.0017803344,0.04987812042236328,106.3,27394048,109.3,109,2470
430080,210,0.008670807,-0.00035747883,38.146,580.3,1.0361345,227.46526,154,11337.935298919678,0.0022082666,0.042231619358062744,104.8,27525120,109.3,109,2471
432128,211,0.009525299,-0.00064407365,20.866999999999997,673.01,1.0138575,215.22957,164,11392.399062633514,0.0025201563,0.048980653285980225,103.8,27656192,109.3,109,2407
434176,212,0.0046577454,-0.00015328615,43.722,574.59,1.0126957,212.23772,121,11445.598123073578,0.0016986078,0.04781085252761841,108.1,27787264,109.3,109,2463
436224,213,0.014709473,-2.0633644e-05,34.65599999999999,605.19,1.0046885,214.24686,150,11499.077810525894,0.002772315,0.04184246063232422,105.2,27918336,109.3,109,2450
438272,214,0.012384415,-3.401524e-05,18.420999999999996,657.43,1.0026053,196.9044,166,11552.693957090378,0.0024934616,0.042076706886291504,103.6,28049408,109.3,109,2444
440320,215,0.012290955,-0.00032673404,24.192999999999994,629.74,0.9694831,200.4735,102,11607.325749874115,0.002132228,0.047805726528167725,110.0,28180480,110.0,102,2399
442368,216,0.0076522827,-0.0004077825,23.546,666.24,0.98914033,196.97855,169,11661.92133808136,0.00289148,0.054189324378967285,103.3,28311552,110.0,102,2400
444416,217,0.0032634735,-0.00043494185,24.011,621.55,1.007755,213.89287,160,11715.028167009354,0.0020801532,0.04324054718017578,104.2,28442624,110.0,102,2468
446464,218,3.8146973e-05,-0.00016221855,39.305,578.72,1.0097226,217.12016,152,11769.253687858582,0.0009804345,0.04630059003829956,105.0,28573696,110.0,102,2417
