n_updates,advstd,eplen,advmean,opt_vf,best_ext_ret,vpredmean,eprew,ups,opt_feat_var,rank,eprew_recent,vpredstd,total_secs,retmean,recent_best_ext_ret,opt_pg,retstd,ev,opt_ent,opt_tot,opt_clipfrac,tps,epcount,tcount,opt_dyn_loss,rew_mean,opt_approxkl
374,12.095056,913.11,-0.09503214,76.157425,370.45,9.658371,75.487,0.0021966262804176215,0.18594544,0,80.27499999999999,48.1706,171232.43283247948,9.563339,360.9,0.7092629,49.09962,0.9393180571496487,1.0529894,76.86563,0.0,562.3363277869112,99539.0,95680748.0,0.06801444,0.09310652,1.261993e-11
375,11.18699,908.97,0.6620614,66.43586,370.45,7.6557684,98.9255,0.0021975983312570303,0.18853205,0,92.27103448275862,48.921677,171687.4750418663,8.317829,358.45,0.18221752,50.613544,0.951146800071001,1.0940065,66.61698,0.0,562.5851728017998,99829.0,95941667.0,0.070165284,0.11258629,1.4446279e-11
376,11.529801,906.34,0.66558486,62.839325,370.45,8.42917,112.37899999999998,0.0021905496517107977,0.18471946,0,106.5153024911032,48.777065,172143.98147130013,9.094756,359.7,0.23474264,50.806824,0.9485009163618088,1.0709294,63.072998,0.0,560.7807108379642,100110.0,96194600.0,0.06883151,0.12020333,1.4018496e-11
377,10.9972315,919.91,0.46610078,76.22861,370.45,6.853826,54.36500000000001,0.0022186676225281897,0.21294875,0,88.70432525951557,47.571297,172594.70243096352,7.3199277,356.1,-1.231446,49.60456,0.950849998742342,1.0186241,74.99614,0.0,567.9789113672165,100399.0,96455605.0,0.077223785,0.106300764,1.3742991e-11
378,11.792219,904.48,0.25352326,89.658424,370.45,9.050033,93.22149999999999,0.002177166630367008,0.20040336,0,86.34737762237762,49.638638,173054.01500082016,9.3035555,356.5,1.3065403,50.544662,0.9455697350203991,1.0442346,90.96392,0.0,557.3546573739541,100685.0,96713858.0,0.071332045,0.10321811,1.2981417e-11
379,11.268973,910.89,0.9327311,52.97882,370.45,5.7028995,70.32800000000002,0.0021629441128267635,0.19481812,0,80.79963768115942,48.02021,173516.34779715538,6.635631,363.3,-1.0473562,49.416817,0.9479981064796448,1.0958875,51.93037,0.0,553.7136928836516,100961.0,96964196.0,0.072130695,0.09192813,1.3846467e-11
380,10.861024,913.04,0.6945741,63.761047,370.45,5.667858,66.74650000000001,0.0021564056996417123,0.19883937,0,90.68339285714285,47.754593,173980.08242750168,6.3624306,360.3,-2.2139902,49.503456,0.9518639408051968,1.008729,61.546047,0.0,552.0398591082783,101241.0,97216849.0,0.07173608,0.09940807,1.3114014e-11
381,11.105606,890.1,0.95259035,87.76321,370.45,6.7453136,115.73849999999999,0.0021662427148698943,0.21287495,0,100.36968085106383,48.343987,174441.7112159729,7.697902,364.5,-2.004467,50.49114,0.9516212977468967,1.0156591,85.75772,0.0,554.558135006693,101523.0,97470893.0,0.075868405,0.116023004,1.3395353e-11
382,11.29728,905.78,1.2139432,65.16497,370.45,3.4367204,96.79800000000002,0.0021862512474326826,0.18900482,0,87.7537542662116,47.876076,174899.11518597603,4.6506634,356.5,-1.0580118,49.799194,0.9485360458493233,1.0874015,64.10587,0.0,559.6803193427668,101816.0,97735794.0,0.06804073,0.107622415,1.3166423e-11
383,10.99189,895.93,0.53693616,71.96428,370.45,6.342176,95.7725,0.002158109845526367,0.20567626,0,86.96317689530687,48.79195,175362.4836294651,6.8791122,363.3,-1.0029485,50.09099,0.9518467523157597,0.99610364,70.960335,0.0,552.4761204547499,102093.0,97986074.0,0.07241342,0.09583588,1.3375574e-11
384,11.423258,893.37,0.16788007,74.25478,370.45,9.760764,107.529,0.0021775315667743283,0.21725717,0,97.15706713780918,48.47097,175821.7192223072,9.928643,369.05,-0.91733104,50.369965,0.9485676176846027,1.0409089,73.33641,0.0,557.4480810942281,102376.0,98242304.0,0.07833749,0.113329194,1.4456293e-11
385,11.84918,901.17,-0.5935551,72.5358,370.45,14.386485,73.684,0.002177317477542872,0.19185999,0,96.01580756013745,50.57641,176280.9999704361,13.792928,357.95,0.5046293,51.536076,0.9471367448568344,1.0745629,73.03935,0.0,557.3932742509752,102667.0,98503524.0,0.069624715,0.11649537,1.2917085e-11
386,11.352029,909.73,-0.83037424,63.02431,370.45,13.381685,71.76550000000002,0.00215519745569808,0.1915306,0,81.44733096085409,49.327374,176744.99457907677,12.55131,352.35,0.7053429,50.390377,0.9492481648921967,1.0640408,63.72859,0.0,551.7305486587085,102948.0,98758804.0,0.06903705,0.09614104,1.3436511e-11
387,11.486598,888.54,-0.15868175,65.29404,370.45,10.932369,111.73249999999999,0.0021974049325801364,0.20208803,0,98.93374999999999,48.002617,177200.0768377781,10.773687,364.3,0.2009596,49.61759,0.9464065842330456,1.0601841,65.493935,0.0,562.5356627405149,103228.0,99011472.0,0.07348287,0.10868586,1.3571196e-11
388,12.104047,895.05,-0.17953311,75.43801,370.45,13.924016,108.0675,0.0021516499970209197,0.19678304,0,99.14190140845069,50.568405,177664.83644151688,13.74448,360.3,-0.02957158,51.37455,0.9444907829165459,1.0371147,75.4074,0.0,550.8223992373554,103512.0,99266165.0,0.0705093,0.11602806,1.3684465e-11
389,11.7104645,907.74,0.0051972065,82.77794,370.45,13.237271,81.644,0.002192599770852815,0.22989902,0,101.9410034602076,50.8726,178120.91602945328,13.242471,358.8,0.42805928,52.114906,0.9495077952742577,0.969998,83.205025,0.0,561.3055413383207,103801.0,99525522.0,0.08210111,0.122790866,1.3467251e-11
390,11.529219,871.87,-0.13895705,63.25626,370.45,13.92294,151.26,0.00220626704941037,0.19469959,0,120.57903780068729,50.287228,178574.170317173,13.783984,354.05,-0.16345492,52.222744,0.951260581612587,1.0840962,63.09172,0.0,564.8043646490547,104092.0,99784191.0,0.07068408,0.1414844,1.3920579e-11
391,11.741762,907.05,-0.64830893,65.726166,370.45,13.025656,67.42150000000001,0.002226558094730338,0.18038504,0,79.63745519713261,48.961277,179023.29401278496,12.377348,353.4,1.6823167,49.83141,0.9444786161184311,1.0863755,67.407394,0.0,569.9988722509665,104371.0,100037130.0,0.06298135,0.09212036,1.3001985e-11
392,11.961,901.99,-0.74201334,83.59036,370.45,13.19843,70.634,0.0022274607397646832,0.1964472,0,79.9338028169014,50.265278,179472.23570775986,12.456418,358.2,0.54273486,50.67261,0.9442829042673111,1.0490129,84.13205,0.0,570.229949379759,104655.0,100292786.0,0.070132345,0.09459408,1.3955568e-11
393,11.586406,870.06,0.609327,61.33061,370.45,10.7532215,150.50249999999997,0.0022110265606509216,0.19502328,0,123.1285714285714,50.678764,179924.51430892944,11.36255,357.6,-0.43568227,52.595444,0.9514710158109665,1.052306,60.893875,0.0,566.0227995266359,104942.0,100546919.0,0.06744402,0.14050648,1.37794455e-11
394,11.546936,875.1,-0.51355535,51.94547,370.45,16.743536,109.4615,0.002184113361323163,0.21594425,0,120.51851851851852,55.07974,180382.3660018444,16.22998,355.05,0.3452965,55.667282,0.9569737501442432,1.0424453,52.289722,0.0,559.1330204987297,105239.0,100807521.0,0.07505957,0.14602403,1.4200679e-11
395,11.674227,917.77,0.05262378,90.31636,370.45,10.277508,90.52050000000001,0.0022211203507722004,0.19186014,0,92.89519572953738,50.77057,180832.58924150467,10.330131,355.0,0.69895643,51.669514,0.948950968682766,1.052078,91.01427,0.0,568.6068097976834,105520.0,101062742.0,0.067686684,0.10596781,1.2929878e-11
396,12.00617,911.53,-0.38887763,74.501434,370.45,11.874015,52.525499999999994,0.0021598413876367925,0.2030968,0,75.36767857142856,50.33387,181295.5862030983,11.485135,357.3,-0.8244452,50.47496,0.9434207640588284,1.0489672,73.67594,0.0,552.9193952350189,105800.0,101316514.0,0.07097527,0.08741969,1.4737928e-11
397,12.061543,895.03,0.47596222,89.17947,370.45,10.813238,87.1075,0.0021840036510228575,0.19107583,0,96.0487632508834,50.9815,181753.46089553833,11.289199,357.15,-0.9546008,51.626385,0.945416372269392,1.0654278,88.2238,0.0,559.1049346618515,106083.0,101570546.0,0.066554815,0.11202058,1.3612187e-11
398,12.09788,868.91,0.47032493,65.9463,370.45,13.403604,125.89400000000002,0.0021505663089736123,0.20362344,0,135.28917525773196,52.03769,182218.45469546318,13.873929,357.65,-0.19948186,53.882675,0.9495895840227604,1.0451597,65.74577,0.0,550.5449750972448,106374.0,101824188.0,0.07221536,0.15772957,1.3689266e-11
399,12.259217,881.5,0.3336098,83.57117,370.45,10.304942,96.88300000000001,0.0021745129094302416,0.1956447,0,105.64266211604097,50.013763,182678.32779884338,10.638554,355.55,0.09740573,51.385445,0.9430825784802437,1.0424504,83.667534,0.0,556.6753048141418,106667.0,102086659.0,0.069434516,0.12820363,1.3354305e-11
400,11.456454,886.57,0.67793244,64.56239,370.45,7.750117,118.677,0.002198250335280943,0.20275353,0,98.5551903114187,47.988297,183133.23504209518,8.428049,348.3,-0.42532665,50.319298,0.9481640197336674,1.0772141,64.13599,0.0,562.7520858319214,106956.0,102344843.0,0.06990691,0.11888282,1.42277275e-11
401,11.560066,916.17,0.7774573,59.866234,370.45,6.0723486,82.0025,0.002126560553588222,0.20435329,0,98.7856884057971,46.218273,183603.47794127464,6.849807,363.1,-0.96751493,48.601982,0.9434265457093716,1.0367137,58.897682,0.0,544.3995017185848,107232.0,102593528.0,0.07343691,0.107201435,1.4196141e-11
402,11.642579,881.1,0.7575635,54.10069,370.45,9.128938,128.5795,0.0021323981000644396,0.22054315,0,121.18613013698632,48.750313,184072.4335269928,9.8865,361.5,-0.49815026,51.583332,0.9490575790405273,1.0269454,53.601513,0.0,545.8939136164965,107524.0,102852151.0,0.07750157,0.14480759,1.3397419e-11
403,11.873035,903.25,0.7265445,59.665398,370.45,8.923934,96.9105,0.002202716068423897,0.20372729,0,121.07611683848798,48.201492,184526.41850233078,9.650477,358.2,-0.7893011,51.17391,0.9461697563529015,1.0516344,58.875046,0.0,563.8953135165177,107815.0,103110715.0,0.071891785,0.14439476,1.42995156e-11
404,11.816278,904.71,0.6459525,82.11625,370.45,8.304677,77.167,0.0021838592044325917,0.19983429,0,112.27789473684211,50.268406,184984.32347989082,8.950631,360.0,-0.42069855,51.958073,0.9482803754508495,1.0437452,81.6945,0.0,559.0679563347435,108100.0,103364100.0,0.07002565,0.12843071,1.42725476e-11
405,11.642487,879.03,0.66793036,72.71039,370.45,10.468524,104.11050000000002,0.0021530065334700362,0.19178152,0,122.58108108108108,51.638252,185448.79025435448,11.136452,367.0,0.9343839,53.64912,0.9529059268534184,1.0473622,73.64372,0.0,551.1696725683294,108396.0,103624176.0,0.06712939,0.15057951,1.3535806e-11
