recent_best_eplen,n_updates,eprew_recent,epcount,eprew,eplen,total_secs,recent_worst_eplen,eplen_std,rew_mean,best_ext_ret,tcount,best_eplen,eprew_std,recent_best_ext_ret
109,18,96.29256465517241,12881.0,87.736,278.31,3353.835705757141,375,77.16433049019474,0.36493316,214.0,4590218.0,92,114.08713031713962,207.2
100,19,125.48933463796476,13903.0,141.862,246.94,3539.5637385845184,375,65.28105697673713,0.5167923,214.0,4849594.0,92,60.21832408827068,210.8
89,20,142.6455626715462,14996.0,127.45200000000001,243.88,3724.630982398987,375,72.37185640841335,0.6216567,215.2,5102839.0,89,89.99517707077419,215.2
86,21,167.5463601532567,16301.0,169.24,193.29,3910.480123281479,375,59.94018601906404,0.86943907,216.6,5360968.0,86,44.110511218982715,216.6
76,22,177.16496902959395,17754.0,179.78799999999998,176.96,4095.5311284065247,375,56.2387624330408,1.0218552,220.6,5619536.0,76,22.69396518901005,220.6
78,23,186.52375621890545,19362.0,189.74500000000003,151.05,4280.782402276993,375,41.364809923411954,1.1870515,220.6,5875883.0,76,16.731039268377803,219.6
73,24,193.98842391304345,21202.0,193.69300000000004,142.18,4468.992188692093,375,33.74977925853738,1.4109168,221.8,6134084.0,73,13.388496965679156,221.8
67,25,197.98900817995911,23158.0,202.50700000000003,120.17,4655.207913160324,356,29.660767016380408,1.5289997,224.0,6390489.0,67,11.949847321200386,224.0
62,26,200.1200293111871,25205.0,199.42700000000002,120.44,4842.1224637031555,375,35.32628483155284,1.6180092,226.2,6646189.0,62,36.29911253736102,226.2
66,27,203.1386270022883,27390.0,201.65600000000003,120.75,5033.084540605545,338,33.66611798232757,1.750191,226.2,6904079.0,62,13.67790422542869,224.4
63,28,205.46743982494527,29675.0,205.22300000000007,112.73,5221.489894151688,375,26.29633244389795,1.8498217,226.2,7160380.0,62,10.665588169435383,225.6
63,29,207.03347475604582,32032.0,207.0,108.94,5411.5497279167175,364,27.00252580778324,1.9237484,226.2,7416262.0,62,10.969813125117492,225.6
64,30,208.24034582132566,34461.0,209.018,103.49,5601.483834981918,375,25.44700178802996,1.9946302,226.2,7672085.0,62,10.23889036956642,224.8
58,31,210.18025801407353,37019.0,209.08099999999996,103.1,5791.1425240039825,361,21.7096752624262,2.1139607,227.6,7929742.0,58,8.881336554821015,227.6
56,32,211.34978967495218,39634.0,211.979,96.68,5981.474676847458,325,19.04514636331262,2.1758738,228.4,8185972.0,56,8.036246574116552,228.4
58,33,212.12547699214366,42307.0,212.62299999999996,94.87,6171.840723991394,375,18.89267318300933,2.2316275,228.4,8441201.0,56,7.72869788515504,227.8
56,34,213.09508733624452,45055.0,213.80700000000002,92.28,6358.987586736679,244,17.485468252237343,2.3037164,228.4,8698271.0,56,7.195557726820071,228.4
54,35,214.13657407407408,47863.0,213.803,90.72,6545.318308830261,345,19.60514218260097,2.3664825,229.4,8954244.0,54,8.08111941503156,229.4
54,36,215.10685595567867,50751.0,215.85099999999994,87.02,6732.37629032135,185,14.220393806080056,2.441433,229.4,9210436.0,54,5.75319902315225,229.2
56,37,215.92578680203044,53706.0,216.77,83.66,6918.474416255951,249,15.223810298345155,2.5124454,229.4,9466174.0,54,6.633724444081167,228.6
53,38,216.62161269001982,56732.0,217.79200000000003,82.76,7104.796066522598,375,14.560302194666153,2.5747612,229.6,9722669.0,53,5.813754036764886,229.6
53,39,217.30622972096043,59814.0,217.32799999999995,81.89,7295.29403924942,375,13.786148845852493,2.6331873,229.6,9978243.0,53,6.210621224966144,229.4
53,40,217.8172347881491,62953.0,218.245,80.79,7483.368857145309,375,12.8205265102491,2.6859915,229.8,10234613.0,53,5.3274079062898885,229.8
52,41,218.54768894440974,66155.0,219.49299999999997,78.09,7674.004163980484,236,13.7732312839072,2.749826,230.0,10491095.0,52,6.10996325684533,230.0
52,42,218.90517187983897,69384.0,218.99699999999996,78.53,7864.3822774887085,215,12.808165364329115,2.7799199,230.0,10746604.0,52,5.575561944772921,230.0
53,43,219.28875000000002,72664.0,220.175,76.85,8050.372173547745,375,12.301524295793591,2.825533,230.0,11002788.0,52,4.893799648534869,229.6
53,44,220.22144342144344,76031.0,219.58700000000002,77.31,8239.102370023727,350,17.657120376777186,2.913365,230.0,11258844.0,52,7.437172244879096,229.7
52,45,220.81137550783518,79477.0,221.39399999999998,72.71,8427.685406684875,171,10.000294995648877,2.9863372,230.0,11515166.0,52,4.176764776714149,230.0
51,46,221.10999999999999,82957.0,221.27000000000004,73.66,8616.720753669739,375,12.05588652899487,3.0249183,230.6,11770993.0,51,4.954402082996495,230.6
51,47,221.62080859485442,86494.0,221.11300000000006,73.21,8802.006510019302,224,12.021060685313921,3.077787,230.6,12027246.0,51,5.559652057458273,230.4
52,48,222.0474255496799,90087.0,221.954,71.56,8992.938748598099,275,12.057628290837298,3.1330047,230.6,12283688.0,51,4.9631526271111195,230.0
51,49,222.59994522048757,93738.0,222.48299999999995,70.78,9181.807243585587,289,11.739318549217412,3.193251,230.6,12539620.0,51,4.690161084653703,230.4
