eprew_recent,tcount,total_secs,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen_std,n_updates,epcount,eplen,recent_best_eplen,rew_mean,recent_worst_eplen,best_ext_ret
80.47862345229424,5368778.0,4389.013416290283,83.54899999999999,108.2,23.006088302881913,27,43.380507143185866,21,29824.0,89.54,30,0.8746594,250,109.6
84.17046614494726,5624680.0,4593.760265111923,85.53899999999997,110.0,18.817730442324862,26,47.01326940343545,22,32763.0,87.05,26,0.97641677,250,110.0
86.66240482233503,5881460.0,4802.759033203125,86.97900000000001,109.2,22.74058616219028,26,41.950666264077384,23,35915.0,80.96,28,1.0758429,250,110.0
89.50824468085106,6137458.0,5008.078555107117,88.245,111.2,21.686854889540808,23,38.07684204342582,24,39299.0,77.79,23,1.1904969,250,111.2
90.86095023896543,6394991.0,5217.206349372864,88.00100000000002,110.0,28.671220744851446,23,46.51695927293614,25,42856.0,75.85,26,1.273606,250,111.2
93.05023910733262,6650434.0,5425.628806114197,92.81199999999998,110.6,14.098328127831328,23,35.24759708121959,26,46620.0,68.87,24,1.3753064,250,111.2
94.39580612757408,6907141.0,5634.681263208389,94.40400000000001,110.2,14.994751881908549,23,37.48426336477749,27,50602.0,64.9,25,1.478285,250,111.2
96.22243034418169,7163297.0,5842.337031364441,94.26299999999999,110.0,26.340735202343918,23,34.685816986197686,28,54873.0,60.21,26,1.6141849,250,111.2
96.94297445255475,7419355.0,6050.358630180359,95.43999999999998,110.4,13.54976014547859,23,33.87901267746744,29,59257.0,62.25,25,1.6695372,250,111.2
98.2279630027963,7675991.0,6260.002186536789,99.55499999999998,111.0,7.530250659838622,23,18.842215899410558,30,63906.0,51.97,23,1.7940692,250,111.2
98.94052083333334,7931917.0,6469.766082763672,98.85699999999997,110.4,8.492328950293906,23,21.237841227394085,31,68706.0,53.71,25,1.8630326,250,111.2
99.43838178491563,8188541.0,6677.054504156113,98.50299999999999,110.3,7.9870076374071415,23,20.01917830481561,32,73625.0,54.55,25,1.9202828,250,111.2
100.25463654223968,8443721.0,6885.275022745132,99.55999999999999,110.4,8.065172037842714,23,20.16554239290379,33,78715.0,51.97,25,2.003624,250,111.2
100.28775589783584,8700714.0,7095.215059041977,101.18699999999997,110.6,4.9839673955594845,23,12.461540835707275,34,83844.0,47.9,24,2.0179932,250,111.2
