total_secs,best_ext_ret,eplen,rew_mean,epcount,ups,advmean,advstd,best_eplen,eprew,tps,recent_best_ext_ret,recent_best_eplen,tcount,n_updates,eprew_recent
17084.256169080734,44.0,250.0,-0.33714238,71553.0,0.004106789530710265,-0.043666806,4.1656575,220,-84.88,1051.3381198618279,-76.0,250,17888220.0,70,-85.025390625
17331.70636868477,44.0,250.0,-0.33765912,72577.0,0.004041217188752253,-0.044672173,4.178712,220,-85.1,1034.5516003205769,-80.0,250,18144220.0,71,-85.15234375
17575.47173023224,44.0,250.0,-0.33791852,73601.0,0.004102305568157038,-0.11134432,4.161663,220,-85.28,1050.1902254482015,-76.0,250,18400220.0,72,-85.197265625
17815.924480199814,44.0,250.0,-0.3375375,74625.0,0.004158821224273166,-0.073113665,4.1879277,220,-85.4,1064.6582334139305,-80.0,250,18656220.0,73,-85.146484375
18057.64594078064,44.0,250.0,-0.33785874,75649.0,0.00413699303982827,-0.09676314,4.1904273,220,-85.32,1059.0702181960373,-76.0,250,18912220.0,74,-85.193359375
18300.97373318672,44.0,250.0,-0.33734527,76673.0,0.004109682622407272,-0.06881958,4.202806,220,-85.14,1052.0787513362616,-80.0,250,19168220.0,75,-85.0703125
18541.33152627945,44.0,250.0,-0.3367522,77697.0,0.0041604642276533545,-0.013609451,4.23488,220,-84.9,1065.0788422792589,-80.0,250,19424220.0,76,-84.9453125
18784.439222574234,44.0,250.0,-0.3369294,78721.0,0.0041134032992005,-0.07527229,4.223851,220,-84.86,1053.0312445953282,-80.0,250,19680220.0,77,-85.0
19027.44906783104,44.0,250.0,-0.33656484,79745.0,0.004115059613914944,-0.06844657,4.2250624,220,-84.74,1053.4552611622257,-80.0,250,19936220.0,78,-84.88671875
19270.965399980545,44.0,250.0,-0.33655888,80769.0,0.004106500747498344,-0.02981372,4.24686,220,-85.02,1051.2641913595762,-80.0,250,20192220.0,79,-84.8984375
19514.246030330658,44.0,250.0,-0.33639136,81793.0,0.004110479319956004,-0.05621528,4.2179437,220,-84.9,1052.282705908737,-76.0,250,20448220.0,80,-84.87109375
19755.487661123276,44.0,250.0,-0.33646446,82817.0,0.004145221522149488,-0.012452099,4.2452855,220,-84.84,1061.176709670269,-80.0,250,20704220.0,81,-84.818359375
19994.535987854004,44.0,250.0,-0.336714,83841.0,0.004183254548049745,-0.022310302,4.2414646,220,-84.8,1070.9131643007347,-80.0,250,20960220.0,82,-84.94140625
20241.591577768326,44.0,250.0,-0.33676872,84865.0,0.004047672025339709,-0.024117822,4.26975,220,-84.72,1036.2040384869656,-76.0,250,21216220.0,83,-84.96484375
20482.654000997543,44.0,250.0,-0.33615863,85889.0,0.004148303110058494,-0.003197822,4.2667055,220,-84.82,1061.9655961749745,-76.0,250,21472220.0,84,-84.845703125
20721.882656812668,44.0,250.0,-0.3365452,86913.0,0.004180101236587636,-0.045721434,4.2500863,220,-85.08,1070.1059165664349,-76.0,250,21728220.0,85,-84.935546875
