best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
12.5,0,50,95968,50,0.12919156,6.092041016,4798400,50,50,75,1.498941684,27941.30416,6.078125,12.1875
12.5,0,50,97248,50,0.13505873,6.410644531,4862400,50,50,76,1.342408487,28310.5575,5.896875,11.5625
12.5,0,50,98528,50,0.13635129,6.443603516,4926400,50,50,77,1.54733579,28679.81159,6.946875,11.5625
12.5,0,50,99808,50,0.14288403,6.751708984,4990400,50,50,78,1.450548792,29050.47568,6.340625,11.25
12.5,0,50,101088,50,0.14191206,6.717529297,5054400,50,50,79,1.402491505,29421.41263,6.065625,12.5
12.5,0,50,102368,50,0.13912997,6.568847656,5118400,50,50,80,1.571548798,29792.03441,6.7625,11.5625
12.5,0,50,103648,50,0.14055356,6.642089844,5182400,50,50,81,1.655648476,30160.37235,6.725,11.25
13.125,0,50,104928,50,0.14362247,6.756347656,5246400,50,50,82,1.278865922,30530.87234,6.359375,13.125
13.125,0,50,106208,50,0.14729778,6.971679688,5310400,50,50,83,1.361650395,30902.74503,6.471875,11.25
13.125,0,50,107488,50,0.14863114,7.049804688,5374400,50,50,84,1.562659367,31274.8754,6.228125,11.5625
13.125,0,50,108768,50,0.14864644,7.058105469,5438400,50,50,85,1.467086824,31644.01732,6.8125,11.5625
13.125,0,50,110048,50,0.14782576,6.976318359,5502400,50,50,86,1.308696125,32014.89172,6.440625,12.1875
13.125,0,50,111328,50,0.14792132,6.927734375,5566400,50,50,87,1.79490381,32384.77656,7.71875,11.875
13.125,0,50,112608,50,0.14699072,6.978515625,5630400,50,50,88,1.472654385,32757.1543,7.13125,11.5625
13.125,0,50,113888,50,0.15180661,7.135742188,5694400,50,50,89,1.652129308,33128.22187,6.675,11.875
13.125,0,50,115168,50,0.15038913,7.159912109,5758400,50,50,90,1.262608287,33500.36995,6.66875,11.5625
13.125,0,50,116448,50,0.15229742,7.216064453,5822400,50,50,91,1.207378844,33870.98607,7.015625,12.5
13.125,0,50,117728,50,0.15322469,7.241455078,5886400,50,50,92,1.463834861,34242.67701,6.8,12.5
13.125,0,50,119008,50,0.15114401,7.137207031,5950400,50,50,93,1.684824268,34616.51946,7.13125,11.875
13.125,0,50,120288,50,0.15456034,7.313476563,6014400,50,50,94,1.558805006,34985.23369,7.215625,11.5625
13.125,0,50,121568,50,0.15304337,7.234130859,6078400,50,50,95,1.424657305,35357.17381,7.05625,12.1875
13.125,0,50,122848,50,0.1543649,7.297607422,6142400,50,50,96,1.317609104,35731.1886,7.2875,11.875
13.125,0,50,124128,50,0.15795362,7.464111328,6206400,50,50,97,1.745001231,36101.43519,8.071875,12.5
13.125,0,50,125408,50,0.15298389,7.194335938,6270400,50,50,98,1.163721636,36474.30983,7.765625,11.5625
13.125,0,50,126688,50,0.15292509,7.247070313,6334400,50,50,99,1.298195863,36844.0449,6.775,12.5
