eprew,eprew_recent,recent_best_ext_ret,eprew_std,epcount,n_updates,eplen_std,best_eplen,tcount,rew_mean,eplen,recent_worst_eplen,best_ext_ret,recent_best_eplen,total_secs
235.985,236.0067537,238,1.361864531,506652,316,3.457802771,110,80888433,2.0592108,115.06,208,238,110,77662.6302
236.124,236.0771095,237.6,0.814140037,508880,317,2.044896085,110,81144275,2.0605452,114.72,203,238,111,77908.69731
236.239,236.0117859,237.6,0.781779381,511103,318,1.965171748,110,81399899,2.0570083,114.41,193,238,111,78156.42576
235.932,236.0992397,237.6,1.649174339,513339,319,4.141726693,110,81656535,2.0704675,115.19,194,238,111,78401.63944
235.977,236.02861,238,1.983524893,515562,320,4.978463618,110,81912076,2.057237,115.07,184,238,110,78646.07255
236.13,236.0972297,237.6,0.813203542,517800,321,2.042057786,110,82168951,2.07125,114.7,155,238,111,78892.55871
236.145,236.0910842,237.6,0.941209328,520032,322,2.376446928,110,82425176,2.0644042,114.65,178,238,111,79139.7301
236.117,236.1013945,237.6,1.002003493,522255,323,2.558808316,110,82680312,2.059647,114.75,209,238,111,79386.04684
236.123,236.0501343,237.6,1.031489699,524489,324,2.604976008,110,82936992,2.067098,114.71,216,238,111,79633.24157
236.079,236.0006763,237.6,0.91676551,526707,325,2.30084767,110,83192103,2.0534744,114.81,236,238,111,79881.06951
236.248,236.0852349,237.6,0.716725889,528942,326,1.788267318,110,83448698,2.0689666,114.39,217,238,111,80127.96768
236.292,236.06469,237.6,0.494910093,531168,327,1.251359261,110,83704374,2.0603626,114.29,250,238,111,80373.0652
235.998,236.0726415,237.6,1.79972109,533394,328,4.579202987,110,83960001,2.06132,115.03,238,238,111,80618.61816
236.032,235.9255367,237.6,1.830293965,535630,329,4.574396135,110,84216940,2.068174,114.93,375,238,111,80865.88374
235.926,236.0999103,238,1.533076645,537860,330,3.878904485,110,84472879,2.0642188,115.21,157,238,110,81115.20766
236.297,236.0569888,237.6,0.621040256,540085,331,1.575309493,110,84728477,2.060944,114.28,186,238,111,81360.12574
236.178,236.072043,237.6,0.933121643,542317,332,2.333473805,110,84984788,2.0644228,114.57,193,238,111,81605.68697
236.107,236.042915,237.6,2.401385225,544540,333,6.05247057,110,85240232,2.0592687,114.74,374,238,111,81852.30466
236.211,236.0253028,237.6,0.578428042,546769,334,1.473091986,110,85496471,2.0625293,114.5,246,238,111,82098.4041
236.147,236.1482327,237.6,1.513172495,549004,335,3.800986714,110,85752710,2.0685189,114.65,211,238,111,82343.27015
236.055,236.0900359,237.6,1.232426468,551232,336,3.096062015,110,86008471,2.064388,114.88,255,238,111,82590.27659
236.101,236.0572581,238,1.77208888,553464,337,4.461210598,110,86264872,2.065398,114.76,290,238,110,82837.21614
236.28,236.1407989,238,0.921628993,555692,338,2.30952376,110,86520343,2.065016,114.31,226,238,110,83082.73785
236.035,236.1237903,237.6,2.414761893,557924,339,6.038633951,110,86776366,2.0656908,114.93,198,238,111,83328.03362
236.321,236.1476999,237.6,0.604697445,560163,340,1.525090161,110,87033063,2.074506,114.21,295,238,111,83572.39167
235.802,236.0935223,238,4.273195058,562386,341,10.71772364,110,87288226,2.0585792,115.52,266,238,110,83819.13251
236.179,236.1914324,237.6,0.97594006,564627,342,2.442621543,110,87544907,2.0746593,114.56,157,238,111,84065.93507
236.17,236.1601524,238.4,1.442601816,566858,343,3.658127937,109,87800612,2.064268,114.59,246,238.4,109,84311.80421
235.801,236.1864467,237.6,3.158401336,569101,344,7.911377883,109,88057542,2.079969,115.51,177,238.4,111,84560.46508
235.938,236.0068919,237.6,3.869542092,571321,345,9.702633663,109,88312276,2.0528672,115.17,375,238.4,111,84808.14334
236.285,236.14157,237.6,0.771022049,573563,346,1.942652825,109,88569343,2.07783,114.31,190,238.4,111,85054.84055
236.275,236.1615385,237.6,0.67295988,575786,347,1.702233826,109,88824128,2.0580661,114.32,226,238.4,111,85303.17781
236.426,236.1800089,238,0.432347083,578027,348,1.084619749,109,89080863,2.0741544,113.94,262,238.4,110,85549.2187
236.238,236.0047085,237.6,0.834719114,580257,349,2.117451298,109,89336729,2.0627658,114.42,375,238.4,111,85795.10433
236.019,236.1659498,237.6,2.190008904,582489,350,5.478905,109,89592517,2.0679996,114.96,160,238.4,111,86043.31947
236.372,236.2211513,238,0.542416814,584730,351,1.383329317,109,89849019,2.0749388,114.08,221,238.4,110,86290.4899
236.245,236.1771057,237.6,0.513687648,586962,352,1.29614814,109,90104745,2.0676692,114.4,206,238.4,111,86538.47498
236.229,236.1752351,238,1.356635176,589195,353,3.391916862,109,90360575,2.0673625,114.43,244,238.4,110,86784.60551
236.328,236.2485038,238,0.650704234,591434,354,1.629079495,109,90616697,2.0774944,114.19,153,238.4,110,87030.08992
236.248,236.2263393,237.6,0.73803523,593674,355,1.848756339,109,90873067,2.0711234,114.39,179,238.4,111,87276.52972
236.412,236.2346188,238,0.514447276,595904,356,1.288254633,109,91128239,2.0675433,113.98,171,238.4,110,87526.66999
236.061,236.2168228,238,2.03827844,598145,357,5.104938785,109,91384773,2.0739508,114.86,181,238.4,110,87773.61909
236.191,236.2103309,237.6,1.214585938,600381,358,3.037943383,109,91640772,2.071034,114.53,187,238.4,111,88021.52628
235.637,236.2148479,238,5.180958502,602617,359,12.95969135,109,91896742,2.0729427,115.92,240,238.4,110,88268.51505
236.151,236.1651413,238,1.771693822,604846,360,4.49812183,109,92152188,2.063863,114.63,223,238.4,110,88515.92757
236.176,236.2549911,238,0.914780848,607090,361,2.285847764,109,92408846,2.077595,114.57,148,238.4,110,88761.51541
236.405,236.2177658,238,0.490790179,609319,362,1.260912368,109,92663997,2.0661094,114.01,201,238.4,110,89008.11299
236.391,236.2386465,237.6,0.532558917,611565,363,1.345027881,109,92920973,2.0779428,114.03,227,238.4,111,89254.3808
236.182,236.249485,237.6,1.764504463,613798,364,4.425776768,109,93176400,2.0692558,114.55,282,238.4,111,89500.91068
236.074,236.1395722,238,2.088521965,616042,365,5.26444679,109,93433141,2.0772238,114.84,375,238.4,110,89746.94205
236.376,236.171467,237.6,0.58482818,618271,366,1.464615991,109,93688552,2.0674944,114.07,218,238.4,111,89993.54461
236.364,236.2786732,237.6,0.778912062,620517,367,1.994467347,109,93945304,2.0783367,114.11,166,238.4,111,90238.51195
235.92,236.2285714,238,2.71492173,622743,368,6.81512289,109,94200052,2.066136,115.21,182,238.4,110,90482.76555
235.535,236.195098,237.6,6.987837648,624987,369,17.51992009,109,94457046,2.0785928,116.18,289,238.4,111,90726.48688
236.352,236.2398294,237.6,1.049140601,627214,370,2.636873148,109,94711841,2.065049,114.13,211,238.4,111,90969.06298
236.16,236.2501114,237.6,1.359558752,629459,371,3.411436648,109,94968640,2.0779705,114.61,173,238.4,111,91213.33724
235.953,236.2186774,238,2.865814195,631697,372,7.212010815,109,95224814,2.0740557,115.13,238,238.4,110,91460.401
236.429,236.2405273,237.6,0.470806754,633935,373,1.185369141,109,95480862,2.0726728,113.93,220,238.4,111,91706.202
236.32,236.2617174,238,0.554256258,636171,374,1.385640646,109,95736565,2.0748625,114.2,179,238.4,110,91950.94115
236.158,236.2611508,237.6,1.128820623,638413,375,2.844837429,109,95992972,2.075685,114.63,180,238.4,111,92196.42921
236.303,236.243004,237.6,0.809747492,640650,376,2.03774385,109,96248893,2.074293,114.26,250,238.4,111,92441.21885
236.267,236.2912014,238,0.878413912,642889,377,2.200999773,109,96504772,2.0757797,114.34,165,238.4,110,92686.96003
236.422,236.237047,238,0.627945858,645124,378,1.618147088,109,96760497,2.0699341,113.96,323,238.4,110,92932.9264
236.326,236.1446922,238,1.138210877,647366,379,2.844978032,109,97016961,2.0767117,114.19,375,238.4,110,93183.84879
236.255,236.2635305,237.6,0.974204804,649598,380,2.476509641,109,97272200,2.0709658,114.37,185,238.4,111,93431.90826
236.272,236.1736465,237.6,0.963854761,651833,381,2.412695588,109,97528285,2.0689626,114.33,301,238.4,111,93680.8795
236.104,236.2749777,237.6,2.020392041,654075,382,5.050980103,109,97784594,2.0781224,114.74,181,238.4,111,93928.4951
236.431,236.3567218,237.6,0.475750985,656314,383,1.211404144,109,98040101,2.0758517,113.95,157,238.4,111,94171.56706
236.232,236.3134786,237.6,1.527539198,658562,384,3.818847994,109,98296882,2.0842912,114.42,219,238.4,111,94416.74844
236.469,236.2778226,238,0.574925213,660794,385,1.435653161,109,98552037,2.0701444,113.83,241,238.4,110,94662.10521
235.98,236.2730187,238,3.459710971,663040,386,8.675044668,109,98808823,2.0804465,115.06,215,238.4,110,94911.55096
236.392,236.1203314,238,0.790149353,665273,387,1.99959996,109,99064395,2.068836,114.04,375,238.4,110,95160.01796
