rew_mean,recent_worst_eplen,eprew,eplen,recent_best_eplen,eprew_recent,epcount,n_updates,total_secs,eprew_std,eplen_std,tcount,best_ext_ret,recent_best_ext_ret,best_eplen,,,,
,,13.95625,,,13.95625,75040,88,,1.358005776,,5630400,19.375,,,49472,5630400,25568,1917600
,,11.715625,,,11.715625,75904,89,,1.330600634,,5695200,19.375,,,50336,5695200,25568,1917600
,,14.159375,,,14.159375,76736,90,,1.045540194,,5757600,19.375,,,51168,5757600,25568,1917600
,,14.1,,,14.1,77600,91,,1.620956508,,5822400,19.375,,,52032,5822400,25568,1917600
,,13.578125,,,13.578125,78464,92,,1.59795707,,5887200,19.375,,,52896,5887200,25568,1917600
,,13.821875,,,13.821875,79296,93,,1.067867874,,5949600,19.6875,,,53728,5949600,25568,1917600
,,13.5,,,13.5,80160,94,,2.231696384,,6014400,19.6875,,,54592,6014400,25568,1917600
,,15.16875,,,15.16875,81024,95,,1.233817121,,6079200,19.6875,,,55456,6079200,25568,1917600
,,12.6,,,12.6,81856,96,,1.131819608,,6141600,19.6875,,,56288,6141600,25568,1917600
,,13.39375,,,13.39375,82720,97,,1.290757408,,6206400,19.6875,,,57152,6206400,25568,1917600
,,14.409375,,,14.409375,83584,98,,1.364229837,,6271200,19.6875,,,58016,6271200,25568,1917600
,,14.0375,,,14.0375,84416,99,,1.353294591,,6333600,19.6875,,,58848,6333600,25568,1917600
,,14.28125,,,14.28125,85280,100,,1.194469678,,6398400,19.6875,,,59712,6398400,25568,1917600
,,13.74375,,,13.74375,86144,101,,1.911611313,,6463200,19.6875,,,60576,6463200,25568,1917600
,,14.609375,,,14.609375,86976,102,,1.654406403,,6525600,19.6875,,,61408,6525600,25568,1917600
,,13.946875,,,13.946875,87840,103,,1.402881382,,6590400,19.6875,,,62272,6590400,25568,1917600
,,14.215625,,,14.215625,88704,104,,1.31361188,,6655200,19.6875,,,63136,6655200,25568,1917600
,,14.5375,,,14.5375,89536,105,,1.468071652,,6717600,19.6875,,,63968,6717600,25568,1917600
,,13.63125,,,13.63125,90400,106,,1.574193742,,6782400,19.6875,,,64832,6782400,25568,1917600
,,14.18125,,,14.18125,91264,107,,1.305621859,,6847200,19.6875,,,65696,6847200,25568,1917600
,,14.5125,,,14.5125,92096,108,,1.382310114,,6909600,19.6875,,,66528,6909600,25568,1917600
,,13.75625,,,13.75625,92960,109,,1.494116064,,6974400,19.6875,,,67392,6974400,25568,1917600
,,12,,,12,93824,110,,1.456397525,,7039200,19.6875,,,68256,7039200,25568,1917600
,,13.815625,,,13.815625,94656,111,,2.017644337,,7101600,19.6875,,,69088,7101600,25568,1917600
,,14.05,,,14.05,95520,112,,1.471022179,,7166400,20.3125,,,69952,7166400,25568,1917600
,,13.8625,,,13.8625,96384,113,,1.240211675,,7231200,20.3125,,,70816,7231200,25568,1917600
,,14.371875,,,14.371875,97216,114,,1.909830142,,7293600,20.3125,,,71648,7293600,25568,1917600
,,13.253125,,,13.253125,98080,115,,1.575009301,,7358400,20.3125,,,72512,7358400,25568,1917600
,,14.865625,,,14.865625,98944,116,,1.46392492,,7423200,20.3125,,,73376,7423200,25568,1917600
,,14.865625,,,14.865625,99776,117,,1.500816835,,7485600,20.3125,,,74208,7485600,25568,1917600
,,13.46875,,,13.46875,100640,118,,1.988001116,,7550400,20.3125,,,75072,7550400,25568,1917600
,,13.6,,,13.6,101504,119,,1.177158921,,7615200,20.3125,,,75936,7615200,25568,1917600
,,15.775,,,15.775,102336,120,,1.621679299,,7677600,20.3125,,,76768,7677600,25568,1917600
,,14.64375,,,14.64375,103200,121,,1.309535342,,7742400,20.3125,,,77632,7742400,25568,1917600
